
[00:00:00.000 --> 00:00:02.000]  各位靈姐妹 早晨
[00:00:02.000 --> 00:00:04.000]  上個復活的主日
[00:00:04.000 --> 00:00:07.500]  還記得楊牧師講到的題目是什麼嗎?
[00:00:07.500 --> 00:00:11.500]  每天都是復活節
[00:00:11.500 --> 00:00:13.500]  到底我們是不是經歷了
[00:00:13.500 --> 00:00:17.000]  復活的主是不是真的每天來掌管我們的生命呢?
[00:00:17.000 --> 00:00:21.500]  從大家的念容 略知一二
[00:00:21.500 --> 00:00:25.000]  最近香港多了一些島
[00:00:25.000 --> 00:00:31.000]  其中兩個島叫做「估你唔到」和「慘不忍到」
[00:00:31.000 --> 00:00:33.000]  在現實的生活裡
[00:00:33.000 --> 00:00:37.000]  我們總是會遇到一些「估唔到」發生的事
[00:00:37.000 --> 00:00:41.000]  而且極有可能是「慘不忍到」的事
[00:00:41.000 --> 00:00:43.000]  上個星期六和今天
[00:00:43.000 --> 00:00:45.000]  不知道你有沒有這樣的遭遇
[00:00:45.000 --> 00:00:48.000]  早上明明天氣都很好
[00:00:48.000 --> 00:00:54.000]  下午就突然變了紅色暴雨和黃色暴雨警告
[00:00:54.000 --> 00:00:57.000]  幸運色變的時候 你在哪裡呢?
[00:00:57.000 --> 00:01:02.000]  我不知道你今天有沒有看完天氣報告才出門
[00:01:02.000 --> 00:01:04.000]  明明就是這樣打算的
[00:01:04.000 --> 00:01:06.000]  明明就是這樣計劃好的
[00:01:06.000 --> 00:01:10.000]  誰知道生活總是會面對一些意外
[00:01:10.000 --> 00:01:15.000]  當面對世界社會局勢急速轉變的時候
[00:01:15.000 --> 00:01:18.000]  我們是不是仍然確信
[00:01:18.000 --> 00:01:23.000]  對主充滿著信心來面對明天呢?
[00:01:23.000 --> 00:01:26.000]  什麼時候才可以「雨過天青」?
[00:01:26.000 --> 00:01:28.000]  要等到什麼時候?
[00:01:28.000 --> 00:01:32.000]  從屬靈的角度去看我們的人生
[00:01:32.000 --> 00:01:35.000]  我不知道你會怎樣形容這一刻你的人生
[00:01:35.000 --> 00:01:36.000]  是很像霧?
[00:01:36.000 --> 00:01:38.000]  好像正在下雨?
[00:01:38.000 --> 00:01:39.000]  正在打風?
[00:01:39.000 --> 00:01:40.000]  是旱季?
[00:01:40.000 --> 00:01:42.000]  是冰河時期?
[00:01:42.000 --> 00:01:45.000]  還是如沐春風?
[00:01:45.000 --> 00:01:46.000]  今天出門之前
[00:01:46.000 --> 00:01:48.000]  可能你還沒看天氣報告
[00:01:48.000 --> 00:01:51.000]  但盼望今天你出禮堂門前
[00:01:51.000 --> 00:01:53.000]  讓聖靈透過撒加利亞書
[00:01:53.000 --> 00:01:56.000]  再一次讓我們有一個屬靈的評估
[00:01:56.000 --> 00:02:00.000]  重新來到更新我們的生命
[00:02:00.000 --> 00:02:03.000]  讓我們一起低頭禱告
[00:02:03.000 --> 00:02:07.000]  主啊!多謝祢賜下祢寶貴的話語
[00:02:07.000 --> 00:02:11.000]  求祢的話語再一次成為兩人的利劍
[00:02:11.000 --> 00:02:13.000]  剖開我們的心
[00:02:13.000 --> 00:02:18.000]  讓我們的生命能夠被祢的話去改變過來
[00:02:18.000 --> 00:02:23.000]  也願意聖靈在我們的內心裡工作
[00:02:23.000 --> 00:02:26.000]  以致我們能夠更像祢
[00:02:26.000 --> 00:02:27.000]  聽我們的禱告
[00:02:27.000 --> 00:02:30.000]  奉耶穌基督得聖的名求
[00:02:30.000 --> 00:02:31.000]  阿門
[00:02:31.000 --> 00:02:34.000]  在這個星期開始
[00:02:34.000 --> 00:02:38.000]  我們會一起去看撒加利亞書
[00:02:38.000 --> 00:02:41.000]  撒加利亞書的背景在主前五三九年
[00:02:41.000 --> 00:02:45.000]  巴比倫國被波斯所滅
[00:02:45.000 --> 00:02:49.000]  七十年前秘魯那一群猶太人
[00:02:49.000 --> 00:02:52.000]  獲釋放歸回故土
[00:02:52.000 --> 00:02:55.000]  開始重建聖殿
[00:02:55.000 --> 00:03:00.000]  但是上帝的殿在回歸之後十幾年
[00:03:00.000 --> 00:03:02.000]  仍然荒涼
[00:03:02.000 --> 00:03:04.000]  為什麼呢?
[00:03:04.000 --> 00:03:06.000]  當我們嘗試代入
[00:03:06.000 --> 00:03:09.000]  在這一群以色列民的裡面
[00:03:09.000 --> 00:03:12.000]  七十年秘魯的洗禮
[00:03:12.000 --> 00:03:17.000]  使他們內心裡有很多懷疑
[00:03:17.000 --> 00:03:20.000]  上帝究竟在哪裡?
[00:03:20.000 --> 00:03:22.000]  他們是不是一群
[00:03:22.000 --> 00:03:25.000]  昔日被上帝所揀選的民族?
[00:03:25.000 --> 00:03:29.000]  今天竟然落得如此下場
[00:03:29.000 --> 00:03:32.000]  在七十年的洗禮裡
[00:03:32.000 --> 00:03:34.000]  對他們來說
[00:03:34.000 --> 00:03:37.000]  可能已經逐漸適應下來
[00:03:37.000 --> 00:03:41.000]  縱使這一刻可以回歸故土
[00:03:41.000 --> 00:03:45.000]  可能也會有一下子的喜悅
[00:03:45.000 --> 00:03:47.000]  不過他們內心那種
[00:03:47.000 --> 00:03:50.000]  昔日好像對上帝那份的火熱
[00:03:50.000 --> 00:03:53.000]  已經漸漸冷淡下來
[00:03:53.000 --> 00:03:55.000]  對他們來說
[00:03:55.000 --> 00:03:57.000]  聖殿重不重建
[00:03:57.000 --> 00:04:00.000]  可能也不是成為一個最迫切
[00:04:00.000 --> 00:04:02.000]  最重要的事情
[00:04:02.000 --> 00:04:04.000]  於是上帝就親自差遣先知
[00:04:04.000 --> 00:04:06.000]  來到去激勵他們
[00:04:06.000 --> 00:04:10.000]  傳達復興重建的信息
[00:04:10.000 --> 00:04:13.000]  撒卡尼亞書第一至第八章
[00:04:13.000 --> 00:04:17.000]  內容是關乎耶路撒冷的復興
[00:04:17.000 --> 00:04:19.000]  和聖殿的重建
[00:04:19.000 --> 00:04:21.000]  而在九至十四章
[00:04:21.000 --> 00:04:23.000]  一個較為後期的著作裡
[00:04:23.000 --> 00:04:25.000]  讓我們看到
[00:04:25.000 --> 00:04:28.000]  關乎到盼望裡的尼塞亞
[00:04:28.000 --> 00:04:30.000]  和最後的審判
[00:04:30.000 --> 00:04:32.000]  這本書充滿著
[00:04:32.000 --> 00:04:34.000]  宗末天啟的意象
[00:04:34.000 --> 00:04:36.000]  不少經文
[00:04:36.000 --> 00:04:40.000]  是被啟示錄的作者去引用
[00:04:40.000 --> 00:04:42.000]  讓我們一起翻開撒卡尼亞書
[00:04:42.000 --> 00:04:46.000]  在舊約聖經第一千二百九十三頁
[00:04:46.000 --> 00:04:50.000]  我們會一起先讀第一至到第六節
[00:04:50.000 --> 00:04:55.000]  舊約聖經一千二百九十三頁
[00:04:55.000 --> 00:04:57.000]  第一章第一至到第六節
[00:04:57.000 --> 00:04:59.000]  找到的時候我們同聲讀出
[00:04:59.000 --> 00:05:00.000]  預備起
[00:05:00.000 --> 00:05:03.000]  大利烏王第二年八月
[00:05:03.000 --> 00:05:07.000]  耶和華的華臨到亦多的孫子
[00:05:07.000 --> 00:05:11.000]  比利加的兒子先知撒卡尼亞說
[00:05:11.000 --> 00:05:16.000]  耶和華曾向你們列祖大大發怒
[00:05:16.000 --> 00:05:19.000]  所以你要對以色列人說
