
[00:00:00.000 --> 00:00:03.000]  各位崇基禮拜堂的大兄姊妹平安
[00:00:03.000 --> 00:00:07.760]  自從新型冠狀病毒疫情以來
[00:00:07.760 --> 00:00:11.120]  我們都很珍惜能夠一起面對面
[00:00:11.120 --> 00:00:12.720]  一起崇拜的日子
[00:00:12.720 --> 00:00:19.160]  亦都覺得能夠有機會和其他人親自見面問安
[00:00:19.160 --> 00:00:24.640]  說一聲平安其實是何等珍貴和幸福的事情
[00:00:24.640 --> 00:00:28.840]  因為生命可以在我們面前轉眼就會流逝
[00:00:30.000 --> 00:00:35.880]  我特別鼓勵仍然是在視像方式參與崇拜的弟兄姊妹
[00:00:35.880 --> 00:00:39.320]  如果你健康和環境許可的話
[00:00:39.320 --> 00:00:42.600]  鼓勵你盡量親身來參與崇拜
[00:00:42.600 --> 00:00:46.840]  那麼崇基禮拜堂有很多地方可以容納大家
[00:00:46.840 --> 00:00:52.680]  崇拜是一個神聖的時間和神聖的空間
[00:00:52.680 --> 00:00:55.000]  我們一個星期之中
[00:00:55.000 --> 00:00:57.000]  是在一個特別的時間
[00:00:57.680 --> 00:01:00.440]  在一個特別的地方一起崇拜
[00:01:00.440 --> 00:01:03.480]  這個經驗是不可以代替的
[00:01:03.480 --> 00:01:06.960]  大家試想想在疫情裏面的時候
[00:01:06.960 --> 00:01:09.840]  有些時候連教會都沒辦法開放
[00:01:09.840 --> 00:01:12.120]  聖堂都沒辦法開放的時候
[00:01:12.120 --> 00:01:14.520]  大家在家裏崇拜
[00:01:14.520 --> 00:01:15.880]  難免會分心
[00:01:15.880 --> 00:01:18.440]  有時候這個叫你那個叫你
[00:01:18.440 --> 00:01:24.960]  大家亦都沒什麼理由穿著整套西裝在鏡頭前崇拜
[00:01:24.960 --> 00:01:27.640]  覺得是很奇怪的一件事
[00:01:28.360 --> 00:01:30.760]  而且我們亦都會遷就自己的時間
[00:01:30.760 --> 00:01:34.680]  這些都和我們實體崇拜是不同的
[00:01:34.680 --> 00:01:38.640]  還有其實當大家離開家裏
[00:01:38.640 --> 00:01:41.040]  準備去聖堂崇拜的時候
[00:01:41.040 --> 00:01:45.600]  這個其實都是崇拜的一部分
[00:01:45.600 --> 00:01:48.040]  是靈性生活的一部分
[00:01:48.040 --> 00:01:49.800]  大家試想想
[00:01:49.800 --> 00:01:51.680]  你一步一步這樣
[00:01:51.680 --> 00:01:54.440]  走上黃山看黃山風景
[00:01:54.440 --> 00:01:57.000]  和你坐登山吊車
[00:01:57.000 --> 00:01:59.520]  去到黃山山頂看黃山風景
