
[00:00:00.000 --> 00:00:03.120]  學是學非 明辨是非
[00:00:03.120 --> 00:00:06.840]  相信大家都很熟悉這句說話
[00:00:06.840 --> 00:00:09.940]  其實我覺得這個節目都挺好的
[00:00:09.940 --> 00:00:14.360]  會和我們分享生活裏面不同的一些問題
[00:00:14.360 --> 00:00:16.360]  讓我們都可以知道答案
[00:00:16.360 --> 00:00:20.800]  上兩個星期我看回節目的時候
[00:00:20.800 --> 00:00:30.320]  原來說過藍色的光對眼睛有多大傷害
[00:00:30.320 --> 00:00:32.320]  探討這個問題
[00:00:32.320 --> 00:00:37.320]  其實我們很多年前都已經聽過這些理論
[00:00:37.320 --> 00:00:40.320]  經常都聽到不要看太多電話
[00:00:40.320 --> 00:00:42.820]  電話的藍光很傷眼
[00:00:42.820 --> 00:00:46.480]  尤其是關燈的時候更加不要看電話
[00:00:46.480 --> 00:00:48.480]  真的會很傷眼
[00:00:48.480 --> 00:00:54.200]  我們聽了很多 但是我又留意自己的眼睛
[00:00:54.200 --> 00:00:57.200]  好像真的挺像的
[00:00:57.200 --> 00:01:01.200]  我經常都覺得自己的眼睛很像貓眼
[00:01:01.200 --> 00:01:05.200]  無論有多遠、有多小、有多黑
[00:01:05.200 --> 00:01:07.200]  我都看得很清楚
[00:01:07.200 --> 00:01:10.200]  連醫生都說我的眼睛真的很好
[00:01:10.200 --> 00:01:14.200]  不過這幾年我已經要開始戴老花眼鏡
[00:01:14.200 --> 00:01:19.200]  為什麼會這樣呢?我們聽這個會不會真的
[00:01:19.200 --> 00:01:22.200]  因為看電話看得多所以眼睛這樣
[00:01:22.200 --> 00:01:25.200]  這個理論真的聽了很多年
[00:01:25.200 --> 00:01:29.200]  但是沒有真的去研究究竟是不是真的
[00:01:29.200 --> 00:01:34.200]  究竟這件事會不會我看少一點電話對眼睛又好一點
[00:01:34.200 --> 00:01:39.200]  雖然聽完這個理論之後都沒有辦法
[00:01:39.200 --> 00:01:41.200]  是不是每個人都會看電話
[00:01:41.200 --> 00:01:43.200]  都很難去真的減少看電話
[00:01:43.200 --> 00:01:48.200]  不過真的不會在很黑的情況下去看電話
[00:01:48.200 --> 00:01:55.200]  但是終於在這個節目裏去了解到究竟是什麼原因
[00:01:55.200 --> 00:02:01.200]  原來在電磁波裏面的藍光是最短的
[00:02:01.200 --> 00:02:04.200]  而當電磁波最短的時候
[00:02:04.200 --> 00:02:08.200]  就代表著它的能量和穿透力是最強的
[00:02:08.200 --> 00:02:10.200]  所以可能就是因為這個原因
[00:02:10.200 --> 00:02:14.200]  那些藍光就會釋放得最強的能量
[00:02:14.200 --> 00:02:17.200]  但是在節目裏面就說
[00:02:17.200 --> 00:02:22.200]  其實在醫學上沒有完全真正去有一個定論
[00:02:22.200 --> 00:02:24.200]  就是這個會傷眼睛
[00:02:24.200 --> 00:02:29.200]  可能我們有時候都會聽到很多不同的理論
[00:02:29.200 --> 00:02:31.200]  可能講這個講那個
[00:02:31.200 --> 00:02:35.200]  有些東西可能我們聽了之後都會半信半疑
[00:02:35.200 --> 00:02:39.200]  又或者我們都可能會當它是一個真理
[00:02:39.200 --> 00:02:42.200]  但是其實那些東西是不是真是假
[00:02:42.200 --> 00:02:45.200]  可能我們都不是很清楚
[00:02:45.200 --> 00:02:47.200]  好像我經常都叫我老公
[00:02:47.200 --> 00:02:48.200]  你不要那麼晚睡
[00:02:48.200 --> 00:02:50.200]  你那麼晚睡會脫髮的
[00:02:50.200 --> 00:02:52.200]  然後他就問我為什麼
[00:02:52.200 --> 00:02:54.200]  我說我不知道啊
[00:02:54.200 --> 00:02:56.200]  那個髮型師這樣講的
[00:02:56.200 --> 00:02:59.200]  前幾天不是很濕的
[00:02:59.200 --> 00:03:03.200]  他經常都叫我煲一點薏米水
[00:03:03.200 --> 00:03:05.200]  我就經常都不理他
[00:03:05.200 --> 00:03:06.200]  然後我就說
[00:03:06.200 --> 00:03:08.200]  我煲就煲這個混煉白術給你喝
[00:03:08.200 --> 00:03:10.200]  他又在挑戰我
[00:03:10.200 --> 00:03:11.200]  他就問為什麼
[00:03:11.200 --> 00:03:14.200]  我說我怎麼知道我又不是中醫
[00:03:14.200 --> 00:03:15.200]  我媽媽說的
[00:03:15.200 --> 00:03:19.200]  但是我始終都不會煲薏米水給他喝
[00:03:19.200 --> 00:03:21.200]  有很多東西就是這樣
[00:03:21.200 --> 00:03:24.200]  但是我又沒有好好去研究
[00:03:24.200 --> 00:03:27.200]  究竟那樣東西的真相是什麼呢
[00:03:27.200 --> 00:03:30.200]  但是我們有時候又會當它是真理
