
[00:00:00.000 --> 00:00:01.540]  大鏡節目,早晨
[00:00:01.540 --> 00:00:07.680]  大家知道我現在不用戴眼鏡的原因
[00:00:07.680 --> 00:00:09.740]  不用說,年紀當然是做了些手術
[00:00:09.740 --> 00:00:14.340]  我這樣看你是清的,不過我等一下要戴眼鏡,因為看不清
[00:00:14.340 --> 00:00:15.880]  所以
[00:00:15.880 --> 00:00:17.160]  兩樣都需要
[00:00:17.160 --> 00:00:21.000]  這個主題多謝Alvin為我們讀出
[00:00:21.000 --> 00:00:25.340]  但我今天希望減少一次經文,說到第11節算了,因為時間的關係
[00:00:25.340 --> 00:00:28.160]  整個內容變化不大
[00:00:28.680 --> 00:00:32.260]  為什麼用這個講題呢?我一般都習慣會解釋一下
[00:00:32.260 --> 00:00:34.060]  其實大家有留心
[00:00:34.060 --> 00:00:35.340]  讀出經文
[00:00:35.340 --> 00:00:38.420]  這個講題其實是來自聖經
[00:00:38.420 --> 00:00:40.460]  這個是
[00:00:40.460 --> 00:00:42.000]  上帝的使者
[00:00:42.000 --> 00:00:43.540]  在耶穌升天之後
[00:00:43.540 --> 00:00:44.560]  向
[00:00:44.560 --> 00:00:46.600]  早期教會的領袖
[00:00:46.600 --> 00:00:48.140]  跟他們說
[00:00:48.140 --> 00:00:49.420]  為什麼你們還
[00:00:49.420 --> 00:00:50.440]  站著
[00:00:50.440 --> 00:00:51.460]  望天
[00:00:51.460 --> 00:00:52.740]  這句說話
[00:00:52.740 --> 00:00:53.760]  怎樣來的
[00:00:53.760 --> 00:00:55.040]  整個的發展
[00:00:55.300 --> 00:00:58.880]  在今天的經文來說是相當相當清楚的
[00:00:58.880 --> 00:01:03.500]  我們開始的時候,我們先祈禱,把時間交給我們的主
[00:01:03.500 --> 00:01:09.120]  主耶穌,你曾經應許過
[00:01:09.120 --> 00:01:11.180]  當真理的聖靈來到的時候
[00:01:11.180 --> 00:01:15.520]  我們就能夠明白你向我們所說的話
[00:01:15.520 --> 00:01:19.100]  祈求你今天成就你自己所講的,奉耶穌名祈禱
[00:01:19.100 --> 00:01:19.880]  阿們
[00:01:19.880 --> 00:01:23.720]  如果大家手上有電話
[00:01:23.980 --> 00:01:29.360]  教正音的話,我們就要打開聖經好嗎?一同打開聖經,或者有紙板的聖經
[00:01:29.360 --> 00:01:30.900]  我們一同打開聖經
[00:01:30.900 --> 00:01:33.720]  去看《小行傳》這11節的經文
[00:01:33.720 --> 00:01:41.900]  我自己看到十字架,特別是這幅圖畫,我特意找出來的
[00:01:41.900 --> 00:01:44.980]  十字架上面空無一人
[00:01:44.980 --> 00:01:47.280]  我當下的感覺
[00:01:47.280 --> 00:01:48.820]  我第一個反應
[00:01:48.820 --> 00:01:50.860]  想起在
[00:01:50.860 --> 00:01:52.900]  改教之後
[00:01:54.440 --> 00:01:57.260]  新教教會,就是今天我們所稱的基督教教會
[00:01:57.260 --> 00:02:02.380]  是簡化了羅馬天主教很多很多的崇拜上的所需
[00:02:02.380 --> 00:02:03.920]  十字架上面
[00:02:03.920 --> 00:02:05.720]  再沒有耶穌基督在
[00:02:05.720 --> 00:02:08.520]  對你對我來說,今天
[00:02:08.520 --> 00:02:09.800]  有什麼意義呢?
[00:02:09.800 --> 00:02:11.340]  空空的十架
[00:02:11.340 --> 00:02:13.140]  希望你再細心看一下
[00:02:13.140 --> 00:02:16.460]  其實台前我忘記了,十架還在嗎?
[00:02:16.460 --> 00:02:17.480]  還在
[00:02:17.480 --> 00:02:19.280]  我們是FreeChurch
[00:02:19.280 --> 00:02:22.100]  大家都知道原因,為什麼不再解釋
[00:02:24.400 --> 00:02:26.960]  很多儀式簡化了
[00:02:26.960 --> 00:02:30.540]  但我今天所說,不是因為這個歷史進程
[00:02:30.540 --> 00:02:35.400]  而是另一方面的歷史進程,就是基督在復活之後
[00:02:35.400 --> 00:02:38.220]  被埋葬
[00:02:38.220 --> 00:02:38.980]  復活
[00:02:38.980 --> 00:02:41.540]  十架當然是
[00:02:41.540 --> 00:02:44.860]  空白一片的,它不是再在上面
[00:02:44.860 --> 00:02:50.000]  但這番說話帶來我們很多很多的反省是什麼呢?
[00:02:50.000 --> 00:02:53.060]  特別是來到路加所提到的一件事
[00:02:53.320 --> 00:02:55.620]  是祂復活之後,你看到聖經
[00:02:55.620 --> 00:02:58.700]  耶穌基督不再在十架上面
[00:02:58.700 --> 00:03:00.240]  祂在墳墓裡面
[00:03:00.240 --> 00:03:01.520]  復活過來
[00:03:01.520 --> 00:03:05.860]  路加寫了一章《使徒行轉》,是第二卷書
[00:03:05.860 --> 00:03:07.660]  他仍然緊接
[00:03:07.660 --> 00:03:12.000]  路加福音24章所說,耶穌復活之後所寫的事
[00:03:12.000 --> 00:03:14.560]  如果你看到《使徒行轉》開始
[00:03:14.560 --> 00:03:18.920]  我手上拿的這本聖經是舊版的華本
[00:03:18.920 --> 00:03:20.200]  但是呢
[00:03:20.720 --> 00:03:23.540]  我用了另外一個
[00:03:23.540 --> 00:03:27.380]  和修版,讓大家有少許比較
[00:03:27.380 --> 00:03:29.940]  但我沒有全部寫出來
[00:03:29.940 --> 00:03:33.260]  沒有全部寫出來
[00:03:33.260 --> 00:03:35.820]  你看到開始的時候
[00:03:35.820 --> 00:03:36.840]  說
