
[00:00:00.000 --> 00:00:03.480]  各位弟兄姊妹,讓我們先領受賞色,我們一起禱告
[00:00:03.480 --> 00:00:09.220]  天父上帝,我們再次感恩
[00:00:09.220 --> 00:00:12.520]  因為祢將祢的愛者耶穌賜給我們
[00:00:12.520 --> 00:00:15.640]  我們今天能夠聚集在祢的面前
[00:00:15.640 --> 00:00:17.460]  完全都是祢的恩惠
[00:00:17.460 --> 00:00:20.920]  我們又感謝祢將祢寶貴的話語賜下
[00:00:20.920 --> 00:00:24.480]  讓我們能夠明白祢,知道祢的心意
[00:00:24.480 --> 00:00:27.040]  願聖靈帶領我們進入真理
[00:00:27.040 --> 00:00:30.600]  在以下時間裏面,帶領我們思想亞國的說話
[00:00:30.600 --> 00:00:32.440]  亦都是祢自己的說話
[00:00:32.440 --> 00:00:35.160]  我們恭敬禱告,仰望等候
[00:00:35.160 --> 00:00:38.280]  奉耶穌基督,成名祈求,阿們
[00:00:38.280 --> 00:00:43.400]  各位弟兄姊妹,今天我們仍然按著這一季度
[00:00:43.400 --> 00:00:46.440]  我們看亞國書的講道系列
[00:00:46.440 --> 00:00:50.480]  上星期周牧師在我們當中講到
[00:00:50.480 --> 00:00:54.280]  亞國書第二章,一至十三節
[00:00:54.440 --> 00:00:57.440]  今天我們會看的是剛才《愚昧傳道夢》
[00:00:57.440 --> 00:01:00.040]  我們讀的十四至二十六節
[00:01:00.040 --> 00:01:02.440]  其實在亞國書裏面
[00:01:02.440 --> 00:01:07.120]  《聖經學者》讓我們知道第二章
[00:01:07.120 --> 00:01:09.200]  無論是上次那一段經文
[00:01:09.200 --> 00:01:10.680]  還是這次這段經文
[00:01:10.680 --> 00:01:13.000]  其實都是在講一樣的事情
[00:01:13.000 --> 00:01:15.960]  一個重點,是信心
[00:01:15.960 --> 00:01:19.400]  而今天的經文,如果剛才大家聽或讀的時候
[00:01:19.400 --> 00:01:21.880]  你會發覺信心、行為
[00:01:21.880 --> 00:01:24.920]  信心、行為,不斷又不斷地出現
[00:01:24.920 --> 00:01:27.920]  而第二章的主題,其實好像
[00:01:27.920 --> 00:01:30.120]  大家看到的是在講
[00:01:30.120 --> 00:01:33.720]  基督徒持守信心,應該有的表現
[00:01:33.720 --> 00:01:37.120]  所以上一次在第一節
[00:01:37.120 --> 00:01:39.880]  開宗明義就說,我親愛的弟兄
[00:01:39.880 --> 00:01:43.120]  不要在偏待人的情況之下
[00:01:43.120 --> 00:01:44.640]  又去持守
[00:01:44.640 --> 00:01:47.960]  我們對那位榮耀主耶穌基督的信心
[00:01:47.960 --> 00:01:50.480]  當你持守信心的時候
[00:01:50.480 --> 00:01:52.000]  不要偏待人
[00:01:52.000 --> 00:01:54.640]  這是我們有信心,應該有的表現
[00:01:54.640 --> 00:01:58.520]  在今天的第一個部分裏面
[00:01:58.520 --> 00:02:00.120]  第一節裏面,十四節裏面
[00:02:00.120 --> 00:02:02.600]  同樣有一個類似你見到的結構
[00:02:02.600 --> 00:02:03.800]  或者一個字眼
[00:02:03.800 --> 00:02:05.280]  我的弟兄們
[00:02:05.280 --> 00:02:07.120]  有什麼益處呢?
[00:02:07.120 --> 00:02:08.720]  什麼事情呢?
[00:02:08.720 --> 00:02:11.400]  就是如果有人說他有信心
[00:02:11.400 --> 00:02:13.400]  「有」和「持守」是同一個字
[00:02:13.400 --> 00:02:14.680]  不過是不同的翻譯
[00:02:14.680 --> 00:02:17.720]  持守信心,但是沒有行為
[00:02:18.080 --> 00:02:22.000]  這個信心能夠救他嗎?
[00:02:22.000 --> 00:02:24.840]  你見到在十四節
[00:02:24.840 --> 00:02:28.560]  一開始雅各帶出第二個我們需要留意的地方
[00:02:28.560 --> 00:02:32.480]  如果有人說他持守信心
[00:02:32.480 --> 00:02:33.520]  他有信心
[00:02:33.520 --> 00:02:35.520]  但是沒有行為
[00:02:35.520 --> 00:02:37.480]  那又是怎樣呢?
[00:02:37.480 --> 00:02:42.240]  當雅各開了這個論題
[00:02:42.240 --> 00:02:46.240]  或者提醒讀者要去留心的地方之後
[00:02:46.480 --> 00:02:48.680]  接著雅各用了一個例子
[00:02:48.680 --> 00:02:51.640]  一個有信心,沒有行為的例子
[00:02:51.640 --> 00:02:53.640]  在第十五和第十六節
[00:02:53.640 --> 00:02:54.800]  這裏說
[00:02:54.800 --> 00:02:59.160]  如果有弟兄或者姐妹衣不閉體
[00:02:59.160 --> 00:03:02.160]  有缺乏日用的食物
[00:03:02.160 --> 00:03:05.880]  但你們當中有人對他們說
[00:03:05.880 --> 00:03:07.800]  你們平安地走吧
