
[00:00:00.000 --> 00:00:03.500]  很多年前看過一套荷里活的電影
[00:00:03.500 --> 00:00:07.200]  那套電影的英文名字叫做《Indecent Proposal》
[00:00:07.200 --> 00:00:11.000]  中文的翻譯有些是翻譯「桃色交易」
[00:00:11.000 --> 00:00:13.500]  有些是翻譯「不道德的交易」
[00:00:13.500 --> 00:00:14.500]  大家有沒有看過?
[00:00:14.500 --> 00:00:18.500]  這個電影的故事講述一個很富有的一個有錢人
[00:00:18.500 --> 00:00:22.500]  有一次見到一個女子
[00:00:22.500 --> 00:00:25.000]  相當想結識她
[00:00:25.000 --> 00:00:28.500]  不過後來發現這個女子原來已經結婚了
[00:00:28.500 --> 00:00:31.000]  不過仍然很想得到這個女子
[00:00:31.000 --> 00:00:36.500]  故事發展下去就是說這個有錢人走去跟那個女子說
[00:00:36.500 --> 00:00:38.500]  你陪我一晚
[00:00:38.500 --> 00:00:43.000]  我給你一大筆你不能抗拒的金錢
[00:00:43.000 --> 00:00:48.000]  你對這個故事的那個女子剛剛結婚沒多久
[00:00:48.000 --> 00:00:52.500]  兩口子就正是經濟蠻緊
[00:00:52.500 --> 00:00:54.500]  很需要錢用
[00:00:54.500 --> 00:00:59.000]  如果你是那個女子你會不會答應?
[00:00:59.000 --> 00:01:04.000]  如果你是那個丈夫你會不會一晚而已無所謂?
[00:01:04.000 --> 00:01:05.000]  會不會呢?
[00:01:05.000 --> 00:01:08.500]  在這個電影裡面那個有錢人說了一句
[00:01:08.500 --> 00:01:13.000]  也值得我們去想一想的說話
[00:01:13.000 --> 00:01:16.000]  每一個人都有一個價錢
[00:01:16.000 --> 00:01:18.500]  當價錢到的時候
[00:01:18.500 --> 00:01:21.500]  人是會做一些他們平常不會做的事情
[00:01:21.500 --> 00:01:23.000]  他們願意做的
[00:01:23.000 --> 00:01:26.000]  重要就是那個價錢到不到而已
[00:01:26.000 --> 00:01:28.500]  大家同不同意這句話?
[00:01:28.500 --> 00:01:29.500]  如果你同意的話
[00:01:29.500 --> 00:01:33.000]  你的價錢又是什麼呢?
[00:01:33.000 --> 00:01:35.000]  今天的故事也告訴我們
[00:01:35.000 --> 00:01:42.000]  有一個人他想用錢來買屬靈的神的恩賜
[00:01:42.000 --> 00:01:44.000]  從這段經文裡面
[00:01:44.000 --> 00:01:45.000]  我們都知道了
[00:01:45.000 --> 00:01:47.500]  彼得沒有接受到這筆的錢
[00:01:47.500 --> 00:01:49.000]  原因很簡單
[00:01:49.000 --> 00:01:52.500]  因為神的恩賜非賣品來的
[00:01:52.500 --> 00:01:58.000]  老實說就算在那一刻彼得突然之間貪念起
[00:01:58.000 --> 00:01:59.500]  我賣我賣
