
[00:00:00.000 --> 00:00:02.720]  首先要多謝利伯加斯班
[00:00:02.720 --> 00:00:05.920]  唱出這首這麼經典的詩歌
[00:00:05.920 --> 00:00:12.080]  在11月謝恩節的日子
[00:00:12.080 --> 00:00:17.040]  提醒我們不要忘記上帝給我們的這份奇妙的恩典
[00:00:17.040 --> 00:00:20.720]  很多謝利伯加斯班衷心的侍奉
[00:00:20.720 --> 00:00:22.720]  願主賜福你們每一個
[00:00:22.720 --> 00:00:26.000]  相信大家都知道利伯加斯班
[00:00:26.000 --> 00:00:31.680]  其實大部份的施班員都是來自婦女團契的
[00:00:31.680 --> 00:00:36.640]  不過你們知不知道婦女團契的名字是甚麼名字
[00:00:36.640 --> 00:00:38.320]  (路德 路德)
[00:00:38.320 --> 00:00:39.840]  我知道了
[00:00:39.840 --> 00:00:44.720]  其實周刊的後面就有答案了
[00:00:44.720 --> 00:00:45.440]  沒錯
[00:00:45.440 --> 00:00:50.880]  就是今天我們查的這本書卷的人的名字叫路德
[00:00:50.880 --> 00:00:51.840]  路德
[00:00:51.840 --> 00:00:55.040]  路德這個名字的意思是甚麼呢
[00:00:55.040 --> 00:00:57.040]  原來是美麗
[00:00:57.040 --> 00:01:00.480]  路德在當時的父權社會裏面
[00:01:00.480 --> 00:01:05.280]  在女性和小朋友都不被重視的情況底下
[00:01:05.280 --> 00:01:11.840]  不單止能夠成為舊約裏面唯二的女性命名的書卷
[00:01:11.840 --> 00:01:16.160]  更加重要的就是這位愛邦的摩訶女子
[00:01:16.160 --> 00:01:22.400]  她竟然是以色列第二任君王大衛王的曾祖母
[00:01:22.400 --> 00:01:27.920]  連耶穌的族譜都記載了這位女子的名字
[00:01:27.920 --> 00:01:29.920]  今天是11月11日
[00:01:29.920 --> 00:01:33.120]  本來今天其實沒甚麼特別的
[00:01:33.120 --> 00:01:39.760]  最多都是我們被購物網站、電視直銷、報章雜誌
[00:01:39.760 --> 00:01:44.400]  用鋪天蓋地的廣告洗了我們的腦
[00:01:44.400 --> 00:01:48.960]  要告訴我們11月11日就是平價購物的日子
[00:01:48.960 --> 00:01:54.320]  不過如果大家有留心基督教界的新聞的話
[00:01:54.320 --> 00:01:57.360]  應該會知道或聽過
[00:01:57.360 --> 00:02:01.600]  吳鎮志牧師早在十多年前已經倡議
[00:02:01.600 --> 00:02:07.760]  每一年的11月11日定為夫婦節
[00:02:07.760 --> 00:02:13.920]  而這四個一就是一夫一妻一生一世
[00:02:13.920 --> 00:02:17.120]  提醒我們婚姻是上帝所設立的
[00:02:17.120 --> 00:02:23.200]  我們要對伴侶忠貞甚至建議
[00:02:23.200 --> 00:02:31.360]  將11月11日夫婦節定為香港的公眾假期之一
[00:02:31.360 --> 00:02:34.960]  當然現在我們要聽得更多的
[00:02:34.960 --> 00:02:39.920]  就是將11月11日稱為「光棍節」
[00:02:39.920 --> 00:02:43.440]  這是屬於單身貴族的日子
[00:02:43.440 --> 00:02:48.480]  讓這些單身一族能夠高呼自己仍然是available
[00:02:48.480 --> 00:02:50.720]  仍然是可以被追求的
[00:02:50.720 --> 00:02:54.800]  亦有人會趁這一天舉辦交友活動
[00:02:54.800 --> 00:02:59.200]  希望能夠脫離單身一眾的行列
[00:02:59.200 --> 00:03:03.760]  讓光棍節成為自己的脫光節
[00:03:03.760 --> 00:03:05.520]  今日的港島經文
[00:03:05.520 --> 00:03:12.720]  剛剛提到路德和波亞斯他們脫光的愛情故事
[00:03:12.720 --> 00:03:15.920]  他們成親後生了一個兒子
[00:03:15.920 --> 00:03:20.960]  路德的奶奶拿訛米抱著這個寶寶在懷裏
[00:03:20.960 --> 00:03:27.680]  相信她一定是抱著很滿足很溫馨很甜蜜的笑容
[00:03:27.680 --> 00:03:33.760]  正正就是她的名字拿訛米「甜」的意思
[00:03:33.760 --> 00:03:38.800]  一對幾經神的恩典才能結成的夫婦
[00:03:38.800 --> 00:03:46.000]  一個抱著自己的孫子 泛起甜美滿足的笑容的婆婆
[00:03:46.000 --> 00:03:49.440]  在路德記即將結束之前的這一幕
[00:03:49.440 --> 00:03:54.400]  相信很多人都會用「溫馨」來形容
[00:03:54.400 --> 00:04:01.680]  不過如果你知道拿訛米和路德十幾年前的遭遇的話
[00:04:01.680 --> 00:04:06.160]  或者你會明白為何我會用「絕處逢生」
[00:04:06.160 --> 00:04:09.440]  來形容這個溫馨的一幕
[00:04:09.440 --> 00:04:11.120]  在我們去絕處之前
[00:04:11.120 --> 00:04:19.200]  請大家一起同心祈禱
[00:04:19.200 --> 00:04:21.760]  聖靈求祢充滿我們
[00:04:21.760 --> 00:04:25.360]  讓我們有屬祢的智慧
[00:04:25.360 --> 00:04:32.000]  能夠可以明白你在經文當中所教導的真理
[00:04:32.000 --> 00:04:35.440]  幫助我們聽的講的都能夠同的益處
[00:04:35.440 --> 00:04:37.280]  我們祈禱感恩
[00:04:37.280 --> 00:04:42.480]  奉主耶穌基督聖名祈求
[00:04:42.480 --> 00:04:50.800]  會長可以翻到前面有紅色線那裏
[00:04:50.800 --> 00:04:56.160]  當你們翻開路德記第一章
[00:04:56.160 --> 00:04:58.480]  我們就能夠看到第一章第一節
[00:04:58.480 --> 00:05:03.120]  那裏一開始就講清楚背景所在
[00:05:03.120 --> 00:05:05.440]  原來所有這些故事
[00:05:05.440 --> 00:05:09.520]  都是發生在世詩統治的時代
[00:05:09.520 --> 00:05:12.320]  由於猶大地遭遇饑荒
[00:05:12.320 --> 00:05:16.880]  所以拿訛米她老公爾利米勒和兩個兒子
[00:05:16.880 --> 00:05:25.200]  他們決定要離開稱為「麵包之城」的故鄉伯利恆
[00:05:25.200 --> 00:05:33.360]  他們一家四口遷移到拜偶像的外邦摩押
[00:05:33.360 --> 00:05:35.200]  用現代術語來說
[00:05:35.200 --> 00:05:36.720]  拿訛米一家四口
[00:05:36.720 --> 00:05:43.120]  就是移民到另一個崇拜其他神明的外國生活
[00:05:43.120 --> 00:05:45.680]  在摩押這十多年的光景中
[00:05:45.680 --> 00:05:48.400]  雖然兩個兒子都成家立室
[00:05:48.400 --> 00:05:52.000]  娶了摩押的女子為妻
