
[00:00:00.000 --> 00:00:04.340]  各位電影主媒平安 我是劉少康牧師
[00:00:04.340 --> 00:00:08.360]  現在是聖誕節期間
[00:00:08.360 --> 00:00:13.420]  也是2020年快要結束的時候
[00:00:13.420 --> 00:00:18.140]  記得很多的電視台都有些節目
[00:00:18.140 --> 00:00:23.280]  回顧今年的歷史大事
[00:00:23.280 --> 00:00:25.600]  有些什麼的大新聞
[00:00:25.600 --> 00:00:31.320]  有些是本地的 有些是國際的大事
[00:00:31.320 --> 00:00:35.300]  我不知道當你回望2020年
[00:00:35.300 --> 00:00:38.180]  你會怎樣描寫呢
[00:00:38.180 --> 00:00:43.480]  今年是很糟透了的一年
[00:00:43.480 --> 00:00:48.900]  今年是壞到不能再壞的一年
[00:00:48.900 --> 00:00:52.900]  《時報》在今年年尾的時候
[00:00:52.900 --> 00:00:56.460]  就以這樣的封面
[00:00:56.460 --> 00:01:03.980]  將2020年用紅色筆打了一個大交叉
[00:01:03.980 --> 00:01:09.760]  標題就是The Worst Year Ever
[00:01:09.760 --> 00:01:15.440]  最壞 未試過這麼壞的一年
[00:01:15.440 --> 00:01:18.760]  史無前例的
[00:01:18.760 --> 00:01:22.640]  是令人充滿嘆息
[00:01:22.640 --> 00:01:26.980]  充滿心痛 充滿失望
[00:01:26.980 --> 00:01:29.860]  充滿痛苦的一年
[00:01:29.860 --> 00:01:34.060]  我不知道今年你有什麼痛呢
[00:01:34.060 --> 00:01:41.220]  會不會有些你熟悉的親人 朋友 同事
[00:01:41.220 --> 00:01:43.520]  是離開了世界
[00:01:43.520 --> 00:01:47.720]  會不會有些是都曾經患病
[00:01:47.720 --> 00:01:52.620]  或者你自己的經濟都很受影響
[00:01:52.620 --> 00:01:55.880]  我相信今年每一個家庭
[00:01:55.880 --> 00:01:57.800]  每一個工作的人
[00:01:57.800 --> 00:02:01.540]  我們的入息都會大大減低
[00:02:01.540 --> 00:02:04.380]  更加我心裏很難過的
[00:02:04.380 --> 00:02:09.020]  有不少的人因為公司的裁員
[00:02:09.020 --> 00:02:13.840]  甚至是公司的倒閉而失業
[00:02:13.840 --> 00:02:17.100]  面對很多的難關
[00:02:17.100 --> 00:02:19.960]  求天父憐憫我們
[00:02:19.960 --> 00:02:27.260]  其中我首先都要向全世界的醫護人員致敬
[00:02:27.260 --> 00:02:29.720]  因為在這次疫情裏面
[00:02:29.720 --> 00:02:34.760]  他們負上了很大很大的代價
[00:02:34.760 --> 00:02:37.760]  有很多的護士 醫生
[00:02:37.760 --> 00:02:40.560]  真的費枕忘攤
[00:02:40.560 --> 00:02:44.140]  來跟疫情戰鬥
[00:02:44.140 --> 00:02:46.300]  他們額外加班
[00:02:46.300 --> 00:02:50.700]  人手不足 仍然堅守崗位
[00:02:50.700 --> 00:02:54.740]  這些就是醫護人員的遺失
[00:02:54.740 --> 00:02:59.740]  我相信其中有不少都是很好的信徒
[00:02:59.740 --> 00:03:03.200]  他們不單要穩守崗位
[00:03:03.200 --> 00:03:06.940]  他們還帶著愛 帶著關懷
[00:03:06.940 --> 00:03:10.520]  去面對那些染病的人
[00:03:10.520 --> 00:03:14.360]  當你知道自己染了COVID-19的時候
[00:03:14.360 --> 00:03:17.920]  我想你會好像被打沉了一樣
[00:03:17.920 --> 00:03:20.560]  你會很沮喪 很失望
[00:03:20.560 --> 00:03:24.800]  因為不知道有沒有可能活著
[00:03:24.800 --> 00:03:28.000]  我想全世界的人未試過
[00:03:28.000 --> 00:03:32.440]  在生命面對這麼大的挑戰
[00:03:32.440 --> 00:03:37.440]  連自己的命都不知道能否保存
[00:03:37.440 --> 00:03:40.680]  疫情不知何時會埋身
[00:03:40.680 --> 00:03:43.640]  個個帶著口罩出街
[00:03:43.640 --> 00:03:47.040]  令人覺得很沒有安全感
[00:03:47.040 --> 00:03:50.060]  見到人你要遠遠的避開
[00:03:50.060 --> 00:03:54.860]  以往我們會很熱情走過去跟人聊天 握手
[00:03:54.860 --> 00:03:57.100]  現在握手都不敢握
[00:03:57.100 --> 00:04:01.200]  碰一下就搶 這樣就叫做打招呼
[00:04:01.200 --> 00:04:05.400]  連所有的活動都要被停止
[00:04:05.400 --> 00:04:11.600]  首先 你不能上班 要在家工作
[00:04:11.600 --> 00:04:16.720]  你不能上學 要在網上學習
[00:04:16.720 --> 00:04:21.680]  你不能去教會 要在網上崇拜
[00:04:21.680 --> 00:04:27.960]  令到我們整個世界好像翻天覆地一樣
[00:04:27.960 --> 00:04:30.860]  因此到了年尾的時候
[00:04:30.860 --> 00:04:33.920]  可否讓我們做一個回顧
[00:04:33.920 --> 00:04:41.880]  我們去問到底今年全世界發生這麼多的事
[00:04:41.880 --> 00:04:44.840]  有什麼原因呢?
[00:04:44.840 --> 00:04:50.580]  到底神要向我們講什麼話?
[00:04:50.580 --> 00:04:54.200]  我相信當有些事情出現的時候
[00:04:54.200 --> 00:04:59.800]  其實也是天父向我們講話的時候
[00:04:59.800 --> 00:05:02.920]  我自己很深感受到
[00:05:02.920 --> 00:05:07.420]  其實神要藉著這次全世界的疫情
[00:05:07.420 --> 00:05:10.180]  是警告世人
[00:05:10.180 --> 00:05:15.620]  第一 世人我們都太驕傲了
[00:05:15.620 --> 00:05:18.120]  我們以為自己很了不起
[00:05:18.120 --> 00:05:21.000]  我們現在的科技很發達
[00:05:21.000 --> 00:05:24.700]  我們宣告進入5G的年代
[00:05:24.700 --> 00:05:28.440]  說所有事情可以在網上處理的
[00:05:28.440 --> 00:05:33.040]  可以不用真人開車的
[00:05:33.040 --> 00:05:39.560]  以後的私家車是電動控制的
[00:05:39.560 --> 00:05:41.940]  自己操作的
[00:05:41.940 --> 00:05:49.880]  甚至醫生可以在幾個地方同時為一個病人做手術的
[00:05:49.880 --> 00:05:55.160]  實際做手術的是某一方面的專家
[00:05:55.160 --> 00:05:59.920]  但他同時在聽美國、英國、法國
[00:05:59.920 --> 00:06:02.840]  其他專家給他意見
[00:06:02.840 --> 00:06:05.920]  幾個醫生一起會診的
[00:06:05.920 --> 00:06:09.240]  因為有5G的聯繫
[00:06:09.240 --> 00:06:14.100]  我們人類覺得我們已經可以面對各樣的病症
[00:06:14.100 --> 00:06:18.980]  所有的疫情、所有的病毒我們都可以消滅的
[00:06:18.980 --> 00:06:26.660]  但是今次面對這個COVID-19可以說束手無策
[00:06:26.660 --> 00:06:31.020]  剛剛現在12月22號左右
[00:06:31.020 --> 00:06:36.900]  發覺歐洲特別最近英國疫情又再嚴重
[00:06:36.900 --> 00:06:40.220]  整個國家要close down
[00:06:40.220 --> 00:06:43.560]  發現的第四波的疫情
[00:06:43.560 --> 00:06:47.400]  說這些病毒已經變種了
[00:06:47.400 --> 00:06:50.720]  大家一聽見變種就很害怕
[00:06:50.720 --> 00:06:55.840]  會不會更加厲害
[00:06:55.840 --> 00:06:59.180]  我們的疫苗有沒有用
[00:06:59.180 --> 00:07:02.240]  我剛剛都聽了一個資訊
[00:07:02.240 --> 00:07:07.620]  叫做幼稚園的醫學講座
[00:07:07.620 --> 00:07:09.920]  就是英國一位的醫生
[00:07:09.920 --> 00:07:14.020]  來介紹這個變種的COVID-19
[00:07:14.020 --> 00:07:15.560]  到底是怎樣
[00:07:15.560 --> 00:07:17.620]  他說這些病毒
[00:07:17.620 --> 00:07:21.200]  隨隨便便都變種幾百次了
[00:07:21.200 --> 00:07:24.020]  他們不停在變種當中
[00:07:24.020 --> 00:07:25.800]  不過這次發現的
[00:07:25.800 --> 00:07:28.620]  是有一些新的情況出現
[00:07:28.620 --> 00:07:33.220]  他給一些防心劑給我們
[00:07:33.220 --> 00:07:40.140]  就說瑞輝藥廠所研發出來的疫苗
[00:07:40.140 --> 00:07:42.440]  仍然是有效的
[00:07:42.440 --> 00:07:45.000]  所以我們不需要這麼震驚
[00:07:45.000 --> 00:07:47.040]  不需要這麼擔憂
[00:07:47.040 --> 00:07:49.360]  沒錯我們要很謹慎
[00:07:49.360 --> 00:07:51.140]  我們要很小心
[00:07:51.140 --> 00:07:54.980]  但讓我們有信心地過生活
[00:07:54.980 --> 00:07:58.820]  所以今天我也很想跟大家講一篇訊息
[00:07:58.820 --> 00:08:03.440]  面對一個最壞的一年
[00:08:03.440 --> 00:08:07.520]  但我們戒出來的那個餅
[00:08:07.520 --> 00:08:09.320]  是甜的
[00:08:09.320 --> 00:08:12.140]  用英文來說
[00:08:12.140 --> 00:08:16.240]  In this worst year is like a cake
[00:08:16.240 --> 00:08:18.540]  好像一個蛋糕一樣
[00:08:18.540 --> 00:08:22.120]  But my slice is sweet
[00:08:22.120 --> 00:08:25.460]  沒錯那個餅很苦
[00:08:25.460 --> 00:08:26.980]  很壞透
[00:08:26.980 --> 00:08:30.820]  就代表2020年你當它是一個蛋糕
[00:08:30.820 --> 00:08:32.880]  但你切一塊出來
[00:08:32.880 --> 00:08:35.440]  剛剛分給你的那塊
[00:08:35.440 --> 00:08:37.740]  是甜的
[00:08:37.740 --> 00:08:41.840]  沒錯環境很不順利
[00:08:41.840 --> 00:08:43.640]  我們不能去旅行
[00:08:43.640 --> 00:08:46.960]  我們計劃所有的東西都要被打斷
[00:08:46.960 --> 00:08:51.060]  我們發覺自己是不可以預測將來
[00:08:51.060 --> 00:08:53.360]  我也很想安排下
[00:08:53.360 --> 00:08:56.440]  2021年要做些什麼
[00:08:56.440 --> 00:08:58.740]  但現在發覺一切
[00:08:58.740 --> 00:09:01.560]  都沒得決定的
[00:09:01.560 --> 00:09:06.160]  會不會2021年年中之後
[00:09:06.160 --> 00:09:09.240]  會不用隔離14天
[00:09:09.240 --> 00:09:11.280]  誰可以說得完呢
[00:09:11.280 --> 00:09:13.840]  什麼時候會有什麼事發生
[00:09:13.840 --> 00:09:17.680]  完全我們沒有辦法可以預料的
[00:09:17.680 --> 00:09:21.780]  我們唯有信靠我們的神
[00:09:21.780 --> 00:09:24.600]  所以很想你回顧一下
[00:09:24.600 --> 00:09:28.180]  雖然今年壞透了
[00:09:28.180 --> 00:09:29.960]  情況很差
[00:09:29.960 --> 00:09:32.520]  你失望極了
[00:09:32.520 --> 00:09:36.620]  但是會不會仍然有因典
[00:09:36.620 --> 00:09:39.960]  有一首歌我真的很喜歡的就是
[00:09:39.960 --> 00:09:41.500]  主的因典
[00:09:41.500 --> 00:09:44.560]  樣樣都要數
[00:09:44.560 --> 00:09:47.140]  Count your blessings
[00:09:47.140 --> 00:09:50.460]  Lamb them one by one
[00:09:50.460 --> 00:09:54.040]  一樣一樣都數出來
[00:09:54.040 --> 00:09:56.080]  Count your blessings
[00:09:56.080 --> 00:09:59.920]  Lamb them one by one
[00:09:59.920 --> 00:10:01.980]  Count your blessings
[00:10:01.980 --> 00:10:05.820]  See what God has done
[00:10:05.820 --> 00:10:09.400]  Count your blessings
