
[00:00:00.000 --> 00:00:10.000]  弟兄姊妹平安,很開心。
[00:00:10.000 --> 00:00:18.000]  真的很感恩。
[00:00:18.000 --> 00:00:27.000]  原來我們能夠走在一起,
[00:00:27.000 --> 00:00:32.000]  敬拜上帝不是必然。
[00:00:32.000 --> 00:00:36.000]  這樣我們真的要更加的珍惜。
[00:00:36.000 --> 00:00:39.000]  上個禮拜和偉雄聊天的時候,
[00:00:39.000 --> 00:00:41.000]  他就說了一句話,
[00:00:41.000 --> 00:00:45.000]  他說那個黃大仙廟一重開,
[00:00:45.000 --> 00:00:53.000]  那些信眾就爭著去插那個頭柱香。
[00:00:53.000 --> 00:00:56.000]  他說不知道我們教會重開了那個崇拜,
[00:00:56.000 --> 00:01:00.000]  弟兄姊妹會不會像那些人一樣爭著回來,
[00:01:00.000 --> 00:01:02.000]  爭第一個進入教會的。
[00:01:02.000 --> 00:01:06.000]  弟兄姊妹你今天回來是帶著怎麼樣的心情呢?
[00:01:06.000 --> 00:01:09.000]  應該很開心,很雀躍。
[00:01:09.000 --> 00:01:12.000]  真的,我們真的要好好珍惜,
[00:01:12.000 --> 00:01:15.000]  我們能夠一起敬拜上帝的時間,
[00:01:15.000 --> 00:01:18.000]  我們真的不知道還有多少這樣的機會。
[00:01:18.000 --> 00:01:23.000]  今天我的題目是至高無上的耶穌,
[00:01:23.000 --> 00:01:27.000]  是我們一個新的講道系列。
[00:01:27.000 --> 00:01:36.000]  最近在香港教會更新運動進行了一個普查,
[00:01:36.000 --> 00:01:41.000]  就是普查2014到2019年香港教會的情況,
[00:01:41.000 --> 00:01:44.000]  那這是五年一度的一個普查結果,
[00:01:44.000 --> 00:01:47.000]  那他出了有一些的資料就說,
[00:01:47.000 --> 00:01:52.000]  香港的堂會數目由2014年的1287間,
[00:01:52.000 --> 00:01:57.000]  就增加到1305間,增加了十幾間。
[00:01:57.000 --> 00:02:01.000]  但是總幹事胡志偉牧師他分析那些數據,
[00:02:01.000 --> 00:02:08.000]  他卻用了弱不禁風來形容香港目前的教會。
[00:02:08.000 --> 00:02:10.000]  弱不禁風是說什麼呢?
[00:02:10.000 --> 00:02:14.000]  他是提到香港教會老弱乏力,
[00:02:14.000 --> 00:02:20.000]  人會眾年齡越來越大,青少年流失了,
[00:02:20.000 --> 00:02:23.000]  不教不養,教會沒有教導,
[00:02:23.000 --> 00:02:26.000]  沒有主義學,沒有聖經的學習,
[00:02:26.000 --> 00:02:31.000]  講臺信息沒有教導,經濟隱憂,
[00:02:31.000 --> 00:02:34.000]  這個很明顯了,風起雲湧,
[00:02:34.000 --> 00:02:37.000]  就是過去發生了很多雨傘運動,
[00:02:37.000 --> 00:02:40.000]  反修例的運動等等等等,
[00:02:40.000 --> 00:02:47.000]  那香港教會面對很多社會議題的爭議,
[00:02:47.000 --> 00:02:51.000]  如何扭轉香港教會的頹勢呢?
[00:02:51.000 --> 00:02:56.000]  我相信不是光靠你和我我們可以做到的,
[00:02:56.000 --> 00:03:01.000]  而是有賴香港每一個信徒我們齊心協力,
[00:03:01.000 --> 00:03:06.000]  但是如果要傳恩堂更加的茁壯成長呢,
[00:03:06.000 --> 00:03:09.000]  卻是你和我我們每一個人,
[00:03:09.000 --> 00:03:13.000]  每一個參與傳恩堂的貴重的責任,
[00:03:13.000 --> 00:03:18.000]  而我深信只要我們每一個人你都愛這個家,
[00:03:18.000 --> 00:03:20.000]  你一定能夠做到,
[00:03:20.000 --> 00:03:23.000]  所以要想建立一個美好的教會,
[00:03:23.000 --> 00:03:25.000]  首先我們就要先了解,
[00:03:25.000 --> 00:03:29.000]  怎樣的教會才是上帝所喜悅的呢?
[00:03:29.000 --> 00:03:32.000]  所以呢,從今天開始,
[00:03:32.000 --> 00:03:37.000]  我和羅慕斯未來的一個時段的講道呢,
[00:03:37.000 --> 00:03:43.000]  我們就會集中在健康教會的特質這方面,
[00:03:43.000 --> 00:03:48.000]  我今天的題目第一講就是至高無上的耶穌,
[00:03:48.000 --> 00:03:51.000]  那一講教會我首先就問,
[00:03:51.000 --> 00:03:54.000]  教會到底是什麼?
[00:03:54.000 --> 00:03:59.000]  教會是不是一個慈善組織?
[00:03:59.000 --> 00:04:03.000]  是還是不是?
[00:04:03.000 --> 00:04:06.000]  上方我們註冊也是個慈善組織,
[00:04:06.000 --> 00:04:08.000]  所以是,
[00:04:08.000 --> 00:04:11.000]  是不是一個有限公司?
[00:04:11.000 --> 00:04:12.000]  也是,
[00:04:12.000 --> 00:04:15.000]  你奉獻寫那個也一定要有有限公司,
