
[00:00:00.000 --> 00:00:04.200]  今天來到我們完成任務的講道系列第五課
[00:00:04.200 --> 00:00:05.880]  我們會講一個題目
[00:00:05.880 --> 00:00:10.640]  就是如何跟進和栽培剛剛信主的人
[00:00:10.640 --> 00:00:13.200]  因為這個也是任務其中的一部份
[00:00:13.200 --> 00:00:17.880]  今天想和大家分享的三點
[00:00:17.880 --> 00:00:21.360]  第一點就是當一個新信主的人
[00:00:21.360 --> 00:00:23.000]  信了主之後就好像一個嬰兒
[00:00:23.000 --> 00:00:24.080]  新的生命
[00:00:24.080 --> 00:00:26.000]  他的成長好不好呢
[00:00:26.000 --> 00:00:29.120]  其實跟跟進栽培有很大的關係
[00:00:29.120 --> 00:00:32.120]  第一樣跟進栽培我覺得最重要的
[00:00:32.120 --> 00:00:35.120]  就是讓這個初生的嬰兒
[00:00:35.120 --> 00:00:39.920]  在信仰上開始建立一個很穩固的根基
[00:00:39.920 --> 00:00:42.440]  所以在信仰上紮根
[00:00:42.440 --> 00:00:44.760]  是第一點想和大家分享的
[00:00:44.760 --> 00:00:49.040]  有一段經文在加拿大書四章十九到二十節
[00:00:49.040 --> 00:00:53.040]  那裏是保羅塞比加拿大教會的一封書信
[00:00:53.040 --> 00:00:55.200]  他在當中有一句這樣的說話
[00:00:55.200 --> 00:01:02.200]  我的孩子們 我再次像母親為你們忍受生產的痛苦
[00:01:02.200 --> 00:01:06.320]  直到基督的特性在你們的生命中成形
[00:01:06.320 --> 00:01:10.320]  我多麼渴望現在就跟你們在一起
[00:01:10.320 --> 00:01:13.320]  好讓我用另一種態度來對待你們
[00:01:13.320 --> 00:01:18.160]  為著你們我心裏多麼困惑不安
[00:01:18.160 --> 00:01:19.880]  那保羅在這裏說什麼呢
[00:01:19.880 --> 00:01:26.200]  而是他傳福音給加拿大教會就建立了教會一班人
[00:01:26.200 --> 00:01:27.800]  原先信得好好的
[00:01:27.800 --> 00:01:30.280]  後來來了一班人就跟他們說
[00:01:30.280 --> 00:01:31.960]  信耶穌都不是不好的
[00:01:31.960 --> 00:01:33.360]  不過除了信耶穌
[00:01:33.360 --> 00:01:35.760]  可能還有其他的東西你可以參考
[00:01:35.760 --> 00:01:37.160]  例如星座
