
[00:00:00.000 --> 00:00:04.540]  (主席)聖誕節是一個平安的日子
[00:00:04.540 --> 00:00:10.300]  今天和大家講的經文就未到聖誕的經文
[00:00:10.300 --> 00:00:12.700]  因為路加夫音下星期開始講
[00:00:12.700 --> 00:00:17.140]  今天仍然會講已不鎖書最後那一段
[00:00:17.140 --> 00:00:20.640]  不過我覺得和今天的敬拜主題都相似
[00:00:20.640 --> 00:00:24.440]  因為今天是講一個屬靈的征戰
[00:00:24.440 --> 00:00:26.600]  一個神國的徵兵
[00:00:26.600 --> 00:00:28.200]  這個形容 這個描述
[00:00:28.200 --> 00:00:32.640]  其實這段經文我相信很多人都很熟悉
[00:00:32.640 --> 00:00:36.200]  但我想再強調一點
[00:00:36.200 --> 00:00:39.600]  整個已不鎖書裏面有很多人講
[00:00:39.600 --> 00:00:41.200]  有很多人的研究
[00:00:41.200 --> 00:00:43.500]  就說這段是末後的話
[00:00:43.500 --> 00:00:45.300]  即是末了的話 最後的話
[00:00:45.300 --> 00:00:48.100]  Finally 這段聖經
[00:00:48.100 --> 00:00:52.500]  有人說前面一直講開第一章到第五章
[00:00:52.500 --> 00:00:57.400]  去到這部份其實都是為了要預備這段經文
[00:00:57.400 --> 00:01:00.600]  這個是高峰 這是高潮
[00:01:00.600 --> 00:01:02.600]  是保羅在寫這封信的時候
[00:01:02.600 --> 00:01:07.200]  他很想很想告訴他的弟兄姊妹
[00:01:07.200 --> 00:01:10.800]  告訴我們 耶穌基督成就了合一
[00:01:10.800 --> 00:01:12.200]  這是前面講的
[00:01:12.200 --> 00:01:14.700]  成就了合一 得勝了仇敵
[00:01:14.700 --> 00:01:18.600]  他叫我們的生命要活出光明之子的身份
[00:01:18.600 --> 00:01:20.000]  叫我們在家庭裏面
[00:01:20.000 --> 00:01:23.600]  夫妻 子女 父母 兩代主僕之間
[00:01:23.600 --> 00:01:27.200]  有那種順服 彼此的順服 和平
[00:01:27.200 --> 00:01:30.400]  然後去到這一段這麼特別的聖經
[00:01:30.400 --> 00:01:32.000]  這是一個高峰
[00:01:32.000 --> 00:01:34.300]  正在預備整個教會
[00:01:34.300 --> 00:01:36.100]  前面一直講這麼多東西
[00:01:36.100 --> 00:01:38.100]  都好像是為了這段經文而講
[00:01:38.100 --> 00:01:40.600]  所以大家要留心聽這段經文
[00:01:40.600 --> 00:01:43.300]  看保羅透過這段聖經
[00:01:43.300 --> 00:01:45.400]  和當年的教會 以弗所教會
[00:01:45.400 --> 00:01:48.100]  和今天聖靈要透過這段經文
[00:01:48.100 --> 00:01:49.800]  跟我們講什麼
[00:01:49.800 --> 00:01:51.800]  屬靈的爭戰
[00:01:51.800 --> 00:01:53.700]  讓我們一起讀這段經文
[00:01:53.700 --> 00:01:56.200]  第六章第十節到第二十節
[00:01:56.200 --> 00:01:58.600]  我們一起讀一次 請
[00:02:26.200 --> 00:02:27.600]  墨增賤
[00:02:27.600 --> 00:02:32.400]  所以要拿起神所賜的全副軍裝
[00:02:32.400 --> 00:02:36.100]  好在磨爛的日子抵擋仇敵
[00:02:36.100 --> 00:02:38.400]  並且成就了一切
[00:02:38.400 --> 00:02:40.700]  還能站立得住
[00:02:40.700 --> 00:02:42.900]  所以要站穩了
[00:02:42.900 --> 00:02:46.000]  用真理當作帶子束腰
[00:02:46.000 --> 00:02:49.600]  用公義當作護心鏡遮胸
[00:02:49.600 --> 00:02:51.700]  又用平安的福音
[00:02:51.700 --> 00:02:55.900]  當作預備走路的鞋穿在腳上
[00:02:55.900 --> 00:02:59.800]  此外又要拿著信德當作盾牌
[00:02:59.800 --> 00:03:03.700]  可以滅盡那惡者一切的火箭
[00:03:03.700 --> 00:03:06.500]  並戴上救恩的頭盔
[00:03:06.500 --> 00:03:08.800]  拿著聖靈的寶劍
[00:03:08.800 --> 00:03:10.700]  就是神的道
[00:03:10.700 --> 00:03:15.100]  靠著聖靈隨時多方禱告祈求
[00:03:15.100 --> 00:03:17.800]  並要在此警醒不倦
[00:03:17.800 --> 00:03:20.000]  為眾聖徒祈求
[00:03:20.000 --> 00:03:22.000]  也為我祈求
[00:03:22.000 --> 00:03:24.000]  使我得著口才
[00:03:24.000 --> 00:03:26.200]  能以放膽開口
[00:03:26.200 --> 00:03:28.600]  講明福音的奧秘
[00:03:28.600 --> 00:03:30.700]  我為這福音的奧秘
[00:03:30.700 --> 00:03:33.500]  作了帶鎖鏈的使者
[00:03:33.500 --> 00:03:36.800]  並使我照著當盡的本份
[00:03:36.800 --> 00:03:38.600]  放膽講論
[00:03:38.600 --> 00:03:39.600]  好
[00:03:39.600 --> 00:03:42.900]  不知想起「屬靈增賤」這四個字
[00:03:42.900 --> 00:03:44.900]  你會想起什麼呢?
[00:03:44.900 --> 00:03:50.800]  想起打仗
[00:03:50.800 --> 00:03:53.400]  想起軍隊
[00:03:53.400 --> 00:03:55.700]  我就想起有一幕
[00:03:55.700 --> 00:03:57.200]  不知你會否想起有一幕呢?
[00:03:57.200 --> 00:03:58.400]  幾年前
[00:03:58.400 --> 00:04:01.600]  美國派兵一隊特種部隊
[00:04:01.600 --> 00:04:04.000]  去到巴基斯坦一個地方
[00:04:04.000 --> 00:04:06.600]  然後將他們一個頭號的敵人
[00:04:06.600 --> 00:04:07.900]  拉登
[00:04:07.900 --> 00:04:09.700]  殺了
[00:04:09.700 --> 00:04:12.200]  然後那隊部隊坐著直升機
[00:04:12.200 --> 00:04:14.200]  然後又離開了
[00:04:14.200 --> 00:04:16.800]  「屬靈的增賤」是否令你想起這些?
[00:04:16.800 --> 00:04:19.300]  去到敵人的腹地
[00:04:19.300 --> 00:04:21.000]  贏了一場很大的仗
[00:04:21.000 --> 00:04:23.100]  打敗敵人裏面的最重要的領袖
[00:04:23.100 --> 00:04:26.800]  然後就離開了那個環境
[00:04:26.800 --> 00:04:31.000]  我兒子很喜歡軍事
[00:04:31.000 --> 00:04:32.200]  其實我發覺他現在
[00:04:32.200 --> 00:04:33.800]  經常看很多戰艦
[00:04:33.800 --> 00:04:34.300]  經常問我
[00:04:34.300 --> 00:04:37.500]  怎知全世界最大的戰艦是哪一隻?
[00:04:37.500 --> 00:04:38.800]  我都不太知道
[00:04:38.800 --> 00:04:40.900]  他說講起第二次世界大戰
[00:04:40.900 --> 00:04:44.000]  他讀書經常講兩次大戰的西史
[00:04:44.000 --> 00:04:45.900]  講一下有什麼戰艦
[00:04:45.900 --> 00:04:47.500]  上網看一些圖片
