
[00:00:00.000 --> 00:00:04.240]  感謝札美主 復活節快樂
[00:00:04.240 --> 00:00:07.720]  跟旁邊的主持人講復活節快樂
[00:00:07.720 --> 00:00:10.400]  今日我見到很多主持人回來
[00:00:10.400 --> 00:00:13.880]  我在休閒區見到的時候
[00:00:13.880 --> 00:00:15.480]  跟主持人講復活節快樂的時候
[00:00:15.480 --> 00:00:17.280]  心裏面都快樂起來
[00:00:17.280 --> 00:00:20.280]  我們一起聚集一個經歷主
[00:00:20.280 --> 00:00:22.480]  以及經歷跟主持人一起
[00:00:22.480 --> 00:00:24.680]  去敬拜主那份喜樂
[00:00:24.680 --> 00:00:25.720]  如果大家有留意到
[00:00:25.720 --> 00:00:29.440]  其實由今個月的第一個主日
[00:00:29.440 --> 00:00:31.920]  到上個主日 到今日
[00:00:31.920 --> 00:00:34.000]  我們都其實懷著一個主題
[00:00:34.000 --> 00:00:35.200]  就是崇拜
[00:00:35.200 --> 00:00:37.560]  我們每個星期都會回來崇拜
[00:00:37.560 --> 00:00:39.760]  但我們好像有時慣常回來崇拜
[00:00:39.760 --> 00:00:43.240]  有時都忘記了崇拜是甚麼
[00:00:43.240 --> 00:00:44.760]  如果你還記得第一個主日講甚麼
[00:00:44.760 --> 00:00:46.040]  崇拜是甚麼
[00:00:46.040 --> 00:00:49.680]  崇拜其實是主的邀請
[00:00:49.680 --> 00:00:51.720]  我們的回應
[00:00:51.720 --> 00:00:53.240]  我們會用這個火去回應
[00:00:53.240 --> 00:00:55.560]  這個火稍後會再講多些
[00:00:55.560 --> 00:00:57.960]  上個星期劉燕慧傳道講甚麼
[00:00:57.960 --> 00:00:59.320]  我們回來崇拜
[00:00:59.320 --> 00:01:02.960]  其實是要敬拜那位心裏面的王
[00:01:02.960 --> 00:01:05.520]  你回來不是在敬拜耶穌基督
[00:01:05.520 --> 00:01:07.560]  耶穌基督不單是復活的主
[00:01:07.560 --> 00:01:09.240]  更是心裏面的王
[00:01:09.240 --> 00:01:10.760]  我們要敬拜那位王
[00:01:10.760 --> 00:01:12.720]  我們用甚麼心態
[00:01:12.720 --> 00:01:17.200]  用甚麼行動去敬拜主呢
[00:01:17.200 --> 00:01:20.200]  今日我們要在敬拜當中
[00:01:20.200 --> 00:01:22.680]  與那位復活基督相遇
[00:01:22.680 --> 00:01:25.280]  而且要被他的話語
[00:01:25.280 --> 00:01:27.600]  被聖徒觸動去燃燒
[00:01:27.600 --> 00:01:29.280]  不單止在這裏燃燒
[00:01:29.280 --> 00:01:32.240]  我們要去世上燃燒
[00:01:32.240 --> 00:01:34.400]  所以其實這個敬拜更新
[00:01:34.400 --> 00:01:36.560]  這三個主題
[00:01:36.560 --> 00:01:38.560]  我們都很希望達到一個目的
[00:01:38.560 --> 00:01:40.480]  就像連題一樣說
[00:01:40.480 --> 00:01:42.800]  裝備門徒影響挑戰甚麼
[00:01:42.800 --> 00:01:46.360]  建立門徒以敬拜為主的生命
[00:01:46.360 --> 00:01:47.840]  因為敬拜就是
[00:01:47.840 --> 00:01:50.720]  讓我們門徒能夠更有能力
[00:01:50.720 --> 00:01:57.280]  去見證主的一個很重要的罪責
[00:01:57.280 --> 00:02:01.840]  先說一些輕鬆的事情
[00:02:01.840 --> 00:02:04.400]  大家有沒有用導航apps
[00:02:04.400 --> 00:02:06.440]  應該有 你去旅行一定用
[00:02:06.440 --> 00:02:09.880]  我們駕車的人都經常用
[00:02:09.880 --> 00:02:12.920]  當你滿有信心
