
[00:00:00.000 --> 00:00:05.000]  在2月3日在彭卓家有機會求贈這頓飯
[00:00:05.000 --> 00:00:09.000]  在這頓飯之前我們也一起聽說
[00:00:09.000 --> 00:00:14.000]  在2月4日彭卓家欣賞新政的自由
[00:00:14.000 --> 00:00:20.000]  我記得原來維基圖的自由是和世界上的自由是不同的
[00:00:20.000 --> 00:00:23.000]  是另一面的自由
[00:00:23.000 --> 00:00:29.000]  新政的自由是去到彭國道才能夠得到的
[00:00:29.000 --> 00:00:33.000]  整個教會的故事都可以說是一個自由的故事
[00:00:33.000 --> 00:00:37.000]  如此熱烈的人在埃及文盧之地做起鴨
[00:00:37.000 --> 00:00:40.000]  能夠離開去到彭野
[00:00:40.000 --> 00:00:43.000]  在西賴領受實戰
[00:00:43.000 --> 00:00:46.000]  可以領受封鎖實戰
[00:00:46.000 --> 00:00:48.000]  將守神的話語
[00:00:48.000 --> 00:00:52.000]  將生命綁在神的身上
[00:00:52.000 --> 00:00:57.000]  所以原來自由就是離開生命雙方的情況
[00:00:57.000 --> 00:01:01.000]  自由都是在去到神的身上
[00:01:01.000 --> 00:01:03.000]  在彭卓家
[00:01:03.000 --> 00:01:08.000]  在2月3日我們在神殿作祭
[00:01:08.000 --> 00:01:13.000]  跟著之後我們又看馬克音
[00:01:13.000 --> 00:01:20.000]  第五章就說到加達拉森烏林的故事
[00:01:20.000 --> 00:01:27.000]  這個人被鬼附身到基督那裡想走
[00:01:27.000 --> 00:01:29.000]  能夠恢復心志
[00:01:29.000 --> 00:01:31.000]  能夠得到生命的自由
[00:01:31.000 --> 00:01:33.000]  本來他想跟著耶穌基督
[00:01:33.000 --> 00:01:35.000]  耶穌基督就說不要
[00:01:35.000 --> 00:01:38.000]  你回到你自己的親友那裡
[00:01:38.000 --> 00:01:41.000]  去到那些曾經討論過你的朋友那裡
[00:01:41.000 --> 00:01:44.000]  去講你生命的自由的故事
[00:01:44.000 --> 00:01:50.000]  讓我們都能夠將這批神得到生命的自由
[00:01:50.000 --> 00:01:52.000]  所以原來自由不是相當
[00:01:52.000 --> 00:01:54.000]  是我們離開罪惡
[00:01:54.000 --> 00:01:56.000]  我們去到神那裡
[00:01:56.000 --> 00:01:59.000]  並且我們去到其他人的當中
[00:01:59.000 --> 00:02:03.000]  跟他們一起享受經歷自由
[00:02:03.000 --> 00:02:06.000]  在3月我們一層思想
[00:02:06.000 --> 00:02:09.000]  就是自由的人你站在哪裡
[00:02:09.000 --> 00:02:13.000]  今天的訊息是從這次的訊息中發來的
[00:02:13.000 --> 00:02:15.000]  我們思想的三段都很明白
[00:02:15.000 --> 00:02:18.000]  《乖乞記》、《逃犀亞書》、《藥師亞記》
[00:02:18.000 --> 00:02:20.000]  在《逃犀亞書》我見到
[00:02:20.000 --> 00:02:22.000]  原來神不是一個戰士
[00:02:22.000 --> 00:02:25.000]  是給人有自由
[00:02:25.000 --> 00:02:27.000]  在《乖乞記》那裡
[00:02:27.000 --> 00:02:31.000]  也得說我們見到女神是沒有自愛的
[00:02:31.000 --> 00:02:33.000]  祂對我們是怎樣
[00:02:33.000 --> 00:02:37.000]  祂將宗教視為祭壇
[00:02:37.000 --> 00:02:39.000]  一場的三集
[00:02:39.000 --> 00:02:42.000]  《逃犀亞書》就講到神好像媽媽那樣
[00:02:42.000 --> 00:02:44.000]  雖然我們不聽話
[00:02:44.000 --> 00:02:47.000]  但祂說我心軟
[00:02:47.000 --> 00:02:50.000]  我從此也不會發怒
[00:02:50.000 --> 00:02:52.000]  祂說因為我是神
[00:02:52.000 --> 00:02:55.000]  我不是凡人
[00:02:55.000 --> 00:02:57.000]  是你們中間的聖者
[00:02:57.000 --> 00:03:01.000]  所以我不會擅自去做任何事情
[00:03:01.000 --> 00:03:02.000]  在這些經文之後
[00:03:02.000 --> 00:03:05.000]  我們學會生命在一個召鬼當中
[00:03:05.000 --> 00:03:08.000]  我們知道原來神是一位的戰士
[00:03:08.000 --> 00:03:11.000]  會站出來為無尊者
[00:03:11.000 --> 00:03:13.000]  體會無尊者
[00:03:13.000 --> 00:03:16.000]  同樣我們都需要有心情
[00:03:16.000 --> 00:03:17.000]  有勇氣
