
[00:00:00.000 --> 00:00:02.000]  領子妹平安
[00:00:02.000 --> 00:00:06.000]  今天講到的經文
[00:00:06.000 --> 00:00:10.000]  記載在《薩姆爾記》上
[00:00:10.000 --> 00:00:12.000]  24章1到12節
[00:00:12.000 --> 00:00:15.000]  《薩姆爾記》上
[00:00:15.000 --> 00:00:16.000]  24章1到12節
[00:00:16.000 --> 00:00:18.000]  我們讀一下經文
[00:00:18.000 --> 00:00:19.000]  讓我讀
[00:00:19.000 --> 00:00:22.000]  「蘇羅追趕菲利士人回來
[00:00:22.000 --> 00:00:23.000]  有人告訴他說
[00:00:23.000 --> 00:00:26.000]  大衛在引基底的曠野
[00:00:26.000 --> 00:00:28.000]  蘇羅就從以色列人中
[00:00:28.000 --> 00:00:31.000]  挑選三千精兵
[00:00:31.000 --> 00:00:36.000]  率領他們往野羊的盆石去
[00:00:36.000 --> 00:00:39.000]  尋索大衛和跟隨他的人
[00:00:39.000 --> 00:00:41.000]  到了路旁的羊圈
[00:00:41.000 --> 00:00:43.000]  在那裡有洞
[00:00:43.000 --> 00:00:45.000]  蘇羅進去大解
[00:00:45.000 --> 00:00:47.000]  大衛和跟隨他的人
[00:00:47.000 --> 00:00:49.000]  正藏在洞裡的深處
[00:00:49.000 --> 00:00:53.000]  跟隨的人對大衛說
[00:00:53.000 --> 00:00:55.000]  耶和華曾應許你說
[00:00:55.000 --> 00:00:58.000]  我要將你的仇敵交在你手裡
[00:00:58.000 --> 00:01:00.000]  你可以任意待他
[00:01:00.000 --> 00:01:01.000]  如今時候到了
[00:01:01.000 --> 00:01:03.000]  大衛就起來
[00:01:03.000 --> 00:01:07.000]  悄悄地割下蘇羅外袍的衣襟
[00:01:07.000 --> 00:01:09.000]  隨後大衛心中自責
[00:01:09.000 --> 00:01:11.000]  因為割下蘇羅的衣襟
[00:01:11.000 --> 00:01:13.000]  對跟隨他的人說
[00:01:13.000 --> 00:01:17.000]  我的主乃是耶和華的仇高者
[00:01:17.000 --> 00:01:19.000]  我在耶和華面前
[00:01:19.000 --> 00:01:21.000]  萬不敢伸手害他
[00:01:21.000 --> 00:01:24.000]  因他是耶和華的仇高者
[00:01:24.000 --> 00:01:27.000]  大衛用這話攔住跟隨他的人
[00:01:27.000 --> 00:01:30.000]  不容他們起來害蘇羅
[00:01:30.000 --> 00:01:35.000]  蘇羅起來從洞裡出去行路
[00:01:35.000 --> 00:01:38.000]  隨後大衛也起來從洞裡出去
[00:01:38.000 --> 00:01:40.000]  呼叫蘇羅說
[00:01:40.000 --> 00:01:41.000]  我主我王
[00:01:41.000 --> 00:01:43.000]  蘇羅回頭觀看
[00:01:43.000 --> 00:01:47.000]  大衛就屈身面伏於地下敗
[00:01:47.000 --> 00:01:48.000]  大衛對蘇羅說
[00:01:48.000 --> 00:01:51.000]  你為何聽信人的殘言
[00:01:51.000 --> 00:01:54.000]  說大衛要害你呢
[00:01:54.000 --> 00:01:57.000]  今日你親眼看見在洞中
[00:01:57.000 --> 00:02:00.000]  耶和華將你交在我手裡
[00:02:00.000 --> 00:02:01.000]  有人叫我殺你
[00:02:01.000 --> 00:02:03.000]  我卻愛惜你
[00:02:03.000 --> 00:02:06.000]  說我不敢伸手害我的主
[00:02:06.000 --> 00:02:09.000]  因為他是耶和華的仇高者
[00:02:09.000 --> 00:02:14.000]  我負荷看看你外袍的衣襟在我手中
[00:02:14.000 --> 00:02:16.000]  我割下你的衣襟
[00:02:16.000 --> 00:02:18.000]  沒有殺你
[00:02:18.000 --> 00:02:23.000]  你由此可以知道我沒有惡意叛逆你
[00:02:23.000 --> 00:02:25.000]  你雖然獵取我的命
[00:02:25.000 --> 00:02:27.000]  我卻沒有得罪你
[00:02:27.000 --> 00:02:31.000]  冤耶和華在你我中間判斷是非
[00:02:31.000 --> 00:02:34.000]  在你身上為我伸冤
[00:02:34.000 --> 00:02:39.000]  我卻不親手加害於你
[00:02:39.000 --> 00:02:42.000]  今日很想跟大家講個小故事
[00:02:42.000 --> 00:02:44.000]  有一個牧場的主人
[00:02:44.000 --> 00:02:46.000]  牧養了很多羊
[00:02:46.000 --> 00:02:49.000]  他的鄰居是個獵人
[00:02:49.000 --> 00:02:52.000]  養了幾隻兇猛的獵狗
[00:02:52.000 --> 00:02:54.000]  一個是牧場
[00:02:54.000 --> 00:02:57.000]  一個是獵狗
[00:02:57.000 --> 00:03:01.000]  獵狗常常跳過隔壁的羊圈
[00:03:01.000 --> 00:03:03.000]  咬傷羊群
[00:03:03.000 --> 00:03:07.000]  牧羊的人很生氣
[00:03:07.000 --> 00:03:11.000]  去找鎮上的法官告狀
[00:03:11.000 --> 00:03:13.000]  聰明的法官說
[00:03:13.000 --> 00:03:16.000]  我可以處罰這個獵人
[00:03:16.000 --> 00:03:19.000]  但這樣你會失去一個朋友
[00:03:19.000 --> 00:03:21.000]  亦多了一個敵人
[00:03:21.000 --> 00:03:22.000]  不如這樣吧
[00:03:22.000 --> 00:03:24.000]  我給你一個主意
[00:03:24.000 --> 00:03:26.000]  你回到家裡
[00:03:26.000 --> 00:03:30.000]  在羊圈裡挑選三隻可愛的羊
[00:03:30.000 --> 00:03:34.000]  送給鄰居的三個兇猛
[00:03:34.000 --> 00:03:36.000]  主人很慷慨
[00:03:36.000 --> 00:03:38.000]  就照做了
[00:03:38.000 --> 00:03:42.000]  獵人的三個兇猛很開心
[00:03:42.000 --> 00:03:45.000]  把小羊當作寶
[00:03:45.000 --> 00:03:48.000]  每天放學回家就抱著小羊玩
[00:03:48.000 --> 00:03:54.000]  獵人怕獵狗傷害自己屋裡的小羊
[00:03:54.000 --> 00:03:56.000]  因為他的兒子當他是寶
[00:03:56.000 --> 00:03:58.000]  所以就做了一個大鐵籠
[00:03:58.000 --> 00:04:00.000]  把小羊鎖起來
[00:04:00.000 --> 00:04:04.000]  從此牧羊的主人
[00:04:04.000 --> 00:04:07.000]  亦沒有受到獵狗騷擾
