
[00:00:00.000 --> 00:00:02.320]  正如我太太剛才都講到
[00:00:02.320 --> 00:00:05.560]  沙士十年有不同人有不同的體會
[00:00:05.560 --> 00:00:08.080]  我都不在這裏
[00:00:08.080 --> 00:00:09.420]  暑假我好像都沒有回來
[00:00:09.420 --> 00:00:10.320]  我太太又回來
[00:00:10.320 --> 00:00:12.320]  我都見到她戴口罩的照片
[00:00:12.320 --> 00:00:14.080]  我是沒有戴過
[00:00:14.080 --> 00:00:16.500]  在沙士十年前我是沒有戴過口罩
[00:00:16.500 --> 00:00:18.500]  因為我不是在香港
[00:00:18.500 --> 00:00:20.500]  最近很多的新聞
[00:00:20.500 --> 00:00:22.500]  很多的
[00:00:22.500 --> 00:00:29.060]  一些的專輯都講到一些的人
[00:00:29.060 --> 00:00:30.060]  其中一個很深刻
[00:00:30.060 --> 00:00:32.060]  是講到一個叫芬姐
[00:00:32.060 --> 00:00:34.060]  在沙士的時候
[00:00:34.060 --> 00:00:36.060]  她55歲
[00:00:36.060 --> 00:00:37.060]  她應該是差不多退休了
[00:00:37.060 --> 00:00:38.060]  她申請了遞了紙
[00:00:38.060 --> 00:00:40.060]  當時她遞了紙
[00:00:40.060 --> 00:00:41.060]  退休了
[00:00:41.060 --> 00:00:42.060]  還有不知道十天還是多少天
[00:00:42.060 --> 00:00:44.060]  她就可以離開她的工作
[00:00:44.060 --> 00:00:46.060]  但沙士就發生了
[00:00:46.060 --> 00:00:48.060]  而她是其中一個染上了
[00:00:48.060 --> 00:00:50.060]  這個的
[00:00:50.060 --> 00:00:52.060]  病的一個人
[00:00:52.060 --> 00:00:54.060]  在十年的康復裏
[00:00:54.060 --> 00:00:56.060]  她覺得是很痛苦
[00:00:56.060 --> 00:00:58.060]  她說自己是生不如死
[00:00:58.060 --> 00:01:00.060]  三千多天是很辛苦
[00:01:00.060 --> 00:01:02.060]  拿著拐杖走
[00:01:02.060 --> 00:01:04.060]  人家就可以走得很好
[00:01:04.060 --> 00:01:06.060]  特別今天馬拉松
[00:01:06.060 --> 00:01:08.060]  令到一些
[00:01:08.060 --> 00:01:10.060]  可能有些人真的很不開心
[00:01:10.060 --> 00:01:12.060]  但我想問的是
[00:01:12.060 --> 00:01:14.060]  其實在人生裏面
[00:01:14.060 --> 00:01:16.060]  我們有沒有抉擇呢
[00:01:16.060 --> 00:01:18.060]  面對著一些真的痛苦的事情
[00:01:18.060 --> 00:01:20.060]  在肉身在心靈的上面
[00:01:20.060 --> 00:01:22.060]  我們是不是有一個的
[00:01:22.060 --> 00:01:24.060]  抉擇是選擇自己
[00:01:24.060 --> 00:01:26.060]  開心還是不開心
[00:01:26.060 --> 00:01:28.060]  開心還是不感恩
[00:01:28.060 --> 00:01:30.060]  在一個快樂研究裏面
[00:01:30.060 --> 00:01:32.060]  告訴我們
[00:01:32.060 --> 00:01:34.060]  在香港或者在新加坡
[00:01:34.060 --> 00:01:36.060]  這些比較富有的地方
[00:01:36.060 --> 00:01:38.060]  其實快樂指數是非常低
[00:01:38.060 --> 00:01:40.060]  快樂指數比較高的地方
[00:01:40.060 --> 00:01:42.060]  在非洲一些很貧窮的地方
[00:01:42.060 --> 00:01:44.060]  甚至是戰亂
[00:01:44.060 --> 00:01:46.060]  在南美洲的地方
[00:01:46.060 --> 00:01:48.060]  都是很貧瘠
[00:01:48.060 --> 00:01:50.060]  甚至有很多的戰亂
[00:01:50.060 --> 00:01:52.060]  或者很多時開槍
[00:01:52.060 --> 00:01:54.060]  一些很暴力的事件
[00:01:54.060 --> 00:01:56.060]  發生的地方
[00:01:56.060 --> 00:01:58.060]  他們可以選擇很開心很快樂
[00:01:58.060 --> 00:02:00.060]  作為基督徒我們可以怎樣選擇呢
[00:02:00.060 --> 00:02:04.060]  不過我今天講到之前
[00:02:04.060 --> 00:02:06.060]  我要介紹一兩個聚會
[00:02:06.060 --> 00:02:08.060]  應該有一個PowerPoint
[00:02:08.060 --> 00:02:12.060]  在
[00:02:12.060 --> 00:02:14.060]  3月9號
[00:02:14.060 --> 00:02:16.060]  我們有一個宣教
[00:02:16.060 --> 00:02:18.060]  很小大家看不到
[00:02:18.060 --> 00:02:20.060]  下面有一張貼在那裏
[00:02:20.060 --> 00:02:22.060]  很新很靚的壁報版
[00:02:22.060 --> 00:02:24.060]  在3月9號星期六晚
[00:02:24.060 --> 00:02:26.060]  我們有一個聚會是宣教小組
[00:02:26.060 --> 00:02:28.060]  每個月有一次宣教小組的聚會
[00:02:28.060 --> 00:02:30.060]  而3月9號星期六晚
[00:02:30.060 --> 00:02:32.060]  這一次
[00:02:32.060 --> 00:02:34.060]  我們請了一位
[00:02:34.060 --> 00:02:36.060]  黃麗文牧師都提過
[00:02:36.060 --> 00:02:38.060]  一個去到
[00:02:38.060 --> 00:02:40.060]  特尼西亞二十幾歲的年青人
[00:02:40.060 --> 00:02:42.060]  他三月中就出發
[00:02:42.060 --> 00:02:44.060]  他臨出發之前都來到我們教會當中
[00:02:44.060 --> 00:02:46.060]  去分享
[00:02:46.060 --> 00:02:48.060]  不知道大家有沒有想過
[00:02:48.060 --> 00:02:50.060]  二十幾歲的一個年青的女孩子
[00:02:50.060 --> 00:02:52.060]  去一起開會
[00:02:52.060 --> 00:02:54.060]  之前我們在馬來西亞
[00:02:54.060 --> 00:02:56.060]  是很活潑的姊妹
[00:02:56.060 --> 00:02:58.060]  她願意將她的人生
[00:02:58.060 --> 00:03:00.060]  放在一個百分之九十幾
[00:03:00.060 --> 00:03:02.060]  回教徒的地方
