
[00:00:00.000 --> 00:00:03.800]  在一個真的是水深火熱的世代 可是他活出了一個非常
[00:00:03.800 --> 00:00:12.200]  成功 精彩的生活 所以我們來看這個很特殊的人 那麼今天是這個系列的周一堂了 那麼在這個系列裡面 我們前面也
[00:00:12.200 --> 00:00:18.840]  簡單介紹過這個人 這個人他活在戰亂的時期 他15歲的時候
[00:00:18.840 --> 00:00:24.000]  他的國家就滅亡了 就被巴比倫帝國就攻打耶路撒冷
[00:00:24.000 --> 00:00:29.640]  那就他的國家就亡國了 那他就被擄到了巴比倫帝國
[00:00:30.440 --> 00:00:38.720]  他被擄到巴比倫之後呢 就被巴比倫當作一群的精英收納 就進入了當時巴比倫最高級的學府
[00:00:38.720 --> 00:00:41.080]  名字就叫UC巴比倫
[00:00:41.080 --> 00:00:44.960]  所以他進到UC巴比倫之後呢 那是一個三年的program
[00:00:44.960 --> 00:00:52.160]  三年之後他畢業了 就在巴比倫的皇宮裡面當官 那麼他當官一當就當了70年
[00:00:52.160 --> 00:00:55.240]  算是歷史上當官最久的一個人
[00:00:55.720 --> 00:01:00.400]  那麼他不單止70年 他在70年當中 他侍奉了四朝的天子
[00:01:00.400 --> 00:01:09.360]  在中國歷史上能夠侍奉一朝天子就侍奉完 能夠全身而退 寥寥無幾 能夠侍奉兩朝天子不得了
[00:01:09.360 --> 00:01:12.760]  三朝從來沒有試過 四朝天子
[00:01:12.760 --> 00:01:19.000]  只有但依理一個人可以侍奉四朝的天子 每個新的皇帝上來
[00:01:19.360 --> 00:01:26.640]  都繼續留他在身邊當成是重臣來使用 沒有說你就回家養老吧 沒有這樣就不錯的人
[00:01:26.640 --> 00:01:30.320]  所以70年在一個異邦他鄉的國度
[00:01:30.320 --> 00:01:33.680]  當官70年 侍朝的天子
[00:01:33.680 --> 00:01:39.160]  可見他中間有很多過人之處 那前面那幾堂我也介紹過
[00:01:39.160 --> 00:01:41.720]  中國人說當官要學曾國藩
[00:01:42.120 --> 00:01:50.680]  可是曾國藩跟但依理比起來 你就發現但依理更勝一籌 因為曾國藩到四五十歲才悟出來的道理
[00:01:50.680 --> 00:01:58.280]  但依理其實十五歲就懂了 所以這個人非常的了不起 那為什麼我們選他 因為歷史上他真的厲害
[00:01:58.280 --> 00:01:59.560]  所以如果有一天
[00:01:59.560 --> 00:02:06.800]  如果你在天堂見到但依理的話 你跟他說 大哥 我想他會回你一句 哥 我只是個傳說
[00:02:06.800 --> 00:02:11.920]  你知道這句話在但依理口中說出來 那個氣勢特別不一樣
[00:02:12.360 --> 00:02:20.800]  想當年對不對 我縱橫政壇70年 所以我們前面都講了很多但依理很有趣的故事 那今天來到的最後一堂
[00:02:20.800 --> 00:02:26.320]  我們沒有時間看完整卷但依理書 所以後面還有很精彩的故事
[00:02:26.320 --> 00:02:34.000]  如果你有興趣自己回去看就業聖經 今天我們在因為來到最後一堂 我想做一個小小的總結
[00:02:34.800 --> 00:02:42.760]  啊 在但依理書其實有一個主題 它是從頭到尾貫穿整卷但依理書的
[00:02:42.760 --> 00:02:50.240]  也是他中心的一個中心的點題的一個題目 那麼這個題目就影響但依理的一生 那我也跟你們
