
[00:00:00.000 --> 00:00:04.440]  上一次的信息我講到加拉太書
[00:00:04.440 --> 00:00:08.340]  講到說保羅他提到說
[00:00:08.340 --> 00:00:13.380]  他所傳的這個福音是一個真正的福音
[00:00:13.380 --> 00:00:16.940]  是唯一的福音
[00:00:16.940 --> 00:00:19.040]  所以保羅在加拉太書第一章
[00:00:19.040 --> 00:00:21.800]  第一節到第十節講完之後呢
[00:00:21.800 --> 00:00:25.140]  其實他接著十二節 十三節
[00:00:25.140 --> 00:00:26.740]  他繼續講到
[00:00:26.740 --> 00:00:29.240]  但是我把今天 把十二節 十三節
[00:00:29.240 --> 00:00:32.040]  羅道跟今天這一段有關係
[00:00:32.040 --> 00:00:37.140]  從十三節開始
[00:00:37.140 --> 00:00:39.540]  一直到二十四節最後
[00:00:39.540 --> 00:00:42.440]  加拉太書的這個很大的一個篇幅
[00:00:42.440 --> 00:00:45.140]  保羅在講到他自己的見證
[00:00:45.140 --> 00:00:47.040]  他怎麼樣遇見這位主
[00:00:47.040 --> 00:00:48.440]  他怎麼樣信主
[00:00:48.440 --> 00:00:49.640]  他怎麼樣蒙招
[00:00:49.640 --> 00:00:51.040]  他講到他的故事
[00:00:51.040 --> 00:00:53.540]  所以我盼望你聽聽保羅的故事之後
[00:00:53.540 --> 00:00:57.040]  你有一天也跟別人講你的故事
[00:00:59.740 --> 00:01:02.040]  好 這個經文剛才我們讀過了
[00:01:02.040 --> 00:01:03.140]  我們來看看
[00:01:03.140 --> 00:01:05.740]  保羅在信主之前
[00:01:05.740 --> 00:01:08.840]  他在這裡十三節 十四節他講講
[00:01:08.840 --> 00:01:14.740]  他說 你們聽見我從前在猶太教中所行的事
[00:01:14.740 --> 00:01:18.540]  怎樣極力逼迫殘害教會
[00:01:18.540 --> 00:01:21.240]  所以保羅在這一段短短的經文裡面
[00:01:21.240 --> 00:01:22.940]  他講到他自己一個光景
[00:01:22.940 --> 00:01:24.240]  他是一個什麼樣的人呢
[00:01:24.240 --> 00:01:29.240]  他說 我極力逼迫基督徒
[00:01:29.240 --> 00:01:36.140]  保羅把他自己還沒有信主之前的光景
[00:01:36.140 --> 00:01:38.040]  很坦誠的講出來
[00:01:38.040 --> 00:01:40.940]  他是在猶太教當中
[00:01:40.940 --> 00:01:44.740]  他是猶太教裡面的一個極端分子
[00:01:44.740 --> 00:01:46.740]  非常努力的在遵行
[00:01:46.740 --> 00:01:49.140]  極有猶太教所說的這些律法
[00:01:49.140 --> 00:01:55.740]  他逼迫基督徒 他殘害神的教會
[00:01:55.740 --> 00:01:59.440]  那麼 第二個他形容的是
[00:01:59.440 --> 00:02:02.840]  他說 我又在猶太教中
[00:02:02.840 --> 00:02:07.440]  比我本國許多同歲的人更有長技
[00:02:07.440 --> 00:02:13.540]  為我祖宗的遺傳更加熱心
[00:02:13.540 --> 00:02:14.140]  換句話說
[00:02:14.140 --> 00:02:16.940]  他說他比他同歲的人就是什麼
[00:02:16.940 --> 00:02:18.640]  他同輩的人
[00:02:18.640 --> 00:02:21.440]  跟他同年齡的人
[00:02:21.440 --> 00:02:24.140]  他說比他們更有長技
[00:02:24.140 --> 00:02:28.040]  這個人是青年才俊
[00:02:28.040 --> 00:02:30.840]  這個人是在他同伴當中的
[00:02:30.840 --> 00:02:35.540]  總是考第一名的
