
[00:00:00.000 --> 00:00:05.380]  大家記得我上次的訊息講到兩個異象,七個「印」和「號」
[00:00:05.380 --> 00:00:12.540]  上星期宣傳道更加跟我們講到,在末世的時候有大紅龍、古蛇
[00:00:12.540 --> 00:00:15.880]  和從海中上來的獸
[00:00:15.880 --> 00:00:20.480]  我們看到一個情景就是龍蛇獸混雜
[00:00:20.480 --> 00:00:23.560]  正是世界落閘的時候
[00:00:23.560 --> 00:00:29.960]  今天的經文告訴我們,在世界末日落閘之時
[00:00:30.720 --> 00:00:33.280]  就會有所謂的末世七災
[00:00:33.280 --> 00:00:39.160]  就是我們將要看的七個「碗」,這個異象裡面所跟我們講的末世事情
[00:00:39.160 --> 00:00:41.980]  在這個七個碗開始之前
[00:00:41.980 --> 00:00:45.320]  使徒約翰看到一個天上面的異象
[00:00:45.320 --> 00:00:49.400]  那個異象就是有七個天使將會
[00:00:49.400 --> 00:00:52.480]  來揭開這個末世的七災
[00:00:52.480 --> 00:00:54.780]  留意聖經經文講到
[00:00:54.780 --> 00:00:58.360]  這個原因,約翰講到的原因是什麼
[00:00:58.880 --> 00:01:01.440]  因為神的大怒
[00:01:01.440 --> 00:01:06.040]  大家看完這個解釋之後,會不會覺得很奇怪
[00:01:06.040 --> 00:01:09.120]  神不是在說神是愛的嗎
[00:01:09.120 --> 00:01:13.220]  為什麼神突然之間會發這麼大的憤怒呢
[00:01:13.220 --> 00:01:17.820]  是不是神就像我們現今的世界
[00:01:17.820 --> 00:01:21.160]  有一些父親,一不開心就發脾氣
[00:01:21.160 --> 00:01:24.740]  然後就是用暴力來對待家庭
[00:01:24.740 --> 00:01:26.780]  就是我們今天所講的家暴
[00:01:27.040 --> 00:01:29.340]  天上的父親是不是這樣呢
[00:01:29.340 --> 00:01:32.420]  不過講到今天的家暴
[00:01:32.420 --> 00:01:34.980]  大家都知道家暴不單是
[00:01:34.980 --> 00:01:40.100]  男士去施行暴力的一個
[00:01:40.100 --> 00:01:42.660]  根據一個澳洲的統計
[00:01:42.660 --> 00:01:47.260]  六個女士當中,有一個都會經歷家暴
[00:01:47.260 --> 00:01:53.400]  但是十六個男人當中,亦都會有一個男人
[00:01:53.400 --> 00:01:55.960]  經歷家暴,經歷家暴的意思是什麼
[00:01:56.220 --> 00:02:00.320]  被家暴的就是受害者
[00:02:00.320 --> 00:02:05.180]  你說,為什麼男人都會被女人欺負呢
[00:02:05.180 --> 00:02:06.200]  會不會啊
[00:02:06.200 --> 00:02:08.760]  當然會啦,第一
[00:02:08.760 --> 00:02:10.040]  第一
[00:02:10.040 --> 00:02:13.880]  家暴不是講到身體的暴力
[00:02:13.880 --> 00:02:15.680]  亦都是講到
[00:02:15.680 --> 00:02:16.960]  言語的暴力
[00:02:16.960 --> 00:02:19.520]  精神情緒財政
[00:02:19.520 --> 00:02:22.080]  在很多方面都是
[00:02:22.080 --> 00:02:24.640]  家暴的一種
[00:02:24.640 --> 00:02:25.920]  而且
[00:02:26.420 --> 00:02:29.000]  誰說女性不可以身體暴力呢
[00:02:29.000 --> 00:02:32.840]  很多年前我看過一個很有趣的新聞,在香港發生的
[00:02:32.840 --> 00:02:34.620]  在街邊有一個
[00:02:34.620 --> 00:02:40.520]  男朋友跪在女朋友面前,被那個女朋友連續掌摑了14次
[00:02:40.520 --> 00:02:42.560]  誰說女性不可以
[00:02:42.560 --> 00:02:43.580]  身體暴力呢
[00:02:43.580 --> 00:02:45.360]  所以
[00:02:45.360 --> 00:02:47.420]  情緒失控
[00:02:47.420 --> 00:02:48.960]  不單是
[00:02:48.960 --> 00:02:51.000]  發生在男士身上
[00:02:51.000 --> 00:02:54.840]  當然當我們看到神的憤怒的時候
[00:02:55.100 --> 00:02:57.660]  也不是神的情緒失控而引致
[00:02:57.660 --> 00:03:00.980]  剛才我們所講的末世災難呢
[00:03:00.980 --> 00:03:04.560]  如果不是的話,那究竟是什麼呢
[00:03:04.560 --> 00:03:06.620]  我們看看一些
[00:03:06.620 --> 00:03:08.400]  舊約的經文
[00:03:08.400 --> 00:03:12.500]  大概距離今天2600年前有一個舊約先知叫做拿洪
[00:03:12.500 --> 00:03:15.580]  在那裡他寫了一段說話,大家聽聽看
[00:03:15.580 --> 00:03:18.400]  耶和華是記邪施暴的神
[00:03:18.400 --> 00:03:20.700]  耶和華施暴大有憤怒
[00:03:20.700 --> 00:03:22.240]  向他的敵人施暴
[00:03:22.240 --> 00:03:24.280]  向他的仇敵懷怒
[00:03:24.540 --> 00:03:26.840]  耶和華不輕易發怒大有能力
[00:03:26.840 --> 00:03:29.400]  萬不以有罪為無罪的
[00:03:29.400 --> 00:03:31.200]  神法憤恨
[00:03:31.200 --> 00:03:37.340]  誰能立得住他法烈怒,誰能當得起他法烈怒
[00:03:37.340 --> 00:03:39.400]  如火傾倒盤石
[00:03:39.400 --> 00:03:41.440]  因他崩裂
[00:03:41.440 --> 00:03:42.960]  很嚴重
[00:03:42.960 --> 00:03:47.320]  很憤怒看到一個畫面
[00:03:47.320 --> 00:03:51.160]  我再看差不多同期的另外一個先知以西傑
[00:03:51.420 --> 00:03:55.000]  主耶和華曾經這樣說
[00:03:55.000 --> 00:03:56.280]  結局來了
[00:03:56.280 --> 00:04:02.420]  時候到了,日子近了,我快要發我的憤怒傾倒在
[00:04:02.420 --> 00:04:06.520]  你身上,向你成就我路中所定的
