
[00:00:00.000 --> 00:00:08.000]  我們今天要從第二章這段聖經裡頭來講到一件重要的事情
[00:00:08.000 --> 00:00:13.000]  就是在末世的時候所有大罪人要顯露出來
[00:00:13.000 --> 00:00:20.000]  這個是關於末後的時候一件非常重要的
[00:00:20.000 --> 00:00:25.000]  是需要我們都能夠來明白的
[00:00:25.000 --> 00:00:35.000]  在第一節到第二節裡頭就是提到
[00:00:35.000 --> 00:00:41.000]  不要保羅勸弟兄子們不要輕信
[00:00:41.000 --> 00:00:47.000]  這些冒充他的名、寫的姓或者有些話語
[00:00:47.000 --> 00:00:54.000]  這個是對他們來說是一個很重要的
[00:00:54.000 --> 00:01:00.000]  因為千山萬家弟兄姊妹他們在患難中間、在逼迫中間
[00:01:00.000 --> 00:01:04.000]  他們是要盼望主的再來
[00:01:04.000 --> 00:01:13.000]  但是有些人就是在聚會中間假借保羅的名字寫了姓
[00:01:13.000 --> 00:01:16.000]  告訴我主是已經來到了
[00:01:16.000 --> 00:01:20.000]  要來跟來到那差別很大
[00:01:20.000 --> 00:01:22.000]  要來就是還沒有到
[00:01:22.000 --> 00:01:25.000]  說到了已經來到了
[00:01:25.000 --> 00:01:28.000]  弟兄姊妹就很慌張了
[00:01:28.000 --> 00:01:32.000]  主來到了我們還在患難中間
[00:01:32.000 --> 00:01:34.000]  我們怎麼辦呢
[00:01:34.000 --> 00:01:39.000]  他們就會失去盼望覺得這個擔子太過重了
[00:01:39.000 --> 00:01:44.000]  所以他們裡頭就有引起的混亂、困擾
[00:01:44.000 --> 00:01:46.000]  會覺得很不安
[00:01:46.000 --> 00:01:51.000]  所以保羅需要寫後書來提醒他們
[00:01:51.000 --> 00:01:58.000]  把主再來的真理能夠清楚地告訴他們
[00:01:58.000 --> 00:02:04.000]  在第二章保羅特別警告弟兄姊妹
[00:02:04.000 --> 00:02:10.000]  不要傾心這些話、這些不真實的話
[00:02:10.000 --> 00:02:13.000]  保羅在這裡提醒他們說
[00:02:13.000 --> 00:02:23.000]  主的日子來到以前一定有些很重要的事情要先發生
[00:02:23.000 --> 00:02:25.000]  這些事情發生以後
[00:02:25.000 --> 00:02:29.000]  然後才主能夠降臨到地上
[00:02:29.000 --> 00:02:36.000]  主的日子中間我們可以看到包含的範圍是比較大一些
[00:02:36.000 --> 00:02:39.000]  不是具體的主某一天
[00:02:39.000 --> 00:02:42.000]  主的日子是一個階段、一個一段
[00:02:42.000 --> 00:02:48.000]  在前面這個書信的第四章就講到
[00:02:48.000 --> 00:02:56.000]  主來的時候死去的聖徒要復活
[00:02:56.000 --> 00:03:04.000]  還活著存留的聖徒就要廢棄到空中和主一同相會
[00:03:04.000 --> 00:03:09.000]  主的日子中間就包括有兩個階段
[00:03:09.000 --> 00:03:17.000]  第一個階段就是主從天上來到空中來聖徒復活
[00:03:17.000 --> 00:03:22.000]  然後提接聖徒到空中跟主相會
[00:03:22.000 --> 00:03:26.000]  但是不是說立刻就來到地上
[00:03:26.000 --> 00:03:30.000]  所以第二階段就是主從空中來到地上
[00:03:30.000 --> 00:03:36.000]  所以主的日子包括兩個比較大的階段
[00:03:36.000 --> 00:03:40.000]  那麼如果說主的日子已經來到了
[00:03:40.000 --> 00:03:42.000]  他已經降臨到地上了
[00:03:42.000 --> 00:03:46.000]  聖徒就會說那我們怎麼還沒有被提呢
[00:03:46.000 --> 00:03:50.000]  他們就會覺得是不是我們犯了什麼罪啊
[00:03:50.000 --> 00:03:53.000]  或者是我們做錯了什麼事情啊
[00:03:53.000 --> 00:03:55.000]  我們不能夠被提啊
[00:03:55.000 --> 00:03:58.000]  到底主愛不愛我們啊
[00:03:58.000 --> 00:04:01.000]  所以這個他們就會覺得很混亂
[00:04:01.000 --> 00:04:08.000]  所以保羅在第二章裡頭就講到主的日子到了
[00:04:08.000 --> 00:04:11.000]  到了就是他降臨到地上的時候
[00:04:11.000 --> 00:04:16.000]  在這之前必須有些重要的事情要發生
[00:04:16.000 --> 00:04:21.000]  這些重要的事情發生以後主才能夠降臨到地上
[00:04:21.000 --> 00:04:24.000]  那兩件重要的事情呢
[00:04:24.000 --> 00:04:29.000]  我們可以看看主的日子來到以前
[00:04:29.000 --> 00:04:32.000]  有兩件大事情要發生
[00:04:32.000 --> 00:04:34.000]  這個不是一般的
[00:04:34.000 --> 00:04:36.000]  或者有地震啊
[00:04:36.000 --> 00:04:37.000]  有一些風災啊
[00:04:37.000 --> 00:04:39.000]  有一些戰爭啊
[00:04:39.000 --> 00:04:40.000]  死人啊
[00:04:40.000 --> 00:04:42.000]  他有兩件重要的事情
[00:04:42.000 --> 00:04:44.000]  這兩件重要的事情呢
[00:04:44.000 --> 00:04:48.000]  第一件呢是離道返教的事情
[00:04:48.000 --> 00:04:49.000]  離道返教
[00:04:49.000 --> 00:04:52.000]  等一下我們看看離道返教什麼意思
[00:04:52.000 --> 00:04:54.000]  還有一件事情呢
[00:04:54.000 --> 00:04:57.000]  大罪人要顯露出來
[00:04:57.000 --> 00:04:59.000]  要顯露出來
[00:04:59.000 --> 00:05:03.000]  顯露的意思就是他就是已經存在
[00:05:03.000 --> 00:05:05.000]  但是呢你還看不見
[00:05:05.000 --> 00:05:06.000]  好像一個賊一樣的
[00:05:06.000 --> 00:05:07.000]  他藏起來了
[00:05:07.000 --> 00:05:09.000]  能看不見他
[00:05:09.000 --> 00:05:10.000]  但他已經在
[00:05:10.000 --> 00:05:12.000]  已經有了
[00:05:12.000 --> 00:05:15.000]  那麼到這個主耶穌來的以前呢
[00:05:15.000 --> 00:05:17.000]  他要顯露出來
[00:05:17.000 --> 00:05:19.000]  大家都能看見
