
[00:00:00.000 --> 00:00:03.000]  在二零零六年的一個下午
[00:00:03.000 --> 00:00:06.760]  當師母和弟兄姊妹吃完午飯的時候
[00:00:06.760 --> 00:00:09.560]  她一個人走回來教會
[00:00:09.560 --> 00:00:12.360]  她經過天后的電器
[00:00:12.360 --> 00:00:14.760]  她發現有一個智障的小朋友
[00:00:14.760 --> 00:00:17.000]  蹲在馬路中心
[00:00:17.000 --> 00:00:18.760]  非常危險
[00:00:18.760 --> 00:00:22.760]  她旁邊的媽媽似乎非常無助
[00:00:22.760 --> 00:00:26.000]  於是師母走過去問她
[00:00:26.000 --> 00:00:28.840]  有什麼可以幫到忙
[00:00:28.840 --> 00:00:31.960]  但她的媽媽很尷尬地拒絕了
[00:00:31.960 --> 00:00:33.960]  說「不用了,不用了,不用了」
[00:00:33.960 --> 00:00:37.760]  但師母留意到這個小朋友的膚色是濕了的
[00:00:37.760 --> 00:00:40.360]  所以她覺得應該是剛剛癩了
[00:00:40.360 --> 00:00:42.560]  那位媽媽顯得很狼狽
[00:00:42.560 --> 00:00:44.560]  但她又不想人幫忙
[00:00:44.560 --> 00:00:46.160]  師母也沒有辦法
[00:00:46.160 --> 00:00:49.040]  當她一路走回教會的時候
[00:00:49.040 --> 00:00:51.560]  她心裡非常紮心
[00:00:51.560 --> 00:00:53.560]  她問神
[00:00:53.560 --> 00:00:56.160]  「主啊,究竟你讓我看到這個圖畫
[00:00:56.160 --> 00:00:57.760]  看到這件事
[00:00:57.760 --> 00:01:00.360]  究竟你想教會做些什麼」
[00:01:00.360 --> 00:01:04.360]  「如果這是你的心意,想我們做些什麼」
[00:01:04.360 --> 00:01:08.360]  「求你給我一些印證」
[00:01:08.360 --> 00:01:10.360]  由那個時間開始
[00:01:10.360 --> 00:01:13.160]  師母就每一天不斷地
[00:01:13.160 --> 00:01:17.160]  連續地看到街上無數的智障人士
[00:01:17.160 --> 00:01:18.960]  無論她在哪裡都看到
[00:01:18.960 --> 00:01:20.160]  甚至有一些
[00:01:20.160 --> 00:01:22.560]  直接在摩頓台門口出現
[00:01:22.560 --> 00:01:23.960]  不斷地出現
[00:01:23.960 --> 00:01:28.160]  多到她無法否認是剛好碰到的
[00:01:28.160 --> 00:01:29.760]  但師母說「安全啊」
[00:01:29.760 --> 00:01:31.960]  「這也是我的經歷」
[00:01:31.960 --> 00:01:35.560]  「主啊,如果真的是你的心意」
[00:01:35.560 --> 00:01:37.960]  「你再給我一個印證」
[00:01:37.960 --> 00:01:39.560]  然後第二天
[00:01:39.560 --> 00:01:40.960]  當時師母走過
[00:01:40.960 --> 00:01:43.760]  大家都知道過幾個店鋪有間「7-Eleven」
[00:01:43.760 --> 00:01:45.360]  她就在「7-Eleven」門口
[00:01:45.360 --> 00:01:48.360]  看到一個穿唐裝衫的智障人士
[00:01:48.360 --> 00:01:50.360]  向她迎面走過來
[00:01:50.360 --> 00:01:52.560]  跟她擦肩而過
[00:01:52.560 --> 00:01:54.360]  師母說「咦,又是智障人士」
[00:01:54.360 --> 00:01:57.560]  於是就想轉過頭來看看
[00:01:57.560 --> 00:01:59.960]  看清楚,是不是
[00:01:59.960 --> 00:02:00.560]  為甚麼轉過頭來?
[00:02:00.560 --> 00:02:02.160]  不見了
[00:02:02.160 --> 00:02:04.560]  那就更加離奇了
[00:02:04.560 --> 00:02:05.960]  非比尋常了
[00:02:05.960 --> 00:02:07.560]  於是就跟牧師說
[00:02:07.560 --> 00:02:09.160]  牧師也有這個感動
[00:02:09.160 --> 00:02:11.160]  然後就有一個異象分享會
[00:02:11.160 --> 00:02:15.360]  很多的弟兄姊妹同時對這個異象
[00:02:15.360 --> 00:02:16.960]  反應非常正面
