
[00:00:00.000 --> 00:00:02.960]  四世紀五章二十一集他們得勝之後
[00:00:02.960 --> 00:00:04.800]  底波拉說這句話
[00:00:04.800 --> 00:00:08.080]  擊順骨骸把敵人衝沒
[00:00:08.080 --> 00:00:11.920]  我的琳娜應當努力前行
[00:00:11.920 --> 00:00:13.520]  我們就讀到這裏
[00:00:13.520 --> 00:00:17.360]  我的琳娜應當努力前行
[00:00:17.360 --> 00:00:18.440]  我想作爲一個基督徒
[00:00:18.440 --> 00:00:21.920]  我們常常就是在神的應許
[00:00:21.920 --> 00:00:23.880]  跟現實的環境當中
[00:00:23.880 --> 00:00:25.840]  我們在掙扎不是嗎
[00:00:25.840 --> 00:00:28.320]  一方面神的應許何等寶貴
[00:00:28.320 --> 00:00:31.160]  何等真實叫我們興奮
[00:00:31.160 --> 00:00:33.400]  另一方面現實的環境
[00:00:33.400 --> 00:00:35.520]  卻叫我們心中恐懼
[00:00:35.520 --> 00:00:39.440]  這樣艱難讓我們寸步難行
[00:00:39.440 --> 00:00:41.240]  在四世紀第四章裏面
[00:00:41.240 --> 00:00:44.800]  我們看以色列人就面對這樣一個光景
[00:00:44.800 --> 00:00:49.400]  當時以色列人正面對迦南王耶賓的欺壓
[00:00:49.400 --> 00:00:52.240]  你說爲什麼當時以色列人不反抗呢
[00:00:52.240 --> 00:00:53.840]  因爲聖經講得很清楚
[00:00:53.840 --> 00:00:57.200]  當時的迦南王耶賓他有鐵車
[00:00:57.200 --> 00:01:00.360]  而且九百輛鐵車
[00:01:00.360 --> 00:01:02.880]  以色列人只有步兵
[00:01:02.880 --> 00:01:05.360]  步兵怎麼跟鐵車打呢
[00:01:05.360 --> 00:01:06.720]  沒得打
[00:01:06.720 --> 00:01:09.760]  所以以色列人根本不敢下到平原來
[00:01:09.760 --> 00:01:12.760]  以色列人就躲在山地上
[00:01:12.760 --> 00:01:13.880]  可在這個時候
[00:01:13.880 --> 00:01:15.760]  神就差一件女仙姿
[00:01:15.760 --> 00:01:19.160]  底波拉把巴拉呼召來
[00:01:19.160 --> 00:01:22.440]  她呼召巴拉說你要率領以色列人
[00:01:22.440 --> 00:01:25.800]  去攻打迦南王耶賓的軍隊
[00:01:25.800 --> 00:01:29.560]  而且神更應許她在第七節神給她一個寶貴的應許
[00:01:29.560 --> 00:01:32.800]  祂說我必使耶賓將軍希西拉率領她的車輛和全軍
[00:01:32.800 --> 00:01:34.920]  往基順河到你那裏去
[00:01:34.920 --> 00:01:37.920]  我必將她交在你手裏
[00:01:37.920 --> 00:01:38.800]  哇
[00:01:38.800 --> 00:01:41.200]  我請問你這個應許寶不寶貴啊
[00:01:41.200 --> 00:01:41.920]  好啊
[00:01:41.920 --> 00:01:45.160]  神說我把敵人交在你手中
[00:01:45.160 --> 00:01:46.520]  如果你聽到這個應許
[00:01:46.520 --> 00:01:48.200]  你應該怎麼回應呢
[00:01:48.200 --> 00:01:49.560]  哇太棒了
[00:01:49.560 --> 00:01:51.200]  立刻就去
[00:01:51.200 --> 00:01:54.280]  但是我們看見巴拉卻沒有這樣的反應
[00:01:54.280 --> 00:01:58.280]  似乎巴拉一點很興奮的感覺都沒有
[00:01:58.280 --> 00:01:59.880]  她怎麼回答底波拉呢
[00:01:59.880 --> 00:02:00.880]  她回答底波拉說
[00:02:00.880 --> 00:02:02.280]  那你與我同去
[00:02:02.280 --> 00:02:03.480]  那我就去
[00:02:03.480 --> 00:02:04.480]  你若不與我同去
[00:02:04.480 --> 00:02:05.680]  我就不去
[00:02:05.680 --> 00:02:07.480]  這什麼樣的回答
[00:02:07.480 --> 00:02:11.760]  怎麼有任何一個將軍會對一個女子說
[00:02:11.760 --> 00:02:13.280]  如果你跟我去打
[00:02:13.280 --> 00:02:13.880]  我就打
[00:02:13.880 --> 00:02:14.480]  你不跟我去打
[00:02:14.480 --> 00:02:15.880]  我就不去打
[00:02:15.880 --> 00:02:17.280]  怎麼會這樣呢
