
[00:00:00.000 --> 00:00:05.120]  今日和大家思想的一個課題
[00:00:05.120 --> 00:00:07.620]  我想了一大輪 其實要講什麼才好
[00:00:07.620 --> 00:00:12.340]  我們今年的季題
[00:00:12.340 --> 00:00:14.500]  即是今一季 我們講
[00:00:14.500 --> 00:00:18.280]  叫做「輾圖發光戰士林」
[00:00:18.280 --> 00:00:23.240]  發光 如果你們留意 記得上兩個星期
[00:00:23.240 --> 00:00:26.120]  都是關於這個題目的 「興起發光」
[00:00:26.120 --> 00:00:29.280]  有一個就是我們是世界的炎
[00:00:29.280 --> 00:00:31.880]  我們是炎 我們是光
[00:00:31.880 --> 00:00:34.780]  這兩個題目去提醒我們
[00:00:34.780 --> 00:00:37.360]  我們的生命的本質
[00:00:37.360 --> 00:00:39.840]  今日我想講一下輾圖
[00:00:39.840 --> 00:00:45.620]  當然不是國輾圖
[00:00:45.620 --> 00:00:48.480]  跟他有關的 跟我們個人也有關
[00:00:48.480 --> 00:00:50.160]  輾圖這個意思是在講
[00:00:50.160 --> 00:00:53.260]  我們想發展人生的藍圖
[00:00:53.260 --> 00:00:54.520]  是這個意思
[00:00:54.520 --> 00:00:56.480]  最初定的時候是在想這個概念
[00:00:56.480 --> 00:00:58.360]  主給我們有這個方向
[00:00:58.360 --> 00:01:00.980]  發展人生的藍圖
[00:01:00.980 --> 00:01:02.580]  其實這個課題
[00:01:02.580 --> 00:01:03.880]  如果你在池江有一段日子
[00:01:03.880 --> 00:01:06.880]  都知道不是今年講的
[00:01:06.880 --> 00:01:09.960]  很多年 幾年前我們已經探索
[00:01:09.960 --> 00:01:12.880]  人生的異象 人生的藍圖
[00:01:12.880 --> 00:01:15.080]  神擺在我們這個世上
[00:01:15.080 --> 00:01:18.200]  給我們有各種的恩賜 能力 關係
[00:01:18.200 --> 00:01:20.120]  其實是想我們怎樣呢
[00:01:20.120 --> 00:01:21.960]  好像從這個向導出發
[00:01:21.960 --> 00:01:23.880]  即是我今日活在世上
[00:01:23.880 --> 00:01:27.680]  其實我應該怎樣前進呢
[00:01:27.680 --> 00:01:30.400]  或者人生有什麼目標 什麼目的
[00:01:30.400 --> 00:01:32.960]  好像發展人生的藍圖
[00:01:32.960 --> 00:01:34.480]  就是在想這些東西
[00:01:34.480 --> 00:01:36.160]  當我預備的時候
[00:01:36.160 --> 00:01:37.720]  突然間有一次有個意念
[00:01:37.720 --> 00:01:39.080]  我就這樣想
[00:01:39.080 --> 00:01:40.440]  其實我們經常想
[00:01:40.440 --> 00:01:43.480]  我們 或者我 或者你
[00:01:43.480 --> 00:01:45.640]  我們有什麼人生的藍圖
[00:01:45.640 --> 00:01:47.640]  不知道大家有沒有想過
[00:01:47.640 --> 00:01:50.800]  神都有祂的藍圖
[00:01:50.800 --> 00:01:52.080]  即是我突然間覺得
[00:01:52.080 --> 00:01:56.000]  如果我們要想我們人生的藍圖
[00:01:56.000 --> 00:01:58.440]  其實離不開我們要明白
[00:01:58.440 --> 00:02:01.800]  理解神的藍圖是怎樣的
[00:02:01.800 --> 00:02:04.120]  否則我們只會想自己的東西
[00:02:04.120 --> 00:02:06.000]  如果我們對神的藍圖
[00:02:06.000 --> 00:02:09.440]  有一個理解 一個明白
[00:02:09.440 --> 00:02:12.320]  我想我們再去想我們人生的藍圖
[00:02:12.320 --> 00:02:14.280]  再去探索的話
[00:02:14.280 --> 00:02:17.480]  我覺得就更加能夠match到
