
[00:00:00.000 --> 00:00:03.880]  今日在當我們科技失控的時候
[00:00:03.880 --> 00:00:08.560]  我們仍然可以專心去學習去聽一篇道
[00:00:08.560 --> 00:00:11.160]  願耶穌基督在我們當中
[00:00:11.160 --> 00:00:14.920]  得到祂該得的榮耀
[00:00:14.920 --> 00:00:18.120]  祝福我們 讓我們安靜地去聆聽
[00:00:18.120 --> 00:00:22.800]  讓我可以平安地去傳講
[00:00:22.800 --> 00:00:25.400]  我們這樣祈禱是奉祖耶穌基督名囚
[00:00:25.400 --> 00:00:31.760]  我們講到耶穌以感還鄉的故事
[00:00:31.760 --> 00:00:34.960]  然而到最後的終結
[00:00:34.960 --> 00:00:37.080]  不是耶穌被納爲王
[00:00:37.080 --> 00:00:41.040]  而是祂被拒之門外
[00:00:41.040 --> 00:00:44.920]  因爲拿撒勒的人都是惡人
[00:00:44.920 --> 00:00:47.040]  他們是空心人
[00:00:47.040 --> 00:00:48.440]  但我們感謝上帝
[00:00:48.440 --> 00:00:53.760]  因爲耶穌沒有因爲被親友所拒絕
[00:00:53.760 --> 00:00:57.520]  而憂傷而停止祂的侍奉
[00:00:57.520 --> 00:01:01.560]  相反耶穌基督祂化悲憤爲力量
[00:01:01.560 --> 00:01:05.120]  祂不單止自己去傳揚上帝的福音
[00:01:05.120 --> 00:01:08.040]  祂更加差派祂十二的門徒
[00:01:08.040 --> 00:01:12.880]  去各城各鄉傳講上帝的福音
[00:01:12.880 --> 00:01:18.120]  而且之後我們發現祂還得到很好的回應
[00:01:18.120 --> 00:01:21.840]  不過如果你記得剛纔我們所讀的經文
[00:01:21.840 --> 00:01:24.360]  在經文正面的背後
[00:01:24.360 --> 00:01:27.760]  有一個非常沉重的陰暗面
[00:01:27.760 --> 00:01:30.040]  就正當主耶穌基督的門徒
[00:01:30.040 --> 00:01:33.240]  很積極地在傳揚福音的同時
[00:01:33.240 --> 00:01:36.320]  有另外一位天國的勇士
[00:01:36.320 --> 00:01:37.640]  他遭難
[00:01:37.640 --> 00:01:38.960]  他入獄
[00:01:38.960 --> 00:01:40.760]  他受死
[00:01:40.760 --> 00:01:43.000]  這個人叫約翰
[00:01:43.000 --> 00:01:46.120]  約翰是耶穌基督的表哥
[00:01:46.120 --> 00:01:47.640]  但更重要的身份
[00:01:47.640 --> 00:01:50.920]  他是君王的先鋒
[00:01:50.920 --> 00:01:53.920]  所以剛纔我們讀的兩組故事的時候
[00:01:53.920 --> 00:01:55.400]  一光一暗
[00:01:55.400 --> 00:01:58.160]  這兩個故事重疊在一起
[00:01:58.160 --> 00:02:00.080]  成爲了一個非常複雜
[00:02:00.080 --> 00:02:04.240]  但又非常榮耀的福音故事
[00:02:04.240 --> 00:02:07.000]  所以我給了這個故事的總題
[00:02:07.000 --> 00:02:11.000]  叫做「淵雲不散,空靈在焉」
[00:02:11.000 --> 00:02:13.000]  今天我們要講的是上集
[00:02:13.000 --> 00:02:15.240]  下個星期我們回來看下集
[00:02:15.240 --> 00:02:18.920]  上集是一個光明的故事
[00:02:18.920 --> 00:02:21.720]  上集講到耶穌基督的門徒
[00:02:21.720 --> 00:02:23.480]  出去廣傳福音
[00:02:23.480 --> 00:02:26.440]  下集是一個黑暗的故事
[00:02:26.440 --> 00:02:29.440]  黑暗的故事裏面講到約翰
[00:02:29.440 --> 00:02:33.720]  因爲見證的緣故而受害
[00:02:33.720 --> 00:02:35.320]  但如果你有機會
[00:02:35.320 --> 00:02:38.040]  去看下個星期的聖經
[00:02:38.040 --> 00:02:41.600]  如果你有機會看通約翰的受死的時候
[00:02:41.600 --> 00:02:45.040]  你會發現約翰的受死其實是
[00:02:45.040 --> 00:02:49.080]  指向一個更光明的故事
[00:02:49.080 --> 00:02:52.960]  約翰的受死原來是一個謎面
[00:02:52.960 --> 00:02:56.720]  謎面是「淵雲不散,空靈在焉」
[00:02:56.720 --> 00:02:59.480]  但如果有一天下個星期你回來
[00:02:59.480 --> 00:03:01.320]  我們可以看到謎底的時候
[00:03:01.320 --> 00:03:03.000]  你會發現謎底是
