
[00:00:00.000 --> 00:00:02.920]  今日嘅經文我哋睇到
[00:00:02.920 --> 00:00:05.920]  如果問你個主題係乜呀咁
[00:00:05.920 --> 00:00:08.640]  以前我跟人讀書嘅時候
[00:00:08.640 --> 00:00:11.440]  啲人話呢最緊要揸住一個呢
[00:00:11.440 --> 00:00:14.240]  用今日嚟講叫關鍵詞係咪呀
[00:00:14.240 --> 00:00:16.960]  我哋今日喺電腦度見到好多嘅文件
[00:00:16.960 --> 00:00:18.640]  就有個關鍵詞
[00:00:18.640 --> 00:00:20.400]  咁你捉住呢個關鍵詞呢
[00:00:20.400 --> 00:00:22.960]  就可以喺呢一個嘅範圍裏面呢
[00:00:22.960 --> 00:00:24.400]  越揺越深
[00:00:24.400 --> 00:00:26.800]  咁我讀書嘅年代就冇電腦嘅
[00:00:26.800 --> 00:00:30.800]  咁當時嘅導師或者老師就教我
[00:00:30.800 --> 00:00:32.880]  佢話你睇嗰篇文章
[00:00:32.880 --> 00:00:36.240]  成日出現嘅呢你用支鉛筆間住佢
[00:00:36.240 --> 00:00:39.360]  咁一睇呢出現最多嘅係咩呢
[00:00:39.360 --> 00:00:41.680]  合而為一
[00:00:41.680 --> 00:00:44.600]  嗱我哋今日睇到呢一個
[00:00:44.600 --> 00:00:47.400]  17章20到26節呢度呢
[00:00:47.400 --> 00:00:50.640]  大家係和合本嘅修訂本啦
[00:00:50.640 --> 00:00:53.280]  我攞住嘅係和合本啦
[00:00:53.280 --> 00:00:56.760]  但係其實如果你睇呢個現代中文譯本呢
[00:00:56.760 --> 00:00:59.600]  就有五次合而為一
[00:00:59.600 --> 00:01:01.800]  你呢度數呢我頭先都數多次呢
[00:01:01.800 --> 00:01:03.400]  就四次合而為一
[00:01:03.400 --> 00:01:07.680]  嗱加多一次喺邊度呢就喺廿一節
[00:01:07.680 --> 00:01:08.680]  喺廿一節話
[00:01:08.680 --> 00:01:10.280]  使他們都合而為一
[00:01:10.280 --> 00:01:12.560]  正如你附在我裏面
[00:01:12.560 --> 00:01:14.360]  我在你裏面
[00:01:14.360 --> 00:01:17.560]  使他們也在我們裏面
[00:01:17.560 --> 00:01:20.960]  叫世人可以信你差了我來
[00:01:20.960 --> 00:01:24.760]  咁叫世人可以信你差了我來
[00:01:24.760 --> 00:01:27.600]  現代中文譯本就加咗一句
[00:01:27.600 --> 00:01:32.280]  願他們都合而為一
