
[00:00:00.000 --> 00:00:08.000]  跟住下一個動作,踩下去,搓下去,有誰想要呀?
[00:00:08.000 --> 00:00:11.000]  仲係全部舉手啦,係咪?
[00:00:11.000 --> 00:00:19.000]  跟住最後一個動作,有啲人有猶豫,但佢話,話俾大家聽
[00:00:19.000 --> 00:00:23.000]  用膠紙黏左呢,可以用得返㗎,跟住點呀?
[00:00:23.000 --> 00:00:26.000]  全部舉手啦,係咪?
[00:00:26.000 --> 00:00:36.000]  咁我想問下你啦,點解呢張銀紙有任何呢啲嘅影響,到最後啲人仍然舉手呢?
[00:00:36.000 --> 00:00:38.000]  點解呀?
[00:00:38.000 --> 00:00:48.000]  因為呢張銀紙無論你同佢點樣做,最後呢張銀紙個價值都係點呀?
[00:00:48.000 --> 00:00:52.000]  冇改變,都係五百蚊
[00:00:52.000 --> 00:01:04.000]  但係人呢,你同我,或者我地睇其他人嘅價值,係咪都一樣呢?
[00:01:04.000 --> 00:01:06.000]  會唔會貶值,會唔會升值呢?
[00:01:06.000 --> 00:01:12.000]  我地中南好得意㗎喎,如果生女,冇性別歧視㗎,生女嘅時間
[00:01:12.000 --> 00:01:17.000]  我冇女啦,不過有個領養嘅,即係有個專明會在養嘅女啦,咁我得個仔
[00:01:17.000 --> 00:01:25.000]  女嘅時間我地叫,文雅啲叫乜嘢呀生女?千金係咪呀?嘩,即係如珠如寶呀
[00:01:25.000 --> 00:01:29.000]  如果生仔仲係長子的孫嘅話,佢係咩呀?
[00:01:29.000 --> 00:01:35.000]  我都唔知點形容呀,總之我一個可能比佢俗啲叫金波囉咁樣啦
[00:01:35.000 --> 00:01:38.000]  但慢慢可能會貶值㗎喎
[00:01:38.000 --> 00:01:47.000]  你係咪喺街度聽過,真係冇用啦,隔離嗰個小明年年考第一,你就年年考第二
[00:01:47.000 --> 00:01:52.000]  冇用呀,因為佢讀書冇人哋咁叻呀
[00:01:52.000 --> 00:01:59.000]  或者我地以前而家少啲講啦,喺街度有陣時聽到,唔知你有冇講過呢,生乜嘢呀?
[00:01:59.000 --> 00:02:11.000]  撐球叉燒呀撐你,咁我對面有間酒樓呢,我諗下一球叉燒一斤,一斤幾錢到呀?一百蚊到啦
[00:02:11.000 --> 00:02:20.000]  一百蚊,有陣時我坐馬鐵,我懷疑嗰啲小朋友係咪個價值比個iphone仲低呢
[00:02:20.000 --> 00:02:27.000]  因為見到啲父母,起碼唔係見到你呀,好似對個iphone仲多過對嗰個嘅細路喎
[00:02:27.000 --> 00:02:34.000]  不過咁人原來會升值嘅,去到某個程度呢,特別係去到談婚論嫁嘅時間呢
[00:02:34.000 --> 00:02:38.000]  咁雙方會見家長啦,跟住會傾乜嘢呀?
[00:02:38.000 --> 00:02:44.000]  黎今我,唔係嫁女嘅,不過要咁多,冇得傾
