
[00:00:00.000 --> 00:00:03.900]  各位迪士尼的朋友們早安
[00:00:03.900 --> 00:00:07.300]  今天很高興要跟各位來分享信息
[00:00:07.300 --> 00:00:14.100]  創世紀的第24章到15節
[00:00:14.100 --> 00:00:16.500]  亞伯拉罕有一個老夫人
[00:00:16.500 --> 00:00:19.400]  她的名字叫做伊麗與謝
[00:00:19.400 --> 00:00:20.900]  伊麗亞珊
[00:00:20.900 --> 00:00:22.900]  神是我的幫助
[00:00:22.900 --> 00:00:27.700]  所以神一路幫助她 一路帶領她
[00:00:27.700 --> 00:00:30.600]  本來亞伯拉罕還沒有兒子的時候
[00:00:30.600 --> 00:00:32.800]  準備她的整個家產
[00:00:32.800 --> 00:00:35.800]  將來就要留給老夫人的
[00:00:35.800 --> 00:00:37.200]  跟了她一輩子了
[00:00:37.200 --> 00:00:39.900]  好像一家自己家的人一樣
[00:00:39.900 --> 00:00:42.700]  但是後來生了伊珊的時候
[00:00:42.700 --> 00:00:46.700]  伊麗與謝又成為了伊珊的夫人
[00:00:46.700 --> 00:00:51.000]  所以這個老夫人她真是非常的忠心
[00:00:51.000 --> 00:00:52.000]  我有時候在想
[00:00:52.000 --> 00:00:53.700]  假如我是這個老夫人的話
[00:00:53.700 --> 00:00:56.200]  我不知道心裡面怎麼想 你知道嗎
[00:00:56.200 --> 00:00:59.600]  本來亞伯拉罕這些產業都歸我了
[00:00:59.600 --> 00:01:02.000]  但是現在小主人出生了
[00:01:02.000 --> 00:01:03.900]  以後就要歸小主人了
[00:01:03.900 --> 00:01:06.700]  心裡面真的是百感交集
[00:01:06.700 --> 00:01:11.000]  但是這個老夫人她忠心
[00:01:11.000 --> 00:01:15.800]  伊麗與謝成為我們無人侍奉的典範
[00:01:15.800 --> 00:01:17.600]  讓我們聽著禱告
[00:01:17.600 --> 00:01:18.900]  阿爸菩薩
[00:01:18.900 --> 00:01:21.400]  我感謝你 我讚美你
[00:01:21.400 --> 00:01:25.600]  因為你檢許我們來侍奉
[00:01:25.600 --> 00:01:29.000]  來侍奉你的教會 你的肢體
[00:01:29.000 --> 00:01:31.200]  來侍奉彼此
[00:01:31.200 --> 00:01:34.200]  而我們侍奉所帶的能力
[00:01:34.200 --> 00:01:37.500]  所得到的能力是從你而來的
[00:01:37.500 --> 00:01:41.100]  我們侍奉不是靠兵強馬壯
[00:01:41.100 --> 00:01:43.200]  而是靠耶和華的靈
[00:01:43.200 --> 00:01:46.300]  方能成事才可以侍奉
[00:01:46.300 --> 00:01:48.100]  神啊 我們謝謝你
[00:01:48.100 --> 00:01:51.300]  因為你在這一切的事上
[00:01:51.300 --> 00:01:54.800]  你使用伊麗與謝 你幫助她
[00:01:54.800 --> 00:01:55.900]  同樣的
[00:01:55.900 --> 00:01:59.900]  我們也願意做一個忠心的老夫人
[00:01:59.900 --> 00:02:03.200]  求你來賜福於我們 帶領我們
[00:02:03.200 --> 00:02:05.600]  讓我們的侍奉也是有果效的
[00:02:05.600 --> 00:02:06.600]  感謝你
[00:02:06.600 --> 00:02:10.900]  禱告讚 是奉祖耶穌基督的名
[00:02:10.900 --> 00:02:13.400]  阿們
[00:02:13.400 --> 00:02:14.600]  有的時候我在想說
[00:02:14.600 --> 00:02:18.800]  感謝神 因為神在掌權之後
[00:02:18.800 --> 00:02:22.000]  我們也不過是一個忠心的夫人
[00:02:22.000 --> 00:02:24.900]  我們不過是一個忠心的使女
[00:02:24.900 --> 00:02:26.400]  我高興不高興
[00:02:26.400 --> 00:02:30.100]  我都必須要甘心樂意的忍住
[00:02:30.100 --> 00:02:32.600]  就算說我不受重視
[00:02:32.600 --> 00:02:36.400]  就算說我沒有得到報酬
[00:02:36.400 --> 00:02:39.600]  我知道 神祂節儉我
[00:02:39.600 --> 00:02:42.300]  我就知道我要向祂敲詐
[00:02:42.300 --> 00:02:47.500]  我就知道祂有更好的存留給我
[00:02:47.500 --> 00:02:51.100]  神看我們是忠心良善的僕人
[00:02:51.100 --> 00:02:55.000]  祂會為我們繼續更多的財寶
[00:02:55.000 --> 00:02:58.300]  祂在今生就會賜福給我們
[00:02:58.300 --> 00:03:01.400]  祂在來生有更多的獎賞
[00:03:01.400 --> 00:03:02.800]  我常常喜歡講說
[00:03:02.800 --> 00:03:05.400]  我們都有帶上各式各樣的觀念
[00:03:05.400 --> 00:03:06.600]  不是嗎
[00:03:06.600 --> 00:03:08.300]  仁愛的觀念
[00:03:08.300 --> 00:03:09.400]  公義的觀念
[00:03:09.400 --> 00:03:10.400]  喜樂的觀念
[00:03:10.400 --> 00:03:12.000]  不可羞懷的觀念
[00:03:12.000 --> 00:03:16.800]  神都要加給我們的
[00:03:16.800 --> 00:03:21.400]  一律以謝這一個忠心的老僕人
[00:03:21.400 --> 00:03:24.400]  什麼叫忠心的老僕人
[00:03:24.400 --> 00:03:27.400]  我以前在讀神學院的時候
[00:03:27.400 --> 00:03:30.400]  我的一個老師叫做邵遲
[00:03:30.400 --> 00:03:33.900]  那麼他那個時候是七八十歲
[00:03:33.900 --> 00:03:35.900]  所以人家給他辦了一個
[00:03:35.900 --> 00:03:40.700]  福祀五十週年的慶祝會
[00:03:40.700 --> 00:03:43.500]  所以我和神先生我們都去參加
[00:03:43.500 --> 00:03:45.500]  就有許多人恭賀他
[00:03:45.500 --> 00:03:47.000]  那一次我記得有一個
[00:03:47.000 --> 00:03:49.000]  靈山剛福祀就起來
[00:03:49.000 --> 00:03:51.500]  所以我跟他是資格相同
[00:03:51.500 --> 00:03:54.000]  我今天為他來說幾句話
[00:03:54.000 --> 00:03:56.700]  他說你們這些神學者
[00:03:56.700 --> 00:03:58.200]  你知道你要怎麼樣
[00:03:58.200 --> 00:04:01.200]  可以忠心做到老嗎
[00:04:01.200 --> 00:04:03.000]  他說第一
[00:04:03.000 --> 00:04:05.500]  你要福祀得早
[00:04:05.500 --> 00:04:08.000]  你早點出來福祀
[00:04:08.000 --> 00:04:10.500]  這個邵老師他是二十多歲
[00:04:10.500 --> 00:04:11.500]  就出來福祀
[00:04:11.500 --> 00:04:13.000]  所以他到了七十多歲的時候
[00:04:13.000 --> 00:04:15.000]  他福祀五十年了
[00:04:15.000 --> 00:04:17.500]  我是五十多歲才出來福祀
[00:04:17.500 --> 00:04:18.500]  我要真五十年
[00:04:18.500 --> 00:04:20.500]  我一百多歲了
[00:04:20.500 --> 00:04:23.000]  不太容易了
[00:04:23.000 --> 00:04:25.500]  謝謝你
