
[00:00:00.000 --> 00:00:04.000]  各位聽眾姐妹大家好
[00:00:04.000 --> 00:00:09.520]  剛才主席說很高興能夠實場崇拜
[00:00:09.520 --> 00:00:12.680]  對我來說,我未至於興奮
[00:00:12.680 --> 00:00:14.520]  但我想起碼一件事
[00:00:14.520 --> 00:00:18.400]  能夠去到這個地方
[00:00:18.400 --> 00:00:21.120]  能夠再次見到大家的樣子
[00:00:21.120 --> 00:00:22.640]  見到大家的眼睛
[00:00:22.640 --> 00:00:23.920]  見到大家的嘴巴
[00:00:23.920 --> 00:00:26.640]  見到大家究竟是在笑
[00:00:26.640 --> 00:00:30.280]  是在吃東西還是怎樣
[00:00:30.280 --> 00:00:31.560]  這些都不要緊
[00:00:31.560 --> 00:00:35.360]  至少我們能夠見到一些人氣
[00:00:35.360 --> 00:00:40.960]  這是我們教會能夠實場的地方
[00:00:40.960 --> 00:00:44.800]  在今天想跟大家在崇拜裏面
[00:00:44.800 --> 00:00:46.320]  講一個主題
[00:00:46.320 --> 00:00:50.720]  叫做「祝壇」
[00:00:50.720 --> 00:00:54.840]  英國國家廣播公司(BBC)
[00:00:54.840 --> 00:01:01.240]  在2005年推出了一連三集的節目
[00:01:01.240 --> 00:01:04.040]  節目名叫做「The Monastery」
[00:01:04.040 --> 00:01:06.360]  中文叫做「修院生活」
[00:01:06.360 --> 00:01:08.640]  不知道大家有沒有聽過
[00:01:08.640 --> 00:01:10.040]  這個節目很特別
[00:01:10.040 --> 00:01:17.040]  是拍攝了有五位來自不同生活圈子的男士
[00:01:17.040 --> 00:01:19.040]  在忍修院裏面
[00:01:19.040 --> 00:01:22.240]  怎樣去過四十的晝夜
[00:01:22.240 --> 00:01:27.240]  四十晝夜即是四十晚 四十個早上
[00:01:27.240 --> 00:01:31.680]  大家見到其實在左手邊
[00:01:31.680 --> 00:01:34.120]  左手邊就是這五位男士
[00:01:34.120 --> 00:01:37.120]  大家看他們的樣子
[00:01:37.120 --> 00:01:41.600]  他們的樣子都很世俗
[00:01:41.600 --> 00:01:45.680]  樣子都不是很人感品
[00:01:45.680 --> 00:01:49.920]  絕對不是我們通常會印象中的
[00:01:49.920 --> 00:01:52.360]  修道院的修士
[00:01:52.360 --> 00:02:00.520]  的確其中有一個是從事色情節目製作
[00:02:00.520 --> 00:02:06.840]  有一個人是曾經縱火被囚的犯人
[00:02:06.840 --> 00:02:13.720]  他們的生活絕對跟修道院格格不入
[00:02:13.720 --> 00:02:16.720]  但在這四十天裏面
[00:02:16.720 --> 00:02:23.400]  他們都放下了過往那種在過在無的生活
[00:02:23.400 --> 00:02:26.920]  在裏面沒有電話 沒有上網
[00:02:26.920 --> 00:02:28.280]  即是世界末日
[00:02:28.280 --> 00:02:32.280]  甚至連聊天的時間都有限制
[00:02:32.280 --> 00:02:34.360]  不可以經常說話
[00:02:34.360 --> 00:02:38.600]  只可以限制每天吃飯的時間
[00:02:38.600 --> 00:02:42.000]  才可以說幾句話
[00:02:42.000 --> 00:02:43.960]  這樣的生活
[00:02:43.960 --> 00:02:47.480]  當他們過了這四十天修院的生活
[00:02:47.480 --> 00:02:51.840]  奇怪的就是他們很多當中
[00:02:51.840 --> 00:02:55.440]  他們的人生都有很大的轉變
[00:02:55.440 --> 00:03:01.600]  剛才所說的從事色情節目製作的那位人
[00:03:01.600 --> 00:03:03.240]  你猜他之後怎樣
[00:03:03.240 --> 00:03:05.480]  他辭了那份工
[00:03:05.480 --> 00:03:07.360]  他辭了那份工 他轉了工作
[00:03:07.360 --> 00:03:10.160]  他甚至在之後的時間
[00:03:10.160 --> 00:03:16.000]  他都經常回到修道院裏面
[00:03:16.000 --> 00:03:20.320]  這個節目播出之後非常受歡迎
[00:03:20.320 --> 00:03:24.440]  總共有三百萬人觀看過
[00:03:24.440 --> 00:03:31.080]  甚至有很多人寄信 入信去修道院裏面
[00:03:31.080 --> 00:03:35.000]  說可不可以讓他住在修道院裏
[00:03:35.000 --> 00:03:37.680]  不知道你會不會這樣
[00:03:37.680 --> 00:03:41.440]  那個修道院的院長
[00:03:41.440 --> 00:03:43.760]  後來他寫了一本書
[00:03:43.760 --> 00:03:45.480]  這本書的中文
[00:03:45.480 --> 00:03:48.680]  我譯了叫「沉覓聖所」
