
[00:00:00.000 --> 00:00:02.820]  我今天跟大家分享
[00:00:02.820 --> 00:00:08.620]  在歐洲呢 有一個專門研究動物的一個機構
[00:00:08.620 --> 00:00:10.500]  那裡面呢 有一個教授
[00:00:10.500 --> 00:00:15.300]  他是專門在研究這個雞的生態
[00:00:15.300 --> 00:00:19.580]  所以他就常常在觀察這個雞的生活啊 生態
[00:00:19.580 --> 00:00:24.340]  就有一天呢 他就散步到山林 樹林裡面去
[00:00:24.340 --> 00:00:26.900]  他就在樹林裡面 他就找到一隻雉雞
[00:00:26.900 --> 00:00:30.820]  然後那個雉 就三雉 讀雉
[00:00:30.820 --> 00:00:32.340]  雉雞就是野雞
[00:00:32.340 --> 00:00:36.100]  那野雞有一堆那個雞蛋 野雞的蛋在那邊
[00:00:36.100 --> 00:00:38.780]  他就把那堆野雞蛋就帶回來
[00:00:38.780 --> 00:00:42.100]  帶回來以後 他就在他的那個科學園裡面
[00:00:42.100 --> 00:00:44.420]  就有一隻母雞在那邊孵蛋
[00:00:44.420 --> 00:00:47.500]  他就把那個母雞的那個蛋拿走
[00:00:47.500 --> 00:00:50.940]  然後就把那個三雉雞的那個雞蛋放下去
[00:00:50.940 --> 00:00:53.180]  那母雞回來的時候 他看了那個蛋
[00:00:53.180 --> 00:00:58.940]  他猶豫了一下 但是他還是很溫柔地就坐上去孵那個蛋
[00:00:58.940 --> 00:01:01.260]  孵孵孵 孵到那個時間到了
[00:01:01.260 --> 00:01:04.980]  那個小雉雞就把那個蛋殼打破就出來了
[00:01:04.980 --> 00:01:06.980]  結果你知道 本來在這個園子裡面
[00:01:06.980 --> 00:01:08.900]  通常他們如果是養雞的話
[00:01:08.900 --> 00:01:11.540]  那雞從雞蛋殼出來的話
[00:01:11.540 --> 00:01:14.020]  他們就餵他這個人工的飼料
[00:01:14.020 --> 00:01:16.300]  但是很奇妙的這個母雞喔
[00:01:16.300 --> 00:01:18.500]  他卻跑到那個樹林裡面
[00:01:18.500 --> 00:01:21.500]  在那個樹中間就用他的爪子去挖
[00:01:21.500 --> 00:01:23.220]  然後挖到那個有蟲的時候
[00:01:23.220 --> 00:01:27.460]  他就叫那小雞過來吃 那些小蟲
[00:01:27.460 --> 00:01:30.420]  教授看了就覺得很有意思
[00:01:30.420 --> 00:01:32.980]  然後他又跑去拿了一堆鴨蛋
[00:01:32.980 --> 00:01:36.420]  然後再把他放進去那個母雞的那個窩裡面
[00:01:36.420 --> 00:01:38.900]  那個母雞也很溫柔地就坐上去
[00:01:38.900 --> 00:01:40.900]  就開始孵那些鴨蛋
[00:01:40.900 --> 00:01:44.300]  就孵孵孵 等到這些鴨蛋出來了之後呢
[00:01:44.300 --> 00:01:45.780]  這母雞也很有意思
[00:01:45.780 --> 00:01:49.220]  他就會帶著這群小鴨就到那個河邊
