
[00:00:00.000 --> 00:00:02.000]  我們低頭一起有禱告
[00:00:02.000 --> 00:00:03.400]  天父我們感謝祢
[00:00:03.400 --> 00:00:05.200]  因為祢在這二十八年來
[00:00:05.200 --> 00:00:08.000]  一直帶領著緘默社區浸信會
[00:00:08.000 --> 00:00:11.600]  有間小小的教會不斷地長大
[00:00:11.600 --> 00:00:15.000]  還有我們經歷過很多風雨飄逸的日子
[00:00:15.000 --> 00:00:16.400]  但我們感謝祢
[00:00:16.400 --> 00:00:18.200]  因為當我們缺乏的時候
[00:00:18.200 --> 00:00:20.200]  祢就打開天上的倉庫
[00:00:20.200 --> 00:00:21.400]  傾覆給我們
[00:00:21.400 --> 00:00:23.400]  讓我們真是一無缺乏
[00:00:23.400 --> 00:00:25.400]  我們在不平安
[00:00:25.400 --> 00:00:26.600]  在有困惑
[00:00:26.600 --> 00:00:28.400]  在不知道怎麼辦的日子
[00:00:28.400 --> 00:00:30.400]  當我們去尋求祢的時候
[00:00:30.400 --> 00:00:33.000]  祢就樂意地來跟我們講說話
[00:00:33.000 --> 00:00:35.000]  讓我們明白主祢的心意
[00:00:35.000 --> 00:00:37.500]  也都將能力、將信心
[00:00:37.500 --> 00:00:41.000]  來敲冠在我們每一個弟兄姊妹心中
[00:00:41.000 --> 00:00:43.800]  以致我們能夠真是去切實彼此相愛
[00:00:43.800 --> 00:00:47.200]  也都盡力努力地去傳揚福音
[00:00:47.200 --> 00:00:49.200]  還有我們為了在這麼多年裡面
[00:00:49.200 --> 00:00:50.400]  我們走過的日子
[00:00:50.400 --> 00:00:52.400]  我們再一次獻上重責
[00:00:52.400 --> 00:00:54.000]  還有求祢真是願立
[00:00:54.000 --> 00:00:57.000]  我們弟兄姊妹在祢面前的立員
[00:00:57.000 --> 00:00:58.200]  繼續使用我們
[00:00:58.200 --> 00:00:59.400]  在未來的日子裡面
[00:00:59.400 --> 00:01:01.000]  我們繼續地榮耀祢
[00:01:01.000 --> 00:01:03.700]  我們這樣禱告奉教主耶穌基督的名
[00:01:03.700 --> 00:01:04.700]  Amen
[00:01:04.700 --> 00:01:05.700]  好,請坐
[00:01:05.700 --> 00:01:11.600]  我們很開心今天是我們會慶的28週年
[00:01:11.600 --> 00:01:14.900]  也都正正進入了最後一個季題
[00:01:14.900 --> 00:01:17.700]  就是講最美的奉獻
[00:01:17.700 --> 00:01:19.400]  當他在想的時候
[00:01:19.400 --> 00:01:21.400]  我就有些話想講的
[00:01:21.400 --> 00:01:26.600]  當然是講將最好的拿出來獻給神
[00:01:26.600 --> 00:01:28.000]  可能人太貪心了
[00:01:28.000 --> 00:01:30.000]  到真是落實時間的關係
[00:01:30.000 --> 00:01:31.500]  發覺原來有很多東西要講
[00:01:31.500 --> 00:01:35.400]  所以我今天只會講教會的部分
[00:01:35.400 --> 00:01:36.600]  是講我們整間教會
[00:01:36.600 --> 00:01:40.600]  怎樣去努力將最好的獻給主
[00:01:40.600 --> 00:01:43.700]  所以關於正向重構這個題目
[00:01:43.700 --> 00:01:46.100]  我要開另一個課題再談
[00:01:46.100 --> 00:01:48.000]  今年很特別
[00:01:48.000 --> 00:01:51.100]  我們平時星期一、二、三、四是會移動的
[00:01:51.100 --> 00:01:52.900]  不會年年一樣
[00:01:52.900 --> 00:01:55.100]  原來28年前
[00:01:55.100 --> 00:01:59.200]  我們也是10月2日
[00:01:59.200 --> 00:02:01.900]  也是星期日
[00:02:01.900 --> 00:02:03.800]  是不是很難得
[00:02:03.800 --> 00:02:04.600]  我們感謝主耶穌
[00:02:04.600 --> 00:02:08.600]  今天正是跟當年是一樣的
[00:02:08.600 --> 00:02:10.500]  你可以回想一下
[00:02:10.500 --> 00:02:15.700]  28年前正是10月2日星期日
[00:02:15.700 --> 00:02:18.800]  正正是千脈誕生的日子
[00:02:18.800 --> 00:02:22.800]  我記得那時候我們應該是借了社區會堂
[00:02:22.800 --> 00:02:26.600]  來做成立的典禮
[00:02:26.600 --> 00:02:28.200]  所以跟旁邊的人說
[00:02:28.200 --> 00:02:31.800]  我們很開心跟你過了28年
[00:02:31.800 --> 00:02:36.100]  其實千脈的前身還有一些日子
[00:02:36.100 --> 00:02:39.600]  在會慶還有老人家在
