
[00:00:00.000 --> 00:00:03.000]  我等師父讓我去聽神的禱語,我們才能同心同德。
[00:00:03.000 --> 00:00:07.000]  天主伯爺,我們聽到之前,先同心禱告。
[00:00:07.000 --> 00:00:16.000]  慈悲的父神,多謝祢,讓我們能夠再次回來,在祢的說話裏面,一起去明白上帝的心意。
[00:00:16.000 --> 00:00:23.000]  後天父祢與我們同在,讓在今天的敬拜當中,在聽道的裏面,
[00:00:23.000 --> 00:00:32.000]  我們真的能夠再次學會,主祢怎樣帶領我們,能夠走面前的人生的路,求祢與我們同在。
[00:00:32.000 --> 00:00:37.000]  我親愛的父神,感謝祢,讓我們能夠再次打開祢的話語,
[00:00:37.000 --> 00:00:42.000]  讓我們一同來到陌生,了解祢是怎樣的一位主。
[00:00:42.000 --> 00:00:48.000]  也求祢,透過聖靈來引導我們,使我們明白到,
[00:00:48.000 --> 00:00:55.000]  怎樣來掌握上帝給我們的道路,應該怎樣走。
[00:00:55.000 --> 00:01:04.000]  也讓我們帶著謙卑的心,走到其中,使我們明明地看到上帝的工作。
[00:01:04.000 --> 00:01:09.000]  求祢的幫助,讓我們感恩,禱告,奉主耶穌的名字。
[00:01:09.000 --> 00:01:27.000]  (主持人:中國人有一句俗語叫做柳暗花明,柳暗花明的意思是,
[00:01:27.000 --> 00:01:38.000]  看上去有些東西已經沒有希望,前途一片暗淡,
[00:01:38.000 --> 00:01:44.000]  但當你願意走前多幾步的時候,
[00:01:44.000 --> 00:01:51.000]  你就竟然發現有另一幫更美麗的景象出現。
[00:01:51.000 --> 00:02:00.000]  好像今天我們所看的經文,司徒行遠第十六章的前面一章,
[00:02:00.000 --> 00:02:08.000]  他們就見到有一對很好的童工,他們叫做巴拿巴和保羅,
[00:02:08.000 --> 00:02:19.000]  他們曾經受命於安提柯教會,猜他們進入外邦世界的傳道,
[00:02:19.000 --> 00:02:23.000]  現在只為了一個原因,
[00:02:23.000 --> 00:02:35.000]  就是為了帶不帶約翰·馬可這個人物,弄得他們要分道揚鑣。
[00:02:35.000 --> 00:02:40.000]  我們作為基督徒看見一段這樣的歷史,
[00:02:40.000 --> 00:02:49.000]  我們心中有一種苦澀之情,覺得很丟臉。
[00:02:49.000 --> 00:02:55.000]  其實這段聖經很多基督徒不想講,很多牧者都不想講,
[00:02:55.000 --> 00:03:02.000]  司徒行遠第十五章其實對於基督教理解,
[00:03:02.000 --> 00:03:06.000]  今天沒有人想講,因為這段聖經是教會的醜聞。
[00:03:06.000 --> 00:03:14.000]  教會又吵架,教會又吵架,
[00:03:14.000 --> 00:03:21.000]  現在又為了帶一個人去童工吵架,
[00:03:21.000 --> 00:03:28.000]  很醜啊,兩個都是教會的屬靈領袖,
[00:03:28.000 --> 00:03:32.000]  一個是安提柯,一個是耶路撒冷的教會領袖,
[00:03:32.000 --> 00:03:40.000]  兩個走在一起都變成這樣。
[00:03:40.000 --> 00:03:47.000]  講出來羞枷,講出來有點羞恥。
[00:03:47.000 --> 00:03:52.000]  今天教會經常要向世人表現出自己很漂亮的一面,
[00:03:52.000 --> 00:04:02.000]  所以教會裏面有沒有任何爭拗、爭論、討論,
[00:04:02.000 --> 00:04:06.000]  不同的意見,全部一一要將粉色掩蓋起來。
[00:04:06.000 --> 00:04:12.000]  因為教會有什麼爭論,一定要粉色掩蓋起來。
[00:04:12.000 --> 00:04:15.000]  他們有一個很好的理由,
[00:04:15.000 --> 00:04:21.000]  他們的理由就是我們教會要做好見證,
[00:04:21.000 --> 00:04:27.000]  意思是好見證就是讓人看見教會真的很漂亮,吸引人回來。
[00:04:27.000 --> 00:04:32.000]  不要讓人知道教會裏面的人會吵架,
[00:04:32.000 --> 00:04:39.000]  有不同意見,蓋住它,粉飾它。
[00:04:39.000 --> 00:04:48.000]  但是當你想深一層,如果教會真的這樣去粉飾太平的話,
[00:04:48.000 --> 00:04:54.000]  其實這正是一種假冒偽善的行為,
[00:04:54.000 --> 00:04:58.000]  教會變成自己躲在自己的四面牆之內的一隻烏龜,
[00:04:58.000 --> 00:05:06.000]  躲在自己的殼裏面,
[00:05:06.000 --> 00:05:14.000]  或者將自己的頭埋在泥中的鴕鳥一樣,
[00:05:14.000 --> 00:05:17.000]  大就夠大隻了,
[00:05:17.000 --> 00:05:24.000]  但是卻看起來對主的見證一無所用,
[00:05:24.000 --> 00:05:28.000]  因為是假冒偽善,
[00:05:28.000 --> 00:05:34.000]  被人的傷害比做好見證更大。
[00:05:34.000 --> 00:05:36.000]  所以弟兄姐妹,
[00:05:36.000 --> 00:05:41.000]  司徒行尊第十五章是一段很重要的經文,
[00:05:41.000 --> 00:05:48.000]  將真正教會的現象,教導我們怎樣去面對,
[00:05:48.000 --> 00:05:53.000]  讓我們更加明白怎樣去做一個勇敢的基督徒,
[00:05:53.000 --> 00:05:56.000]  因為基督徒是一群甚麼人來的?
[00:05:56.000 --> 00:06:00.000]  讓我今天講清楚這句話,你聽清楚,
[00:06:00.000 --> 00:06:09.000]  基督徒是一群敢面對自己軟弱的群體,
[00:06:09.000 --> 00:06:12.000]  讓我講得再清楚一點,
[00:06:12.000 --> 00:06:20.000]  基督徒是最願意面對自己軟弱的一群,
[00:06:20.000 --> 00:06:23.000]  我擔心你們真的不明白,
