
[00:00:00.000 --> 00:00:04.220]  上個星期開始,大家都知道我們開始了一個新的講道系列
[00:00:04.220 --> 00:00:05.700]  是講什麼呢?
[00:00:05.700 --> 00:00:07.100]  真基督徒,對不對?
[00:00:07.100 --> 00:00:09.700]  完了之後,星期一,星期二
[00:00:09.700 --> 00:00:12.300]  我們收到底線節目的一些回應卡
[00:00:12.300 --> 00:00:14.300]  其中有一張是這樣跟我們說的
[00:00:14.300 --> 00:00:16.300]  他說,如果人都沒有重生
[00:00:16.300 --> 00:00:18.800]  怎麼能夠做一個真基督徒呢?
[00:00:18.800 --> 00:00:21.800]  這個statement其實是很真實的
[00:00:21.800 --> 00:00:25.800]  如果我們沒有信耶穌,沒有一個新的生命的話
[00:00:25.800 --> 00:00:29.300]  我們怎麼會有一種慾望去追求呢?
[00:00:29.300 --> 00:00:33.300]  是繼續成長,以至我們能夠經歷神更多呢?
[00:00:33.300 --> 00:00:37.300]  所以,真心信主,做一個重生得救的基督徒
[00:00:37.300 --> 00:00:40.300]  這是一個基本的條件
[00:00:40.300 --> 00:00:43.300]  但是,好了,我們信了主了,做了基督徒
[00:00:43.300 --> 00:00:45.300]  上個星期跟大家說,一個真基督徒
[00:00:45.300 --> 00:00:47.300]  其中一件事,我相信要學習的就是
[00:00:47.300 --> 00:00:49.300]  我們是耶穌基督的僕人
[00:00:49.300 --> 00:00:51.300]  我們要做一個真僕人
[00:00:51.300 --> 00:00:54.300]  而這個星期裏面來說,along the line
[00:00:54.300 --> 00:00:57.300]  如果一個真正跟隨耶穌基督的人
[00:00:57.300 --> 00:01:01.300]  怎麼能夠成爲一個無犯的跟隨者呢?
[00:01:01.300 --> 00:01:04.300]  跟隨者的英文就簡單了,叫follower
[00:01:04.300 --> 00:01:06.300]  就是跟隨另外一個人的人
[00:01:06.300 --> 00:01:09.300]  一個人也好,通常是說人
[00:01:09.300 --> 00:01:12.300]  做一個true follower,或者一個model
[00:01:12.300 --> 00:01:16.300]  follower,一個跟隨者的榜樣
[00:01:16.300 --> 00:01:19.300]  不知道大家怎麼想呢?
[00:01:19.300 --> 00:01:21.300]  不知道你想做一個跟隨者呢?
[00:01:21.300 --> 00:01:24.300]  還是想做一個領袖呢?
[00:01:24.300 --> 00:01:27.300]  有些人曾經說過一句話
[00:01:27.300 --> 00:01:31.300]  Is it better to be a follower than a leader?
[00:01:31.300 --> 00:01:36.300]  是不是做一個跟隨者比做一個領袖好些呢?
[00:01:36.300 --> 00:01:39.300]  不是反過來說,是不是做一個領袖比做一個跟隨者好些呢?
[00:01:39.300 --> 00:01:43.300]  反過來說,是不是一個跟隨者會比一個領袖好些呢?
[00:01:43.300 --> 00:01:46.300]  爲什麼呢?因爲做一個跟隨者
[00:01:46.300 --> 00:01:48.300]  你不用負什麼責任
[00:01:48.300 --> 00:01:50.300]  你不用去定規矩
[00:01:50.300 --> 00:01:52.300]  有些人很怕定規矩
[00:01:52.300 --> 00:01:54.300]  壞了呢
[00:01:54.300 --> 00:01:57.300]  你的領袖壞了,不關你的事
[00:01:57.300 --> 00:02:00.300]  你不會受人指責,不會被人取笑
[00:02:00.300 --> 00:02:03.300]  你不會走就走先,不需要你走先
[00:02:03.300 --> 00:02:05.300]  死就不需要你死先
[00:02:05.300 --> 00:02:06.300]  Right?
[00:02:06.300 --> 00:02:08.300]  所以有些人就會覺得
[00:02:08.300 --> 00:02:11.300]  可能做一個跟隨者會不會好些呢?
[00:02:11.300 --> 00:02:13.300]  有這個問題
[00:02:13.300 --> 00:02:15.300]  但是其實,另外一些人就覺得
[00:02:15.300 --> 00:02:17.300]  其實做領袖的情況又不同
[00:02:17.300 --> 00:02:19.300]  做領袖呢
[00:02:19.300 --> 00:02:23.300]  有多些control嘛,有多些操控的能力
[00:02:23.300 --> 00:02:25.300]  可以去影響人,去操控人
[00:02:25.300 --> 00:02:27.300]  告訴別人做些什麼
[00:02:27.300 --> 00:02:29.300]  有些人很喜歡告訴別人what to do
[00:02:29.300 --> 00:02:30.300]  Right?
[00:02:30.300 --> 00:02:33.300]  這些似乎是領袖的一些質素
[00:02:33.300 --> 00:02:35.300]  除此之外呢,做領袖呢
[00:02:35.300 --> 00:02:38.300]  你可以選擇一個你喜歡的環境
[00:02:38.300 --> 00:02:40.300]  有些什麼成功的話呢
[00:02:40.300 --> 00:02:42.300]  你得到的益處會更加多
[00:02:42.300 --> 00:02:44.300]  而且呢
[00:02:44.300 --> 00:02:46.300]  可能你更加會成爲一個英雄
[00:02:46.300 --> 00:02:47.300]  Right?
[00:02:47.300 --> 00:02:49.300]  所以呢
[00:02:49.300 --> 00:02:51.300]  跟隨者也好
[00:02:51.300 --> 00:02:53.300]  領袖也好
[00:02:53.300 --> 00:02:56.300]  都各有不同的觀點和看法
[00:02:56.300 --> 00:02:58.300]  What about you?
[00:02:58.300 --> 00:03:00.300]  你呢?
[00:03:00.300 --> 00:03:02.300]  你想做一個跟隨者
[00:03:02.300 --> 00:03:04.300]  還是做一個領袖呢?
[00:03:04.300 --> 00:03:06.300]  你覺得做一個領袖好呢?
[00:03:06.300 --> 00:03:09.300]  還是做一個跟隨者好呢?
[00:03:09.300 --> 00:03:11.300]  如果你問我的話呢
[00:03:11.300 --> 00:03:14.300]  其實我相信每個人都可以做領袖的
[00:03:14.300 --> 00:03:17.300]  在不同的層面裏面都可以做領袖
[00:03:17.300 --> 00:03:19.300]  所以下一個禮拜呢
[00:03:19.300 --> 00:03:23.300]  我們就會和大家分享一個僕人領袖是怎麼樣的呢
[00:03:23.300 --> 00:03:26.300]  但與此同時我也希望提醒大家
[00:03:26.300 --> 00:03:28.300]  你願意也好不願意也好
[00:03:28.300 --> 00:03:30.300]  我們同時都是一個跟隨者的
