
[00:00:00.000 --> 00:00:06.560]  歡迎大家來到五樓的「周獨崇拜」
[00:00:06.560 --> 00:00:08.040]  由今年一月開始
[00:00:08.040 --> 00:00:11.360]  我們一直在研讀《馬可福音》
[00:00:11.360 --> 00:00:16.160]  我們講到的總題叫做「非凡的見證」
[00:00:16.160 --> 00:00:19.200]  不是因為馬可是一個非凡的作者
[00:00:19.200 --> 00:00:23.720]  而是因為主耶穌基督是一個非凡的救主
[00:00:23.720 --> 00:00:26.720]  今天我講到經文是《馬可福音》第五章
[00:00:26.720 --> 00:00:29.680]  第21節至43節
[00:00:29.680 --> 00:00:34.280]  我講到的題目是「救主的肖像」
[00:00:34.280 --> 00:00:36.560]  「救主的肖像」
[00:00:36.560 --> 00:00:40.560]  開始的時候我想跟大家玩一個拼圖的遊戲
[00:00:40.560 --> 00:00:45.240]  如果我手上的七塊拼圖是一個謎面
[00:00:45.240 --> 00:00:50.520]  我們要猜拼圖的謎底究竟是什麼
[00:00:50.520 --> 00:00:51.680]  因為時間關係
[00:00:51.680 --> 00:00:55.960]  我需要加速地給你一些提示
[00:00:55.960 --> 00:00:58.240]  如果我這樣給你看
[00:00:58.240 --> 00:01:02.000]  你看不看到謎底是什麼呢?
[00:01:02.000 --> 00:01:05.920]  還是有一點像木人行
[00:01:05.920 --> 00:01:10.120]  你這樣看會不會清晰一點呢?
[00:01:10.120 --> 00:01:15.680]  有沒有人看到謎底是什麼呢?
[00:01:15.680 --> 00:01:17.400]  如果你還沒看到
[00:01:17.400 --> 00:01:22.920]  這樣就應該會看到了
[00:01:22.920 --> 00:01:24.640]  其實謎底很簡單
[00:01:24.640 --> 00:01:28.840]  整個謎底是耶穌的英文名Jesus
[00:01:28.840 --> 00:01:34.080]  是「救主的肖像」今天講到的題目
[00:01:34.080 --> 00:01:36.680]  如果你過去兩個星期
[00:01:36.680 --> 00:01:37.720]  有在我們當中
[00:01:37.720 --> 00:01:40.440]  你應該記得我們之前所講的
[00:01:40.440 --> 00:01:44.280]  是兩個非常獨特的故事
[00:01:44.280 --> 00:01:46.680]  這兩個故事是雙胞胎
[00:01:46.680 --> 00:01:48.520]  雖然他們的樣子很不一樣
[00:01:48.520 --> 00:01:50.240]  他們是龍鳳胎
[00:01:50.240 --> 00:01:53.360]  《馬可福音》第四章35至41節
[00:01:53.360 --> 00:01:55.760]  是「平靜風浪一教主」
[00:01:55.760 --> 00:01:57.840]  是在講耶穌基督平靜風浪
[00:01:57.840 --> 00:02:01.000]  而《馬可福音》第五章1至20節
[00:02:01.000 --> 00:02:03.520]  是「寒魔伏妖一教主」
[00:02:03.520 --> 00:02:07.560]  是講到主耶穌基督去驅魔
[00:02:07.560 --> 00:02:09.080]  兩個故事的題目
[00:02:09.080 --> 00:02:10.360]  如果你有留意
[00:02:10.360 --> 00:02:13.960]  都是有一個問號在後面
[00:02:13.960 --> 00:02:17.600]  因為這兩個題目都是謎面
[00:02:17.600 --> 00:02:19.720]  真正的謎底
[00:02:19.720 --> 00:02:22.000]  他們有一個共同的謎底
[00:02:22.000 --> 00:02:24.840]  不是在講耶穌行神蹟
[00:02:24.840 --> 00:02:28.000]  不是在講耶穌驅魔趕鬼
[00:02:28.000 --> 00:02:34.320]  而是在講主耶穌基督是掌管生命的一君王
[00:02:34.320 --> 00:02:35.560]  這兩個篇道
[00:02:35.560 --> 00:02:37.120]  如果你過去兩個星期在這裡
[00:02:37.120 --> 00:02:39.040]  你都知道他在問一個問題
[00:02:39.040 --> 00:02:41.040]  耶穌究竟是誰
[00:02:41.040 --> 00:02:43.040]  他來到這個世界
[00:02:43.040 --> 00:02:45.680]  要扮演什麼樣的角色
[00:02:45.680 --> 00:02:48.600]  答案就是耶穌基督是君王
[00:02:48.600 --> 00:02:50.760]  他唯有在我們生命裡面
