
[00:00:00.000 --> 00:00:05.000]  感謝神,今天我們來思想神的話語
[00:00:05.000 --> 00:00:09.000]  你發覺你的講題都頗有趣
[00:00:09.000 --> 00:00:12.000]  叫做沉溺伯樂
[00:00:12.000 --> 00:00:14.000]  什麼叫伯樂呢?
[00:00:14.000 --> 00:00:18.000]  先看看一個圖畫
[00:00:18.000 --> 00:00:20.000]  什麼來的?
[00:00:20.000 --> 00:00:24.000]  馬來的,這是上網找的,很多馬
[00:00:24.000 --> 00:00:26.000]  神進的馬
[00:00:26.000 --> 00:00:28.000]  伯樂是什麼呢?
[00:00:28.000 --> 00:00:30.000]  我們中國歷史一般般
[00:00:30.000 --> 00:00:32.000]  讀過很多中國歷史
[00:00:32.000 --> 00:00:35.000]  有些弟兄姊妹認識的
[00:00:35.000 --> 00:00:39.000]  伯樂在春秋戰國時代
[00:00:39.000 --> 00:00:44.000]  相信神明管天上的馬
[00:00:44.000 --> 00:00:47.000]  神明的名字叫伯樂
[00:00:47.000 --> 00:00:49.000]  不是百事可樂
[00:00:49.000 --> 00:00:52.000]  專門管這些馬
[00:00:52.000 --> 00:00:55.000]  有一個人叫孫楊
[00:00:55.000 --> 00:00:57.000]  姓孫叫楊
[00:00:57.000 --> 00:01:02.000]  他有個特別的智慧
[00:01:02.000 --> 00:01:04.000]  他可以看到哪些馬
[00:01:04.000 --> 00:01:06.000]  可以找到好的馬
[00:01:06.000 --> 00:01:08.000]  你知不知道馬
[00:01:08.000 --> 00:01:10.000]  好像現在我們當時的時代
[00:01:10.000 --> 00:01:12.000]  靠馬
[00:01:12.000 --> 00:01:14.000]  所以找一隻好馬
[00:01:14.000 --> 00:01:16.000]  因為他們沒有功勞
[00:01:16.000 --> 00:01:19.000]  好馬身份不一樣
[00:01:19.000 --> 00:01:22.000]  所以那些皇帝都找馬
[00:01:22.000 --> 00:01:24.000]  後來孫楊
[00:01:24.000 --> 00:01:27.000]  這個楚國的楚王
