
[00:00:00.000 --> 00:00:02.800]  今天和大家說到《菲律賓書》第六章
[00:00:02.800 --> 00:00:05.400]  要尊重基督的僕人
[00:00:05.400 --> 00:00:08.200]  保羅在《菲律賓書》有很多寶貴的金句
[00:00:08.200 --> 00:00:11.600]  有很多宏大的意志、志向
[00:00:11.600 --> 00:00:14.300]  他說:無論是生是死
[00:00:14.300 --> 00:00:17.400]  總叫基督在我身上照常顯大
[00:00:17.400 --> 00:00:21.300]  他追求我們要以基督耶穌的心為心
[00:00:21.300 --> 00:00:22.700]  同樣在今天的經文裏面
[00:00:22.700 --> 00:00:24.100]  保羅說到一個牧者裏面
[00:00:24.100 --> 00:00:27.100]  不單有宏大的天國的意象、目標
[00:00:27.100 --> 00:00:31.700]  他還有一個很溫柔、很細心的牧者心腸
[00:00:31.700 --> 00:00:34.700]  他不斷栽培不同的牧者
[00:00:34.700 --> 00:00:37.200]  尊重其他基督的僕人
[00:00:37.200 --> 00:00:40.500]  他愛戴很多奴婦的弟兄姊妹
[00:00:40.500 --> 00:00:43.100]  最寶貴的就是他愛他的教會
[00:00:43.100 --> 00:00:46.500]  《菲律賓書》成為歷代很多信徒很喜悅的書卷
[00:00:46.500 --> 00:00:50.000]  這個教會充滿同心合二、興旺福音
[00:00:50.000 --> 00:00:52.200]  也是很多喜樂的書卷
[00:00:52.200 --> 00:00:53.500]  其中一個很美麗的就是
[00:00:53.500 --> 00:00:57.700]  保羅帶出一個充滿香氣的教會特質
[00:00:57.700 --> 00:01:03.700]  就是一個僕人願意不斷提拔和尊重其他基督的僕人
[00:01:03.700 --> 00:01:04.900]  一個教會
[00:01:04.900 --> 00:01:07.300]  蒙神喜悅的教會其中一個特質就是
[00:01:07.300 --> 00:01:09.600]  尊重基督的僕人
[00:01:09.600 --> 00:01:12.800]  保羅不單自己努力成為忠心的僕人
[00:01:12.800 --> 00:01:15.000]  他還有一個很優美的特質就是
[00:01:15.000 --> 00:01:18.800]  不斷提拔、尊重其他基督的僕人
[00:01:18.800 --> 00:01:22.000]  一個蒙科教會一定要重視真道
[00:01:22.000 --> 00:01:24.000]  要效法耶穌基督
[00:01:24.000 --> 00:01:25.600]  又要彼此相愛
[00:01:25.600 --> 00:01:27.400]  但同樣一個很重要的特質
[00:01:27.400 --> 00:01:29.000]  一個蒙科教會必須有的就是
[00:01:29.000 --> 00:01:31.300]  尊重神的僕人
