
[00:00:00.000 --> 00:00:05.240]  各位電影姐妹們,平安,開心的有機會再跟大家思想上帝的話
[00:00:05.240 --> 00:00:14.600]  今天我們會看的是彼得前書二章十八至二十五節
[00:00:14.600 --> 00:00:19.520]  彼得前書二章十八至二十五節
[00:00:19.520 --> 00:00:26.120]  讓我們一起打開聖經之後低頭祈禱
[00:00:26.120 --> 00:00:31.920]  上帝我們真的感謝主祢,因為有祢的聖言留在地上
[00:00:31.920 --> 00:00:39.560]  使我們熟悉祢的人有機會來看祢的話,知道祢的心意
[00:00:39.560 --> 00:00:43.240]  上帝我們真的願意跟隨祢的腳蹤行
[00:00:43.240 --> 00:00:47.160]  求祢讓我們今天聽道而行道
[00:00:47.160 --> 00:00:53.120]  多謝祢聽我們的禱告,是奉耶穌基督的名求,阿們
[00:00:53.120 --> 00:01:03.000]  在一個沙灘或一條路上,去到一個十字路口
[00:01:03.000 --> 00:01:10.440]  有兩個人去到十字路口逃避一些追捕
[00:01:10.440 --> 00:01:16.960]  這兩個人決定去到十字路口,左邊那條是一條石路
[00:01:16.960 --> 00:01:20.040]  右邊那條是一條沙路
[00:01:20.040 --> 00:01:29.560]  為了逃避追兵,兩個人決定一個人走沙路,一個人走石路
[00:01:29.560 --> 00:01:35.360]  於是走沙路和走石路的分開
[00:01:35.360 --> 00:01:37.920]  後面就有人追來了
[00:01:37.920 --> 00:01:45.080]  頂姐妹我想問,最後那條路的人被捕的機會比較大?
[00:01:45.080 --> 00:01:48.560]  為甚麼?沙路為甚麼?
[00:01:48.560 --> 00:01:52.920]  因為有腳印
[00:01:52.920 --> 00:01:59.080]  其實主耶穌在世間所留給我們的,都有祂的腳蹤
[00:01:59.080 --> 00:02:01.720]  祂的腳蹤是我們可以跟隨的
[00:02:01.720 --> 00:02:05.440]  祂的腳蹤在聖經裏是我們可以跟隨的
[00:02:05.440 --> 00:02:09.880]  彼得前書2章18-25節
[00:02:09.880 --> 00:02:14.440]  講到耶穌的腳蹤我們要跟隨
[00:02:14.440 --> 00:02:21.440]  這三點我要用三個點跟大家去思考
[00:02:21.440 --> 00:02:29.120]  第一個點是全敬畏神的心,順服在上者
[00:02:29.120 --> 00:02:34.240]  全敬畏神的心,順服在上者
[00:02:34.240 --> 00:02:39.080]  第二點,土主喜悅,甘受不恭
[00:02:39.080 --> 00:02:43.960]  土主喜悅,甘受不恭
[00:02:43.960 --> 00:02:49.560]  第三點,獻上生命,完成神的心意
[00:02:49.560 --> 00:02:53.360]  獻上生命,完成神的心意
[00:02:53.360 --> 00:02:58.960]  讓我們一起讀讀18-25節這段經文
[00:02:58.960 --> 00:03:00.960]  準備起
[00:03:14.960 --> 00:03:16.960]  並沒有犯罪
[00:03:16.960 --> 00:03:23.960]  他被罵不頑厚,受害不說威嚇的話
[00:03:23.960 --> 00:03:25.960]  只將自己
[00:03:25.960 --> 00:03:33.960]  他被掛在木頭上,親身擔當了我們的罪
[00:03:33.960 --> 00:03:38.960]  使我們既然在罪上死,就得以在義上活
[00:03:38.960 --> 00:03:42.960]  因他受的鞭傷,你們便得醫治
[00:03:42.960 --> 00:03:45.960]  你們從前好像迷路的羊
[00:03:45.960 --> 00:03:49.960]  如今卻歸到你們牧人的監督了
[00:03:49.960 --> 00:03:51.960]  弟兄姊妹
[00:03:51.960 --> 00:03:58.960]  如果要真正了解為何在彼得前書寫這些內容
[00:03:58.960 --> 00:04:01.960]  或者經文的原意
[00:04:01.960 --> 00:04:03.960]  有一個很重要的原則
[00:04:03.960 --> 00:04:05.960]  其實不單止是彼得前書
[00:04:05.960 --> 00:04:12.960]  了解所有聖經,有一個共通的原則是我們不能忘記的
[00:04:12.960 --> 00:04:16.960]  就是當時修信人所面對的情況
[00:04:16.960 --> 00:04:20.960]  這是我們要很緊記的
[00:04:20.960 --> 00:04:28.960]  在基督的信仰,當時彼得群體的讀者
[00:04:28.960 --> 00:04:33.960]  其實基督教是新生的群體
[00:04:33.960 --> 00:04:35.960]  都是幾十年的事
[00:04:35.960 --> 00:04:40.960]  大概三十多年,一個新生的群體
[00:04:40.960 --> 00:04:45.960]  當時基督徒對自己的身份還未清晰
[00:04:45.960 --> 00:04:57.960]  當時他們面對著來自猶太人和社會和羅馬政府的越來越大的壓迫
[00:04:57.960 --> 00:05:00.960]  其實我們在前幾章已經說了
[00:05:00.960 --> 00:05:05.960]  所以他們更加迷茫
[00:05:05.960 --> 00:05:10.960]  因此彼得有需要告訴這些弟兄姊妹
[00:05:10.960 --> 00:05:14.960]  你們在神的眼中是甚麼
[00:05:14.960 --> 00:05:19.960]  你們要認識你們的身份之餘
[00:05:19.960 --> 00:05:21.960]  彼得要說的是
[00:05:21.960 --> 00:05:26.960]  你們應該如何在不同的生活上自處
[00:05:26.960 --> 00:05:30.960]  不同的層面上自處
[00:05:30.960 --> 00:05:35.960]  好讓你們能夠經歷或得勝這一切的挑戰
[00:05:35.960 --> 00:05:38.960]  這是當時的背景
[00:05:38.960 --> 00:05:40.960]  其實是給大家溫故知新
[00:05:40.960 --> 00:05:43.960]  在上文我們曾經說到
[00:05:43.960 --> 00:05:47.960]  彼得告訴這些弟兄姊妹
[00:05:47.960 --> 00:05:48.960]  這些群體
[00:05:48.960 --> 00:05:52.960]  他們是建立成為靈宮的石頭
[00:05:52.960 --> 00:05:53.960]  如果大家記得
[00:05:53.960 --> 00:05:57.960]  又告訴他們他們是君尊的祭司
[00:05:57.960 --> 00:05:59.960]  是聖潔的國度
[00:05:59.960 --> 00:06:01.960]  是屬神的子民
[00:06:01.960 --> 00:06:04.960]  這一切的身份之後
[00:06:04.960 --> 00:06:08.960]  彼得就要轉入跟他們說
[00:06:08.960 --> 00:06:11.960]  在不同生活上自處的問題
[00:06:11.960 --> 00:06:14.960]  彼得在上個禮拜
[00:06:14.960 --> 00:06:18.960]  如果有機會聽上個禮拜的彼得前書
[00:06:18.960 --> 00:06:22.960]  如果我們說上個禮拜的十一至十七節
[00:06:22.960 --> 00:06:28.960]  是彼得教導門徒如何在公民社會自處
[00:06:28.960 --> 00:06:30.960]  如何在政治上
[00:06:30.960 --> 00:06:35.960]  究竟基督徒和政治或者等等的關係是什麼時候
[00:06:35.960 --> 00:06:39.960]  現在十八至二十五節
[00:06:39.960 --> 00:06:41.960]  這一段經文所說的就是
[00:06:41.960 --> 00:06:45.960]  彼得是要告訴那些做奴僕
[00:06:45.960 --> 00:06:49.960]  做僕人的信徒聽
[00:06:49.960 --> 00:06:52.960]  如何在主人的家裡
[00:06:52.960 --> 00:06:54.960]  是為主人
[00:06:54.960 --> 00:06:58.960]  是為上帝做美好的見證
[00:06:58.960 --> 00:07:00.960]  彼得想他們知道
[00:07:00.960 --> 00:07:02.960]  藉著忠心的服事
[00:07:02.960 --> 00:07:05.960]  藉著合神心意
[00:07:05.960 --> 00:07:08.960]  那個高潔的品格
[00:07:08.960 --> 00:07:11.960]  去見證基督
[00:07:11.960 --> 00:07:16.960]  這樣基督徒就可以免被毀謗
[00:07:16.960 --> 00:07:18.960]  免被指責
[00:07:18.960 --> 00:07:20.960]  不單止這樣
[00:07:20.960 --> 00:07:24.960]  他們甚至能夠更有基督的香氣
[00:07:24.960 --> 00:07:28.960]  令人歸順基督
[00:07:28.960 --> 00:07:34.960]  這是彼得在這段經文想要達到的
[00:07:34.960 --> 00:07:36.960]  我們要緊緊掌握
[00:07:36.960 --> 00:07:41.960]  我們再來看看我們今天的三個
[00:07:41.960 --> 00:07:43.960]  跟隨基督的腳蹤行
[00:07:43.960 --> 00:07:47.960]  究竟基督留下什麼榜樣給我們去跟隨
[00:07:47.960 --> 00:07:49.960]  聖經有什麼教導呢
[00:07:49.960 --> 00:07:52.960]  第一傳敬畏神的心
[00:07:52.960 --> 00:07:54.960]  順服在上者
[00:07:54.960 --> 00:07:57.960]  傳敬畏神的心
[00:07:57.960 --> 00:07:59.960]  順服在上者
[00:07:59.960 --> 00:08:02.960]  我們只看十八節
[00:08:02.960 --> 00:08:06.960]  十八節說你們做僕人的
[00:08:06.960 --> 00:08:08.960]  凡事要傳敬畏的心
[00:08:08.960 --> 00:08:10.960]  順服主人
[00:08:10.960 --> 00:08:12.960]  這裡說做僕人的
[00:08:12.960 --> 00:08:14.960]  其實是說奴隸
[00:08:14.960 --> 00:08:17.960]  但是這個僕人這個字
[00:08:17.960 --> 00:08:19.960]  不單止是奴隸
[00:08:19.960 --> 00:08:23.960]  其實是比奴隸更收窄一點範圍
[00:08:23.960 --> 00:08:25.960]  是一些家僕
[00:08:25.960 --> 00:08:27.960]  特別是家庭裏面的僕人
[00:08:27.960 --> 00:08:31.960]  這個字其實在士徒行傳第十章第七節
[00:08:31.960 --> 00:08:34.960]  十章第七節
[00:08:34.960 --> 00:08:36.960]  當時有個官
[00:08:36.960 --> 00:08:37.960]  如果你記得了
[00:08:37.960 --> 00:08:39.960]  就差他的家僕
[00:08:39.960 --> 00:08:43.960]  和一些士兵去找彼得
[00:08:43.960 --> 00:08:45.960]  因為當時彼得在混淆
[00:08:45.960 --> 00:08:47.960]  記不記得在做什麼
[00:08:47.960 --> 00:08:49.960]  障礙
[00:08:49.960 --> 00:08:51.960]  當時彼得見異象
[00:08:51.960 --> 00:08:55.960]  而有人猜他的家僕
[00:08:55.960 --> 00:08:57.960]  來找彼得
[00:08:57.960 --> 00:09:00.960]  家僕這個字其實就是這個字
[00:09:00.960 --> 00:09:04.960]  當時這個字是一個家人
[00:09:04.960 --> 00:09:06.960]  家庭裏面的僕人
[00:09:06.960 --> 00:09:09.960]  彼得就和這班人來講話
[00:09:09.960 --> 00:09:12.960]  他說要順服主人
[00:09:12.960 --> 00:09:14.960]  聽到經文
[00:09:14.960 --> 00:09:16.960]  他說那些溫良
[00:09:16.960 --> 00:09:17.960]  溫溫柔柔
[00:09:17.960 --> 00:09:20.960]  良良善善的當然容易順服
[00:09:20.960 --> 00:09:22.960]  我們都很容易順服
[00:09:22.960 --> 00:09:23.960]  溫溫柔柔
[00:09:23.960 --> 00:09:25.960]  良良善善的主人
[00:09:25.960 --> 00:09:26.960]  但是他這個字
[00:09:26.960 --> 00:09:28.960]  彼得後面用了一個
[00:09:28.960 --> 00:09:31.960]  乖僻的都要順服
[00:09:31.960 --> 00:09:33.960]  什麼叫乖僻呢
[00:09:33.960 --> 00:09:35.960]  乖僻就是彎彎曲曲
