
[00:00:00.000 --> 00:00:01.880]  朋友們早安
[00:00:01.880 --> 00:00:04.920]  這個禮拜就像我往常一樣
[00:00:04.920 --> 00:00:07.800]  我要講出埃及記的信息
[00:00:07.800 --> 00:00:10.000]  那麼讓我先給一點背景
[00:00:10.000 --> 00:00:11.160]  給你們一點背景
[00:00:11.160 --> 00:00:13.440]  所以你們知道我講的是什麼
[00:00:13.440 --> 00:00:17.680]  才不會捧茶茶 鼓沙沙
[00:00:17.680 --> 00:00:20.480]  話說在創世紀的末了
[00:00:20.480 --> 00:00:23.200]  以色列全家70個人
[00:00:23.200 --> 00:00:27.920]  來投奔在埃及貴為宰相的約瑟
[00:00:27.920 --> 00:00:30.280]  過了數百年
[00:00:30.280 --> 00:00:33.280]  以色列人越漲越茁壯
[00:00:33.280 --> 00:00:36.680]  成為數百萬之眾
[00:00:36.680 --> 00:00:40.560]  法老王也經過了十幾個
[00:00:40.560 --> 00:00:44.520]  有不認識約瑟的法老王起來
[00:00:44.520 --> 00:00:48.120]  有不認識神的以色列的下一代
[00:00:48.120 --> 00:00:49.880]  也都起來了
[00:00:49.880 --> 00:00:54.240]  所以法老王就苦待以色列民
[00:00:54.240 --> 00:00:59.160]  而後會有出埃及記這個事情
[00:00:59.160 --> 00:01:01.080]  我第一次講說
[00:01:01.080 --> 00:01:04.520]  以色列人在埃及受到苦待
[00:01:04.520 --> 00:01:06.720]  所以他們是被壓迫的人
[00:01:06.720 --> 00:01:08.520]  是受苦的人
[00:01:08.520 --> 00:01:11.400]  但是有兩個人是例外
[00:01:11.400 --> 00:01:14.680]  這兩個是敬畏神的收生婆
[00:01:14.680 --> 00:01:17.160]  就是產婆 產婦
[00:01:17.160 --> 00:01:19.360]  就是婦產科醫生
[00:01:19.360 --> 00:01:21.160]  那麼這兩個人呢
[00:01:21.160 --> 00:01:24.440]  一個叫斯芙拉 一個叫普阿
[00:01:24.440 --> 00:01:27.680]  他們兩個違背法老王的命令
[00:01:27.680 --> 00:01:31.960]  說要殺害以色列新生的男嬰
[00:01:31.960 --> 00:01:34.160]  他們反倒蒙福
[00:01:34.160 --> 00:01:35.520]  Hallelujah
[00:01:35.520 --> 00:01:39.800]  這個是一個很明顯的相反的例子
[00:01:39.800 --> 00:01:41.240]  大家都在受苦
[00:01:41.240 --> 00:01:43.840]  這兩個人反倒蒙福
[00:01:43.840 --> 00:01:45.800]  第二次我講說
[00:01:45.800 --> 00:01:48.960]  這個以色列民他們受苦
