
[00:00:00.000 --> 00:00:03.000]  那個星期 大家也知道
[00:00:03.000 --> 00:00:06.720]  伊朗打下了烏克蘭的飛機
[00:00:06.720 --> 00:00:10.180]  特別是很多伊朗大學裏面的畢業生
[00:00:10.180 --> 00:00:12.180]  飛到烏克蘭的時候
[00:00:12.180 --> 00:00:16.980]  有百多人遇到這個空難
[00:00:16.980 --> 00:00:20.620]  其實 整個旅程裏面
[00:00:20.620 --> 00:00:22.620]  雖然玩得很開心
[00:00:22.620 --> 00:00:24.620]  但我思想到一件事
[00:00:24.620 --> 00:00:27.080]  死亡是在我們的身邊
[00:00:27.080 --> 00:00:29.080]  無論我們自己面對死亡
[00:00:29.080 --> 00:00:33.560]  或者身邊的人要面對死亡
[00:00:33.560 --> 00:00:37.060]  今天耶穌帶我們再一次去看
[00:00:37.060 --> 00:00:39.060]  這個《約翰福音》裏面
[00:00:39.060 --> 00:00:41.060]  祂在《約翰福音》裏面記載的
[00:00:41.060 --> 00:00:43.060]  最後一個神蹟
[00:00:43.060 --> 00:00:47.460]  就是洗拉撒路復活的神蹟
[00:00:47.460 --> 00:00:49.460]  耶穌就說了這句話
[00:00:49.460 --> 00:00:51.460]  大家記得 我也曾經和大家說過
[00:00:51.460 --> 00:00:55.040]  《約翰福音》是專門設計到
[00:00:55.040 --> 00:00:58.140]  當耶穌做完一個神蹟的前後
[00:00:58.140 --> 00:01:00.140]  祂有一些宣稱
[00:01:00.140 --> 00:01:04.320]  在這個神蹟當中祂有一個宣稱
[00:01:04.320 --> 00:01:06.320]  之前祂有一個宣稱
[00:01:06.320 --> 00:01:08.320]  之後大家也知道
[00:01:08.320 --> 00:01:10.320]  耶穌去到耶路撒冷的時候
[00:01:10.320 --> 00:01:12.320]  就和門徒們吃節日晚餐
[00:01:12.320 --> 00:01:14.320]  耶穌就說了
[00:01:14.320 --> 00:01:16.320]  我是道路真理生命
[00:01:16.320 --> 00:01:18.320]  我也說了我是葡萄樹
[00:01:18.320 --> 00:01:20.320]  你們的支持
[00:01:20.320 --> 00:01:22.320]  在最後一個神蹟和一段對話裏面
[00:01:22.320 --> 00:01:24.320]  耶穌就帶我們去看
[00:01:24.320 --> 00:01:26.320]  一句很重要的說話
[00:01:26.320 --> 00:01:28.320]  復活在我
[00:01:28.320 --> 00:01:30.320]  生命也在我
[00:01:30.320 --> 00:01:32.320]  英文是I am the resurrection and the life
[00:01:32.320 --> 00:01:36.320]  我就是復活
[00:01:36.320 --> 00:01:38.320]  我也是生命
[00:01:38.320 --> 00:01:40.320]  這句話帶給我們甚麼意思
[00:01:40.320 --> 00:01:42.320]  首先看看背景
[00:01:42.320 --> 00:01:44.320]  馬大馬尼亞大家也很熟悉
[00:01:44.320 --> 00:01:48.320]  耶穌很熟悉的一個家庭
[00:01:48.320 --> 00:01:52.320]  他的弟弟拉撒路病了
[00:01:52.320 --> 00:01:58.320]  耶穌就派人去找耶穌
[00:01:58.320 --> 00:02:00.320]  大家記住
[00:02:00.320 --> 00:02:02.320]  耶穌距離
[00:02:02.320 --> 00:02:04.320]  他們住的地方
[00:02:04.320 --> 00:02:06.320]  只有六里路
[00:02:06.320 --> 00:02:10.320]  六里當時的道量行
[00:02:10.320 --> 00:02:12.320]  六里就差不多500米
[00:02:12.320 --> 00:02:16.320]  就是三英里的路
[00:02:16.320 --> 00:02:24.320]  其實六里是500米
[00:02:24.320 --> 00:02:28.320]  就是三公里的路
[00:02:28.320 --> 00:02:34.320]  差不多不足兩英里的路
[00:02:34.320 --> 00:02:36.320]  如果你走路
[00:02:36.320 --> 00:02:40.320]  很輕鬆地走
[00:02:40.320 --> 00:02:44.320]  應該一個小時多一點就走得了
[00:02:44.320 --> 00:02:46.320]  因為我每個星期有一次
[00:02:46.320 --> 00:02:48.320]  如果不下雨的話
[00:02:48.320 --> 00:02:50.320]  我會在Millpeters的站走回教會
[00:02:50.320 --> 00:02:52.320]  我走30分鐘
[00:02:52.320 --> 00:02:54.320]  那裡差不多1.4里
[00:02:54.320 --> 00:02:56.320]  我走得很快
[00:02:56.320 --> 00:02:58.320]  但是如果你
[00:02:58.320 --> 00:03:00.320]  接近兩里路
[00:03:00.320 --> 00:03:02.320]  你走一個小時多一點就走得了
[00:03:02.320 --> 00:03:04.320]  大家要知道
[00:03:04.320 --> 00:03:06.320]  耶穌距離
[00:03:06.320 --> 00:03:09.320]  去馬大馬尼亞的家
[00:03:09.320 --> 00:03:11.320]  不是那麼遠
[00:03:11.320 --> 00:03:15.320]  可以在兩個小時之內走得到
[00:03:15.320 --> 00:03:18.320]  但是耶穌就故意不去
