
[00:00:00.000 --> 00:00:01.800]  各位中學朋友大家早上平安
[00:00:01.800 --> 00:00:05.640]  心中有點小激動
[00:00:05.640 --> 00:00:08.700]  因為自從6月11號
[00:00:08.700 --> 00:00:09.480]  這個
[00:00:09.480 --> 00:00:11.000]  聖靈日我們在這邊
[00:00:11.000 --> 00:00:12.800]  打拱門
[00:00:12.800 --> 00:00:13.560]  代禱
[00:00:13.560 --> 00:00:16.380]  彼此禱告之後我就去蒙古短宣
[00:00:16.380 --> 00:00:21.240]  然後一路只有中間四天回來洗個衣服
[00:00:21.240 --> 00:00:22.520]  又去西非
[00:00:22.520 --> 00:00:23.800]  多歌短宣
[00:00:23.800 --> 00:00:25.600]  這禮拜終於回來了
[00:00:25.600 --> 00:00:26.620]  差不多一個
[00:00:26.620 --> 00:00:29.180]  一個半月的時間終於回來所以
[00:00:29.700 --> 00:00:32.000]  看到你們非常開心喔希望你們看到我
[00:00:32.000 --> 00:00:33.800]  也是算開心啦
[00:00:33.800 --> 00:00:40.200]  這段時間
[00:00:40.200 --> 00:00:44.300]  歐美非亞四周
[00:00:44.300 --> 00:00:45.840]  來回亂跑一通
[00:00:45.840 --> 00:00:47.880]  其實蠻
[00:00:47.880 --> 00:00:49.680]  蠻嗆的
[00:00:49.680 --> 00:00:50.440]  但是
[00:00:50.440 --> 00:00:52.740]  真的是看到了神的國在
[00:00:52.740 --> 00:00:54.520]  各地在擴展
[00:00:54.520 --> 00:00:57.340]  神的工作真的是非常的榮耀
[00:00:57.600 --> 00:00:59.900]  那我在聚會開始我先跟你們分享
[00:00:59.900 --> 00:01:04.500]  我在多歌短宣的一些花絮好不好先給大家看一下我們來看一下
[00:01:04.500 --> 00:01:07.080]  那我們這次是有來自27
[00:01:07.080 --> 00:01:09.380]  至少六個不同國家
[00:01:09.380 --> 00:01:10.160]  至少
[00:01:10.160 --> 00:01:14.240]  海外有27個人次包括多歌的團隊有
[00:01:14.240 --> 00:01:16.300]  可能有四五十人的一個
[00:01:16.300 --> 00:01:19.100]  一個大的一個短宣隊然後有至少
[00:01:19.100 --> 00:01:22.420]  達成了八項不同的宣教的使命
[00:01:22.420 --> 00:01:23.460]  這是我們在
[00:01:23.460 --> 00:01:26.020]  生命和一個村莊的分堂叫Abesia
[00:01:26.540 --> 00:01:29.360]  就是台語叫阿伯很瞎的意思
[00:01:29.360 --> 00:01:31.160]  的一個村莊的一個合照
[00:01:31.160 --> 00:01:32.940]  那我們來看一下我們
[00:01:32.940 --> 00:01:37.800]  第一個我們這個highlight就是我們非洲職運學校的畢業典禮
[00:01:37.800 --> 00:01:39.600]  感謝神現在已經
[00:01:39.600 --> 00:01:41.400]  我們已經到了
[00:01:41.400 --> 00:01:46.760]  每一年有110到130位畢業生
[00:01:46.760 --> 00:01:50.340]  然後呢我們這次使用的場地已經是用當地的
[00:01:50.340 --> 00:01:52.140]  國會大樓
[00:01:52.140 --> 00:01:53.680]  最大的室內場地
[00:01:53.940 --> 00:01:58.560]  那總共有將近3000位親朋好友一起來參加
[00:01:58.560 --> 00:02:01.620]  那這次在畢業典禮之後看到家人
[00:02:01.620 --> 00:02:04.180]  非常開心的在廣場前面
[00:02:04.180 --> 00:02:05.720]  載歌載舞
[00:02:05.720 --> 00:02:07.500]  慶祝的畫面
[00:02:07.500 --> 00:02:11.600]  這非常感人的一幕因為事實上在這將近3000人當中
[00:02:11.600 --> 00:02:12.880]  其中有許多是
