
[00:00:00.000 --> 00:00:01.480]  好,在我領受神話的位置先
[00:00:01.480 --> 00:00:03.360]  我們先低頭,我們來禱告
[00:00:03.360 --> 00:00:05.760]  天父懇求你特別用你的靈
[00:00:05.760 --> 00:00:07.440]  來帶領我們去高沒孩子
[00:00:07.440 --> 00:00:09.280]  讓孩子能夠所講的信息
[00:00:09.280 --> 00:00:11.040]  成為眾弟兄姊妹的幫助
[00:00:11.040 --> 00:00:12.360]  求神你來捐蠱
[00:00:12.360 --> 00:00:14.360]  你來給我們一個受教的心
[00:00:14.360 --> 00:00:16.400]  讓我們不是單聽一堂道
[00:00:16.400 --> 00:00:18.360]  特別讓我們能夠有實踐
[00:00:18.360 --> 00:00:21.680]  特別有幾天可能我們的假期
[00:00:21.680 --> 00:00:23.680]  更加教導我們懂得怎樣去反省
[00:00:23.680 --> 00:00:25.200]  好好的來親近你
[00:00:25.200 --> 00:00:26.760]  主一求你來帶領我們去祝福
[00:00:26.760 --> 00:00:28.000]  帶領以後的時間
[00:00:28.000 --> 00:00:30.360]  祈禱拉奉主德聖的名,阿們
[00:00:58.880 --> 00:01:00.000]  在這個世界裏面
[00:01:00.000 --> 00:01:01.000]  即現在這個年代裏面
[00:01:01.000 --> 00:01:03.000]  有很多很多不同的道理
[00:01:03.000 --> 00:01:04.480]  來影響著我們
[00:01:04.480 --> 00:01:06.480]  最簡單舉一個例子
[00:01:06.480 --> 00:01:08.480]  即上個禮拜一個較為
[00:01:08.480 --> 00:01:12.200]  勁的娛樂新聞就是甚麼呢
[00:01:12.200 --> 00:01:13.920]  一個叫趙適芝
[00:01:13.920 --> 00:01:16.640]  就跟一個人在法國結了婚
[00:01:16.640 --> 00:01:18.640]  行了婚禮
[00:01:18.640 --> 00:01:21.000]  但他媽媽是基督徒,就是瑤慧
[00:01:21.000 --> 00:01:24.720]  同性婚姻就已經很厲害了
[00:01:24.720 --> 00:01:29.760]  有東方的娛樂記者都打電話問我
[00:01:29.760 --> 00:01:31.000]  怎樣看這件事
[00:01:31.000 --> 00:01:32.520]  如果你看那天
[00:01:32.520 --> 00:01:34.520]  他整版的娛樂版
[00:01:34.520 --> 00:01:35.880]  都是講他這個婚禮
[00:01:35.880 --> 00:01:40.480]  在右下角有一段其實是訪問我的體會
[00:01:40.480 --> 00:01:42.480]  他問我你怎樣看呢
[00:01:42.480 --> 00:01:45.160]  我就很清楚,要很小心講這些東西
[00:01:45.160 --> 00:01:46.920]  但我就很清晰地來講
[00:01:46.920 --> 00:01:48.240]  他都登了出來的
[00:01:48.240 --> 00:01:51.240]  他就說到牧師認為
[00:01:51.240 --> 00:01:54.040]  這個在聖經裏面是一個罪
[00:01:54.040 --> 00:01:58.000]  所以我們是不會接受有同性的婚姻的
[00:01:58.000 --> 00:02:00.400]  不過他們是成年人,我會尊重他
[00:02:00.400 --> 00:02:02.720]  但我說其實還有很多問題
[00:02:02.720 --> 00:02:06.160]  將來當他領養了一些小朋友
[00:02:06.160 --> 00:02:08.480]  因為同性婚姻就沒有自己的小朋友
[00:02:08.480 --> 00:02:11.400]  但其實對小朋友的成長都很有問題
[00:02:11.400 --> 00:02:13.480]  將來別人問你你媽媽是誰
[00:02:13.480 --> 00:02:14.760]  是男人來的就死
[00:02:14.760 --> 00:02:17.160]  或者你爸爸是誰,是女人來的
[00:02:17.160 --> 00:02:19.440]  但這段他就沒有講到
[00:02:19.440 --> 00:02:20.440]  但無論怎樣
[00:02:20.440 --> 00:02:21.960]  他都會講得很清楚
[00:02:21.960 --> 00:02:23.400]  我的聖經立場
[00:02:23.400 --> 00:02:25.760]  我不會接受同性婚姻的
[00:02:25.760 --> 00:02:29.000]  但其實一個很大的危機
[00:02:29.000 --> 00:02:31.440]  同性婚姻在未來的日子裏面
[00:02:31.440 --> 00:02:33.160]  在這一屆的立法會裏面
[00:02:33.160 --> 00:02:34.560]  我都會很擔心
[00:02:34.560 --> 00:02:36.360]  九成都會通過了
[00:02:36.360 --> 00:02:37.520]  因為為甚麼呢
[00:02:37.520 --> 00:02:38.360]  如果你記得
[00:02:38.360 --> 00:02:41.880]  特別我們在我們的東區
[00:02:41.880 --> 00:02:43.440]  即新界東這邊
[00:02:43.440 --> 00:02:46.600]  即萬必他當選之後
[00:02:46.600 --> 00:02:49.160]  他說他自己是一個同性戀者
[00:02:49.160 --> 00:02:52.240]  他更加說一定會提一個議案
[00:02:52.240 --> 00:02:54.760]  就是希望同性婚姻是合法的
[00:02:54.760 --> 00:02:56.560]  如果我們再看
[00:02:56.560 --> 00:02:58.320]  林煥光是甚麼呢
[00:02:58.320 --> 00:03:02.400]  是平等機會的主席
[00:03:02.400 --> 00:03:06.680]  但現在都是行政會的召集人
[00:03:06.680 --> 00:03:08.560]  裏面的成員是誰呢
[00:03:08.560 --> 00:03:10.120]  又包括了甚麼
[00:03:10.120 --> 00:03:11.400]  即胡鴻鈺
[00:03:11.400 --> 00:03:12.280]  不是梁鴻鈺
[00:03:12.280 --> 00:03:13.680]  梁鴻鈺是擊鼓退金兵
[00:03:13.680 --> 00:03:14.920]  有時我們搞錯了
[00:03:14.920 --> 00:03:18.200]  即胡鴻鈺他是以前平機會的負責人
[00:03:18.200 --> 00:03:22.480]  還有我們有些人都會選他
[00:03:22.480 --> 00:03:23.600]  張超雄
[00:03:23.600 --> 00:03:26.280]  他都是肯為很多人來發聲
[00:03:26.280 --> 00:03:28.840]  但在他的議題裏面
[00:03:28.840 --> 00:03:31.160]  他都會贊成有同性婚姻的
[00:03:31.160 --> 00:03:33.280]  如果你再看的時候
[00:03:33.280 --> 00:03:34.960]  所以未來這一屆裏面
[00:03:34.960 --> 00:03:38.600]  很可能這個婚姻條例就會通過
[00:03:38.600 --> 00:03:42.080]  但是我們基督徒怎麼看呢
[00:03:42.080 --> 00:03:46.920]  有時有很多不同的原則
[00:03:46.920 --> 00:03:48.920]  或者是一些標準
[00:03:48.920 --> 00:03:51.200]  我們怎樣來堅持呢
[00:03:51.200 --> 00:03:53.160]  但我很相信我們作為基督徒
[00:03:53.160 --> 00:03:56.200]  我們仍然要回到神的話語裏面
[00:03:56.200 --> 00:03:59.040]  我們一起來看《羅馬書》十二章第二節
[00:03:59.040 --> 00:04:00.320]  我們一起來讀出
[00:04:00.320 --> 00:04:02.400]  十二章第二節我們一起來讀
[00:04:02.400 --> 00:04:05.440]  「不要效法這個世界
[00:04:05.440 --> 00:04:08.240]  只要心意根深而變化
[00:04:08.240 --> 00:04:11.760]  叫你們察驗何謂神的善良
[00:04:11.760 --> 00:04:14.400]  順傳可喜悅的旨意」
[00:04:14.400 --> 00:04:16.400]  他說我們不要再效法這個世界
[00:04:16.400 --> 00:04:18.400]  這個世界裏面可能有很多歪理
[00:04:18.400 --> 00:04:20.400]  有很多不是很對的東西
[00:04:20.400 --> 00:04:22.720]  其實都是在蠶食我們
[00:04:22.720 --> 00:04:25.240]  他說「心意根深而變化」
[00:04:25.240 --> 00:04:26.360]  我們要根深
[00:04:26.360 --> 00:04:28.760]  「叫你們察驗何謂神的善良
[00:04:28.760 --> 00:04:30.040]  順傳可喜悅的旨意」
[00:04:30.040 --> 00:04:32.040]  我們要按神的心意而行
[00:04:32.040 --> 00:04:34.160]  他特別是要講察驗
[00:04:34.160 --> 00:04:35.680]  你要去考究
[00:04:35.680 --> 00:04:37.000]  你要去探索
[00:04:37.000 --> 00:04:39.560]  究竟我們怎樣來察驗
[00:04:39.560 --> 00:04:41.120]  我們要考究些什麼呢
[00:04:41.120 --> 00:04:44.080]  我們怎樣才可以來根深呢
[00:04:44.080 --> 00:04:47.160]  所謂的根深是基督教經常講的說話
[00:04:47.160 --> 00:04:50.680]  但根深的行動是什麼一回事呢
[00:04:50.680 --> 00:04:54.440]  我們就嘗試從一次在歷史上
[00:04:54.440 --> 00:04:57.000]  以色列整個民族的大復興
[00:04:57.000 --> 00:05:00.280]  這個根深事件裏面去學習
[00:05:00.280 --> 00:05:04.280]  在聖經裏面出現了一個叫水門事件
[00:05:04.280 --> 00:05:06.280]  就不是美國那個水門事件
[00:05:06.280 --> 00:05:09.480]  大家知道水門事件就令尼克遜下台
[00:05:09.480 --> 00:05:11.680]  但在聖經裏面的水門事件
[00:05:11.680 --> 00:05:16.240]  是讓整個民族自始一段較長時間的得到復興
[00:05:16.240 --> 00:05:18.760]  我們先看根深的基礎是什麼
[00:05:18.760 --> 00:05:20.760]  就是神的說話
[00:05:20.760 --> 00:05:24.240]  大家記得猶大國他們去滅亡了
[00:05:24.240 --> 00:05:25.440]  被巴比雷滅亡
[00:05:25.440 --> 00:05:26.920]  但七十年之後
[00:05:26.920 --> 00:05:30.120]  在尼希米的帶領之下
[00:05:30.120 --> 00:05:33.000]  他們回到自己的故鄉裏面
[00:05:33.000 --> 00:05:35.480]  重建他們的城牆
[00:05:35.480 --> 00:05:37.480]  他們來到歸回了
[00:05:37.480 --> 00:05:39.760]  而帶領他們歸回的時候
[00:05:39.760 --> 00:05:43.720]  除了尼希米在政治上面帶領著他們
[00:05:43.720 --> 00:05:46.040]  還有一個很重要的人物
[00:05:46.040 --> 00:05:49.960]  這個人是對神的話語非常熟悉
[00:05:49.960 --> 00:05:53.480]  不斷的鑽研神的律法
[00:05:53.480 --> 00:05:57.520]  他亦都用神的話語來教導子民
[00:05:57.520 --> 00:06:00.240]  這個人就是以斯拉
[00:06:00.240 --> 00:06:03.840]  在聖經裏面有一本叫以斯拉記
[00:06:03.840 --> 00:06:05.160]  就是以斯拉
[00:06:05.160 --> 00:06:10.600]  他就特別的教導子民遵守神的律法
[00:06:10.600 --> 00:06:13.240]  他一生的生命
[00:06:13.240 --> 00:06:17.160]  就是擺在要尼帝好好的鑽研神的說話
[00:06:17.160 --> 00:06:18.560]  用神的說話
[00:06:18.560 --> 00:06:20.560]  用他的生命來影響人
[00:06:20.560 --> 00:06:24.720]  在那次他們去尼帝有一個大型的聚會
[00:06:24.720 --> 00:06:25.960]  很特別
[00:06:25.960 --> 00:06:27.600]  這個聚會裏面
[00:06:27.600 --> 00:06:29.600]  沒有很好的節目
[00:06:29.600 --> 00:06:32.360]  不會有什麼人上來講見證
[00:06:32.360 --> 00:06:35.360]  不會有什麼特別的音樂節目
[00:06:35.360 --> 00:06:39.720]  但卻是吸引了很多很多的子民
[00:06:39.720 --> 00:06:42.120]  去到水門這個地方裏面
[00:06:42.120 --> 00:06:43.520]  去聚集
[00:06:43.520 --> 00:06:45.120]  參與這一次的聚會
[00:06:45.120 --> 00:06:46.400]  得到復興
[00:06:46.400 --> 00:06:49.840]  而我說最重要帶領他們的就是尼希米
[00:06:49.840 --> 00:06:52.160]  尼希米他的生命
[00:06:52.160 --> 00:06:55.160]  引證了神的明證
[00:06:55.160 --> 00:06:57.440]  如果我熟悉尼希米的時候
[00:06:57.440 --> 00:07:00.640]  他在外地裏面做高官
[00:07:00.640 --> 00:07:02.360]  他有好的地位
[00:07:02.360 --> 00:07:03.640]  有好的收入
[00:07:03.640 --> 00:07:08.520]  但當他知道自己的人民在困苦當中的時候
[00:07:08.520 --> 00:07:10.760]  他竟然裸駕
[00:07:10.760 --> 00:07:13.360]  就是來到自己的故鄉
[00:07:13.360 --> 00:07:17.360]  帶領這班子民來重建他們自己的家園
[00:07:17.360 --> 00:07:19.840]  更加寶貴的就是怎樣呢
[00:07:19.840 --> 00:07:21.840]  他沒有私相授受
[00:07:21.840 --> 00:07:23.840]  他可以城市規劃的
[00:07:23.840 --> 00:07:26.040]  但是他自己很清楚
[00:07:26.040 --> 00:07:28.240]  我沒有買任何的田地
[00:07:28.240 --> 00:07:30.600]  因為如果他自己規劃的時候
[00:07:30.600 --> 00:07:32.600]  他低價買地
[00:07:32.600 --> 00:07:33.920]  接著又怎樣
[00:07:33.920 --> 00:07:35.360]  將來你規劃的時候
[00:07:35.360 --> 00:07:36.760]  他就可以有發達了
[00:07:36.760 --> 00:07:39.120]  正如現在我們新界的東北區
[00:07:39.120 --> 00:07:41.840]  你見到我剛剛在永攝面談講了
[00:07:41.840 --> 00:07:44.480]  很多村長就騙那些村民
[00:07:44.480 --> 00:07:45.440]  他們無知
[00:07:45.440 --> 00:07:46.880]  用低價買地
[00:07:46.880 --> 00:07:49.000]  他們已經擁有不少的土地
[00:07:49.000 --> 00:07:50.440]  甚至一些發展商
[00:07:50.440 --> 00:07:52.000]  收到消息的時候
[00:07:52.000 --> 00:07:54.280]  也都已經買了不少的田地
[00:07:54.280 --> 00:07:56.000]  將來要發展的時候
[00:07:56.000 --> 00:07:58.720]  他就可以有一個很大很大的收入
[00:07:58.720 --> 00:08:00.400]  但如果你留意尼希米
[00:08:00.400 --> 00:08:02.680]  他說我沒有買任何的地圖
[00:08:02.680 --> 00:08:04.960]  還有十年裏面
[00:08:04.960 --> 00:08:07.480]  他沒有拿任何的俸祿
[00:08:07.480 --> 00:08:10.240]  他不會因應自己的權勢
[00:08:10.240 --> 00:08:12.240]  來帶去以權謀私
[00:08:12.240 --> 00:08:14.480]  他甚至來帶去貼錢
[00:08:14.480 --> 00:08:15.640]  來帶去服侍
[00:08:15.640 --> 00:08:17.640]  所以尼希米整個生命
[00:08:17.640 --> 00:08:19.640]  就是坦蕩蕩的
[00:08:19.640 --> 00:08:21.640]  激勵著這一班的人
[00:08:21.640 --> 00:08:24.760]  所以很深體會到一個大的復興
[00:08:24.760 --> 00:08:28.520]  有時候那個領袖是非常的重要
[00:08:28.520 --> 00:08:31.360]  眾民在眾目睽睽底下
[00:08:31.360 --> 00:08:34.920]  看到尼希米他遵守神的律法立場
[00:08:34.920 --> 00:08:37.360]  於是這班子民很敬佩他
