
[00:00:00.000 --> 00:00:07.820]  我留意到很多基督徒對歷代誌沒有興趣讀
[00:00:07.820 --> 00:00:09.340]  我都很了解
[00:00:09.340 --> 00:00:13.280]  因為歷代誌上第一章開始就講加譜
[00:00:13.280 --> 00:00:14.460]  是誰生誰
[00:00:14.460 --> 00:00:15.980]  講到第九章
[00:00:15.980 --> 00:00:21.380]  到第二第三章就已經睡著了
[00:00:21.380 --> 00:00:25.640]  如果你想像這九章的聖經就好像沙漠一樣
[00:00:25.640 --> 00:00:27.520]  因為讀起來就像沙漠一樣
[00:00:27.520 --> 00:00:30.880]  其中有兩節就是沙漠當中的六周
[00:00:30.880 --> 00:00:32.360]  你知不知道哪兩節?
[00:00:32.360 --> 00:00:36.220]  就是剛才我們所讀的第四章九至十節
[00:00:36.220 --> 00:00:39.680]  是亞比斯這個人和他的禱告
[00:00:39.680 --> 00:00:44.520]  整本聖經講亞比斯就只有那兩節
[00:00:44.520 --> 00:00:45.440]  沒有其他
[00:00:45.440 --> 00:00:46.980]  很特別
[00:00:46.980 --> 00:00:49.340]  我們今天要來看看這個禱告
[00:00:49.340 --> 00:00:52.860]  給我們個人和教會有什麼啟發
[00:00:52.860 --> 00:00:55.280]  特別是我們今天猜全年會
[00:00:55.280 --> 00:00:56.520]  我們有什麼啟發
[00:00:56.520 --> 00:00:59.460]  我們再來看這兩節的聖經
[00:00:59.460 --> 00:01:03.020]  他說亞比斯是比他宗弟兄更加尊貴
[00:01:03.020 --> 00:01:06.200]  他母親給他起了個名叫亞比斯
[00:01:06.200 --> 00:01:09.200]  亞比斯的原因就是痛苦
[00:01:09.200 --> 00:01:10.100]  所以人家說
[00:01:10.100 --> 00:01:11.360]  You are a pain
[00:01:11.360 --> 00:01:13.400]  即是你很麻煩的意思
[00:01:13.400 --> 00:01:15.300]  你又令我痛苦
[00:01:15.300 --> 00:01:19.900]  亞比斯的媽媽為什麼這樣改名給他
[00:01:19.900 --> 00:01:23.220]  因為她生他的時候很痛苦
[00:01:23.220 --> 00:01:25.860]  亞比斯就求告以色列的神說
[00:01:25.860 --> 00:01:27.660]  甚願祢賜福給我
[00:01:27.660 --> 00:01:29.060]  擴張我的境界
[00:01:29.060 --> 00:01:30.320]  尚與我同在
[00:01:30.320 --> 00:01:31.940]  保守我不遭患難
[00:01:31.940 --> 00:01:33.160]  不受艱苦
[00:01:33.160 --> 00:01:36.160]  神就應運祂所求
[00:01:36.160 --> 00:01:39.360]  亞比斯這個名叫痛苦
[00:01:39.360 --> 00:01:44.640]  我相信他也不會很喜歡媽媽改名給他
[00:01:44.640 --> 00:01:47.100]  譬如如果媽媽叫你痛苦
[00:01:47.100 --> 00:01:48.180]  痛苦仔
[00:01:48.180 --> 00:01:49.280]  天天都這樣叫你
[00:01:49.280 --> 00:01:50.680]  痛苦仔來吃飯
[00:01:50.680 --> 00:01:52.200]  痛苦仔睡覺
[00:01:52.200 --> 00:01:54.280]  我相信你也不會很開心
[00:01:54.280 --> 00:01:59.240]  照我看 亞比斯可能生長一個有缺陷
[00:01:59.240 --> 00:02:00.780]  或者dysfunctional
[00:02:00.780 --> 00:02:02.160]  機能不全
[00:02:02.160 --> 00:02:04.960]  中文譯為機能不全的家庭
[00:02:04.960 --> 00:02:07.860]  雖然他的背景是這麼淒涼
[00:02:07.860 --> 00:02:10.220]  但是他沒有被打沉
