
[00:00:00.000 --> 00:00:02.000]  應許與期望
[00:00:02.000 --> 00:00:04.000]  當我一直在預備的時候
[00:00:04.000 --> 00:00:07.000]  我就發覺這個題目其實很複雜
[00:00:07.000 --> 00:00:11.000]  有應許自然有期望
[00:00:11.000 --> 00:00:13.000]  但是有些時候
[00:00:13.000 --> 00:00:15.000]  你有應許卻沒有期望
[00:00:15.000 --> 00:00:19.000]  就好像過去的區議會選舉那樣
[00:00:19.000 --> 00:00:22.000]  有很多應許
[00:00:22.000 --> 00:00:24.000]  但是它的投票率告訴我們
[00:00:24.000 --> 00:00:26.000]  可能期望是十分之低的
[00:00:26.000 --> 00:00:30.000]  當然先知聲明其他人有不同的詮釋
[00:00:30.000 --> 00:00:32.000]  但是有些時候
[00:00:32.000 --> 00:00:34.000]  即使沒有應許
[00:00:34.000 --> 00:00:36.000]  你也有期望
[00:00:36.000 --> 00:00:38.000]  情況就好像看電影那樣
[00:00:38.000 --> 00:00:40.000]  有些時候
[00:00:40.000 --> 00:00:44.000]  你跟朋友或者家人去看電影
[00:00:44.000 --> 00:00:46.000]  完全對電影沒有什麼期望
[00:00:46.000 --> 00:00:48.000]  誰知道你反而覺得很好看
[00:00:48.000 --> 00:00:50.000]  是不是?
[00:00:50.000 --> 00:00:52.000]  沒有期望反而電影特別好看
[00:00:52.000 --> 00:00:54.000]  但是反過來
[00:00:54.000 --> 00:00:58.000]  如果你對那套電影期望很高的話
[00:00:58.000 --> 00:01:00.000]  譬如那些電影的宣傳很厲害
[00:01:00.000 --> 00:01:02.000]  或者其他人推薦說很好看
[00:01:02.000 --> 00:01:06.000]  但是你進去電影院的時候一看就發覺
[00:01:06.000 --> 00:01:08.000]  都不外如是
[00:01:08.000 --> 00:01:10.000]  於是乎你又覺得不太好看
[00:01:10.000 --> 00:01:14.000]  所以期望令你覺得那套電影不好看
[00:01:14.000 --> 00:01:16.000]  就不是那套電影不好看
[00:01:16.000 --> 00:01:18.000]  不過當然也有很多人不同的詮釋
[00:01:18.000 --> 00:01:20.000]  譬如聖誕節那樣
[00:01:20.000 --> 00:01:24.000]  你有什麼期望呢?
[00:01:24.000 --> 00:01:26.000]  好像我這樣的人
[00:01:26.000 --> 00:01:28.000]  越來越大
[00:01:28.000 --> 00:01:30.000]  對聖誕節的期望就越來越少
[00:01:30.000 --> 00:01:32.000]  聖誕節又是那些派對
[00:01:32.000 --> 00:01:34.000]  又是那些火雞
[00:01:34.000 --> 00:01:36.000]  又是那些經文
[00:01:36.000 --> 00:01:38.000]  又是那些詩歌
[00:01:38.000 --> 00:01:42.000]  小朋友可能期望會高一點
[00:01:42.000 --> 00:01:44.000]  如果再加上家人
[00:01:44.000 --> 00:01:46.000]  或者父母
[00:01:46.000 --> 00:01:50.000]  答應了去買什麼禮物
[00:01:50.000 --> 00:01:52.000]  或者帶他去什麼地方
[00:01:52.000 --> 00:01:56.000]  小朋友的期望可能會更加高
[00:01:56.000 --> 00:01:58.000]  這個聖誕節我們去日本
[00:01:58.000 --> 00:02:00.000]  過一個白色的聖誕
[00:02:00.000 --> 00:02:02.000]  不過呢
[00:02:02.000 --> 00:02:04.000]  如果你最後
[00:02:04.000 --> 00:02:06.000]  你所答應的
[00:02:06.000 --> 00:02:08.000]  實現不了
[00:02:08.000 --> 00:02:10.000]  你就只會帶來失望
[00:02:10.000 --> 00:02:12.000]  是不是?
