
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹,各位朋友來賓,早晨!
[00:00:05.000 --> 00:00:08.000]  給大家看一套片先,去片!
[00:00:30.000 --> 00:00:59.000]  (歌詞)
[00:01:00.000 --> 00:01:20.000]  (歌詞)
[00:01:20.000 --> 00:01:24.000]  早前這套電影,有沒有人看過?
[00:01:24.000 --> 00:01:29.000]  有沒有看過,應該叫你上來跟我講這個故事,不用我講,我沒有看過
[00:01:29.000 --> 00:01:35.000]  我看了臺灣基督教頻道GoodTV的一個小時的見證
[00:01:35.000 --> 00:01:46.000]  這個只是演員,這個就是飾演剛纔那位真人,叫做裴在徹弟兄的故事
[00:01:46.000 --> 00:01:51.000]  這個其實是一個很撒馬里亞人,他的經理人,入籍的經理人
[00:01:51.000 --> 00:01:55.000]  都要查他的名字怎麼讀的,叫做輪島東太郎
[00:01:55.000 --> 00:02:02.000]  這個裴在徹,被時代雜誌形容爲百年一遇的好聲音
[00:02:02.000 --> 00:02:09.000]  因爲他的音域是很高,很靚,很宏偉,很強大,很響亮
[00:02:09.000 --> 00:02:14.000]  他事業雖然是貧窮,但是他有一個堅定的信心,他從小就是基督徒
[00:02:14.000 --> 00:02:19.000]  他去到德國參加很多個比賽,成名
[00:02:19.000 --> 00:02:27.000]  跟着他的名氣,他的演出機會蜂擁而來,有好的劇團,好的劇院等等
[00:02:27.000 --> 00:02:30.000]  來跟他籤很多合約
[00:02:30.000 --> 00:02:37.000]  當他如日中天的事業開始的時間,晴天霹靂,他患了淋巴癌
[00:02:37.000 --> 00:02:43.000]  以爲只是感冒去看醫生,但是患了淋巴癌
[00:02:43.000 --> 00:02:48.000]  汗風洗禮,見異思遷,衆人一個一個來去而去
[00:02:48.000 --> 00:02:55.000]  唯獨這個仍未信主的經理人不離不棄
[00:02:55.000 --> 00:02:59.000]  結果找了個名醫給他做手術
[00:02:59.000 --> 00:03:05.000]  這個他已經在康復中,但是對一個音樂家,一個聲樂家,一個男高音
[00:03:05.000 --> 00:03:12.000]  不能夠發聲歌頌,去唱歌曲的時間是多麼痛苦
[00:03:12.000 --> 00:03:17.000]  但是這個裴在哲仍然有信心去仰望神
[00:03:17.000 --> 00:03:21.000]  結果有個日本的名醫幫他做了個手術
[00:03:21.000 --> 00:03:25.000]  很有趣,你看那個訪問就知道,他是局部麻醉的
[00:03:25.000 --> 00:03:30.000]  因爲他要給他調聲帶,每當調拉一點點的時間
[00:03:30.000 --> 00:03:36.000]  接着這個醫生就要裴在哲去唱歌,在手術裏面唱歌
[00:03:36.000 --> 00:03:38.000]  要調回他的音道
[00:03:38.000 --> 00:03:41.000]  手術成功,他接着唱歌
[00:03:41.000 --> 00:03:49.000]  但是聽到他的人,或者經理人形容,他只剩下之前30%的實力
