
[00:00:00.000 --> 00:00:04.060]  哈利路亞 哈利路亞 主復活了
[00:00:04.060 --> 00:00:09.880]  各位聽眾我們再一次同心祈禱
[00:00:09.880 --> 00:00:13.100]  復活的主我們要向祢獻上禱告
[00:00:13.100 --> 00:00:16.040]  祢的復活成為我們生命的力量
[00:00:16.040 --> 00:00:17.820]  祢的復活再一次提醒我們
[00:00:17.820 --> 00:00:20.400]  生命可以依靠祢得再改變
[00:00:20.400 --> 00:00:24.080]  願祢賜福我們今天在這裡獻上的一切
[00:00:24.080 --> 00:00:25.240]  有願佛人口中的言語
[00:00:25.240 --> 00:00:27.200]  與各位聽眾之間的心思意念
[00:00:27.200 --> 00:00:29.320]  蒙聖靈的啟迪蒙主的願立
[00:00:29.320 --> 00:00:33.460]  禱告奉耶穌基督的名
[00:00:33.460 --> 00:00:36.720]  各位聽眾今天是復活節
[00:00:36.720 --> 00:00:40.320]  對你來說今天有沒有什麼特別的事你做了
[00:00:40.320 --> 00:00:41.300]  或者應該這麼說
[00:00:41.300 --> 00:00:44.880]  你預備了什麼去迎接今天的復活節呢
[00:00:44.880 --> 00:00:47.400]  可能你說復活節是返教會
[00:00:47.400 --> 00:00:51.040]  或者當中的聽眾預備了下午幫忙加年華會
[00:00:51.040 --> 00:00:53.260]  很多忙碌等等
[00:00:53.260 --> 00:00:56.440]  復活節對基督徒來說是很重要的日子
[00:00:56.440 --> 00:00:59.080]  因為我們紀念耶穌基督的復活
[00:00:59.080 --> 00:01:01.360]  話說在大約一個多星期前
[00:01:01.360 --> 00:01:03.080]  有一個同學跟我聊天
[00:01:03.080 --> 00:01:04.200]  他問我
[00:01:04.200 --> 00:01:05.740]  牧師 牧師
[00:01:05.740 --> 00:01:08.260]  為什麼今年復活節在星期天
[00:01:08.260 --> 00:01:09.860]  星期一才補假
[00:01:09.860 --> 00:01:11.280]  如果復活節一會兒放假不就好了
[00:01:11.280 --> 00:01:14.420]  那就多放一點假
[00:01:14.420 --> 00:01:16.480]  你知不知道當時我的反應是怎樣
[00:01:16.480 --> 00:01:18.720]  我看著他
[00:01:18.720 --> 00:01:20.640]  我第一個反應就是我不懂回答他
[00:01:20.640 --> 00:01:22.080]  因為第一個想法就是
[00:01:22.080 --> 00:01:23.400]  就算星期日放假
[00:01:23.400 --> 00:01:24.240]  日後補假也好
[00:01:24.240 --> 00:01:26.120]  也能放假 是不是
[00:01:26.120 --> 00:01:27.200]  但是再想深一層
[00:01:27.200 --> 00:01:29.200]  這個問題好像有問題
[00:01:29.200 --> 00:01:31.120]  這個問題是什麼問題
[00:01:31.120 --> 00:01:31.840]  各位聽眾
[00:01:31.840 --> 00:01:33.960]  其實每一年復活節都是星期日
[00:01:33.960 --> 00:01:36.360]  你有沒有試過有一年復活節不是星期日
[00:01:36.360 --> 00:01:37.360]  沒有吧
[00:01:37.360 --> 00:01:38.840]  如果有人考你這個IQ題
[00:01:38.840 --> 00:01:41.040]  明年的復活節是星期幾
[00:01:41.040 --> 00:01:41.960]  你不用任何反應
