
[00:00:00.000 --> 00:00:03.000]  人無遠慮 必有近憂
[00:00:03.000 --> 00:00:05.000]  今年年初的時候
[00:00:05.000 --> 00:00:07.000]  中文大學的李成教授
[00:00:07.000 --> 00:00:10.000]  就率領Hong Kong Mood Disorder Centre
[00:00:10.000 --> 00:00:13.000]  做了一個比較詳盡的研究
[00:00:13.000 --> 00:00:17.000]  就發現香港有4.1%的香港人
[00:00:17.000 --> 00:00:19.000]  是患有焦慮症
[00:00:19.000 --> 00:00:22.000]  這個焦慮症就是Genderized Anxiety Disorder
[00:00:22.000 --> 00:00:24.000]  俗稱所謂GAD
[00:00:24.000 --> 00:00:27.000]  其中60.2%是女性
[00:00:27.000 --> 00:00:30.000]  39.8%是男性
[00:00:30.000 --> 00:00:32.000]  但是這些弟兄不是很開心
[00:00:32.000 --> 00:00:35.000]  不等於男人比女人少憂慮
[00:00:35.000 --> 00:00:37.000]  而只不過是男人沒有膽
[00:00:37.000 --> 00:00:40.000]  去求醫 吃藥
[00:00:40.000 --> 00:00:42.000]  所以我相信
[00:00:42.000 --> 00:00:46.000]  不是值得我們男士們這麼開心
[00:00:46.000 --> 00:00:50.000]  他所說是指那些患有焦慮症
[00:00:50.000 --> 00:00:54.000]  要去看醫生 要去吃藥
[00:00:54.000 --> 00:00:57.000]  而真的這樣去做的人
[00:00:57.000 --> 00:01:01.000]  遠遠不止4%
[00:01:01.000 --> 00:01:05.000]  不等於96%的香港人沒有憂慮
[00:01:05.000 --> 00:01:06.000]  中國人說這句話說得好
[00:01:06.000 --> 00:01:09.000]  所謂人無遠慮 必有近憂
[00:01:09.000 --> 00:01:12.000]  說在我們中間有很多憂慮
[00:01:12.000 --> 00:01:16.000]  是因著我們某些原因
[00:01:16.000 --> 00:01:18.000]  我們就累過去
[00:01:18.000 --> 00:01:22.000]  但不等於我們的生命裡面沒有憂慮
[00:01:22.000 --> 00:01:25.000]  人生在世一定有風風雨雨
[00:01:25.000 --> 00:01:26.000]  有很多壓力在裡面
[00:01:26.000 --> 00:01:29.000]  也有很多時候有生離死別
[00:01:29.000 --> 00:01:31.000]  蘇東坡說人有悲歡離合
[00:01:31.000 --> 00:01:33.000]  越有陰晴圓缺
[00:01:33.000 --> 00:01:35.000]  此事古難全
[00:01:35.000 --> 00:01:38.000]  當人面對一些變幻
[00:01:38.000 --> 00:01:40.000]  當人面對一些不知道的
[00:01:40.000 --> 00:01:41.000]  不能夠確信
[00:01:41.000 --> 00:01:45.000]  也不能夠有安全感的將來的時候
[00:01:45.000 --> 00:01:48.000]  往往帶來很多焦慮的情緒
[00:01:48.000 --> 00:01:54.000]  我記得十年前我太太患有癌病
[00:01:54.000 --> 00:01:57.000]  她要做一個骨髓治療
[00:01:57.000 --> 00:02:02.000]  然後要去照電腦掃描
[00:02:02.000 --> 00:02:06.000]  香港政府的醫院
