
[00:00:00.000 --> 00:00:02.880]  我們怎麼做一個真正的
[00:00:02.880 --> 00:00:05.820]  跟隨主耶穌的
[00:00:05.820 --> 00:00:08.780]  僕人呢 我們今天就講講
[00:00:08.780 --> 00:00:12.220]  我們如果要成為一個
[00:00:12.220 --> 00:00:15.620]  忠心跟隨主耶穌的
[00:00:15.620 --> 00:00:18.780]  人 應該有什麼
[00:00:18.780 --> 00:00:22.620]  怎麼樣的特徵 我們今天就講到這個
[00:00:22.620 --> 00:00:25.880]  我們先念一段經文
[00:00:25.880 --> 00:00:30.440]  約翰福音第十二章第二十六節
[00:00:30.440 --> 00:00:33.400]  那我們這樣好了 就麻煩你們
[00:00:33.400 --> 00:00:37.120]  因為我不想我一個人在上面講講講
[00:00:37.120 --> 00:00:40.620]  好不好 有這個經文的時候我們一起來念
[00:00:40.620 --> 00:00:41.640]  好不好
[00:00:41.640 --> 00:00:46.820]  約翰福音第十二章第二十六節
[00:00:46.820 --> 00:00:48.820]  我們一起來念 好不好
[00:00:48.820 --> 00:00:50.820]  若有人服侍我
[00:00:50.820 --> 00:00:52.820]  就當跟從我
[00:00:52.820 --> 00:00:55.240]  我在那裡服侍我的人
[00:00:55.240 --> 00:00:56.420]  也要在那裡
[00:00:56.420 --> 00:00:58.420]  若有人服侍我
[00:00:58.420 --> 00:01:00.420]  我復必眷忠他
[00:01:00.420 --> 00:01:02.420]  那我剛才已經說了
[00:01:02.420 --> 00:01:04.420]  現在還是那個
[00:01:04.420 --> 00:01:06.420]  新年
[00:01:06.420 --> 00:01:08.420]  明天就是情人節了
[00:01:08.420 --> 00:01:10.420]  這樣好了 我們呢
[00:01:10.420 --> 00:01:12.420]  利用這個機會 如果
[00:01:12.420 --> 00:01:16.080]  旁邊是你的太太也好了
[00:01:16.080 --> 00:01:19.120]  或者是女朋友什麼的
[00:01:19.120 --> 00:01:21.840]  你就可以跟旁邊的人說
[00:01:21.840 --> 00:01:23.100]  我愛你
[00:01:23.100 --> 00:01:26.480]  但是如果你旁邊那個人
[00:01:26.480 --> 00:01:28.480]  不是你的女朋友
[00:01:28.480 --> 00:01:30.480]  或者不是你的太太的話
