
[00:00:00.000 --> 00:00:03.600]  盼望在教會的八十週年的
[00:00:03.600 --> 00:00:06.600]  堂慶年當中
[00:00:06.600 --> 00:00:08.600]  我們一起去
[00:00:08.600 --> 00:00:11.600]  更新我們的禱告生活
[00:00:11.600 --> 00:00:14.600]  更新我們的禱告生命
[00:00:14.600 --> 00:00:18.600]  要更新我們的禱告生命
[00:00:18.600 --> 00:00:20.600]  我們要有好
[00:00:20.600 --> 00:00:24.600]  和對的禱告神學
[00:00:24.600 --> 00:00:27.600]  當你們聽到神學
[00:00:27.600 --> 00:00:31.600]  或者你們會想起很沉悶的事情
[00:00:31.600 --> 00:00:33.600]  可以想像的
[00:00:33.600 --> 00:00:37.600]  大家講到教義
[00:00:37.600 --> 00:00:39.600]  神學
[00:00:39.600 --> 00:00:41.600]  大家會快些轉台的
[00:00:41.600 --> 00:00:44.600]  但我請你們不要這樣做
[00:00:44.600 --> 00:00:46.600]  讓我解釋一下
[00:00:46.600 --> 00:00:48.600]  對我來說
[00:00:48.600 --> 00:00:54.600]  神學是能夠為禱告去加油的
[00:00:54.600 --> 00:00:57.600]  你的禱告生活有困難
[00:00:57.600 --> 00:01:00.600]  可能你的神學是有問題的
[00:01:00.600 --> 00:01:02.600]  對我來說
[00:01:02.600 --> 00:01:03.600]  對保羅來說
[00:01:03.600 --> 00:01:05.600]  尤其是對保羅來說
[00:01:05.600 --> 00:01:10.600]  神學必然是為禱告生活去加油的
[00:01:10.600 --> 00:01:15.600]  禱告是一種著了火的神學
[00:01:15.600 --> 00:01:20.600]  禱告是好的神學必然的果子
[00:01:20.600 --> 00:01:25.600]  所以當我們能夠正確的去想到神
[00:01:25.600 --> 00:01:28.600]  這個會幫助我們敬拜神
[00:01:28.600 --> 00:01:31.600]  幫助我們依靠神
[00:01:31.600 --> 00:01:34.600]  幫助我們去呼喊
[00:01:34.600 --> 00:01:39.600]  尤其是在這個這麼躁動的幾月當中
[00:01:39.600 --> 00:01:46.600]  禱告是使我們能夠知道怎樣去面對
[00:01:46.600 --> 00:01:51.600]  所以禱告是好的神學的作用
[00:01:51.600 --> 00:01:56.600]  如果假如神學是會熄滅我們那種熱情的火
[00:01:56.600 --> 00:02:00.600]  減少我們的喜樂和敬虔的話
[00:02:00.600 --> 00:02:05.600]  這樣的話所做的神學是不對的神學
[00:02:05.600 --> 00:02:11.600]  所以今天晚上和你們開始講禱告的神學
[00:02:11.600 --> 00:02:14.600]  這幾天我專門選了這份所書
[00:02:14.600 --> 00:02:16.600]  因為在一年多前
[00:02:16.600 --> 00:02:19.600]  我們諸位的同工在諸日崇拜
[00:02:19.600 --> 00:02:22.600]  和你們讀過這份所書
[00:02:22.600 --> 00:02:25.600]  並且成長班又再讀過
[00:02:25.600 --> 00:02:27.600]  我想大家溫故知新
[00:02:27.600 --> 00:02:31.600]  並且記得裏面寶貴的教訓
[00:02:31.600 --> 00:02:34.600]  我甚至有一個希望
[00:02:34.600 --> 00:02:37.600]  在今晚講完這份所書的一章
[00:02:37.600 --> 00:02:40.600]  的十五節、二十三節
[00:02:40.600 --> 00:02:43.600]  你們是會記到的內容
[00:02:43.600 --> 00:02:46.600]  甚至你們會背了它
[00:02:46.600 --> 00:02:49.600]  或者當你背了經文的時候
[00:02:49.600 --> 00:02:52.600]  你試一下戴上經文的眼鏡
[00:02:52.600 --> 00:02:55.600]  你看一下一個躁動的年代
[00:02:55.600 --> 00:02:58.600]  躁動的日子
[00:02:58.600 --> 00:03:01.600]  你會怎樣可以面對
[00:03:01.600 --> 00:03:04.600]  這個是邀請大家一起去經歷
[00:03:04.600 --> 00:03:09.600]  一起去思考好的禱告的神學
[00:03:09.600 --> 00:03:12.600]  我們動心禱告
[00:03:12.600 --> 00:03:14.600]  親愛的主我們愛您
[00:03:14.600 --> 00:03:16.600]  因為愛您的緣故
[00:03:16.600 --> 00:03:18.600]  我們就很喜歡禱告
[00:03:18.600 --> 00:03:20.600]  很想見您
[00:03:20.600 --> 00:03:23.600]  主日求您幫我們城鎮家
[00:03:23.600 --> 00:03:25.600]  我們能夠弟兄姊妹們
[00:03:25.600 --> 00:03:28.600]  我們能夠在有禱告的根深
[00:03:28.600 --> 00:03:32.600]  我們牧師、傳道、執事
[00:03:32.600 --> 00:03:35.600]  諸位的弟兄姊妹們
[00:03:35.600 --> 00:03:37.600]  我們愛您
[00:03:37.600 --> 00:03:40.600]  因此我們很喜歡禱告
[00:03:40.600 --> 00:03:42.600]  主在今天晚上
[00:03:42.600 --> 00:03:45.600]  我們要看您的僕人保羅
[00:03:45.600 --> 00:03:50.600]  他去禱告的一些領袖
[00:03:50.600 --> 00:03:53.600]  是想明白到他怎樣去禱告
[00:03:53.600 --> 00:03:57.600]  求您教導我們能夠有很好的悟性
[00:03:57.600 --> 00:03:59.600]  能夠去記得
[00:03:59.600 --> 00:04:01.600]  能夠去相信
[00:04:01.600 --> 00:04:03.600]  能夠去踐行
[00:04:03.600 --> 00:04:07.600]  並且在我們要面對這麼多的挑戰當中
[00:04:07.600 --> 00:04:10.600]  您的話語就成為我們的明燈
[00:04:10.600 --> 00:04:12.600]  成為我們的力量
[00:04:12.600 --> 00:04:14.600]  我們一同有望您
[00:04:14.600 --> 00:04:18.600]  我們的祈禱是奉主耶穌基督名字求
[00:04:18.600 --> 00:04:20.600]  阿們
[00:04:20.600 --> 00:04:33.600]  這陣子我們的心情是不好過的
[00:04:33.600 --> 00:04:35.600]  你說是不是?
[00:04:35.600 --> 00:04:41.600]  常常裡面有一種悲悶在當中
[00:04:41.600 --> 00:04:44.600]  香港的社會是不穩定的
[00:04:44.600 --> 00:04:46.600]  你說是不是?
[00:04:46.600 --> 00:04:49.600]  面對這樣的情況
[00:04:49.600 --> 00:04:55.600]  你認為教會今天最大的挑戰是什麼?
[00:04:55.600 --> 00:04:59.600]  並且就是說教會是不是還有很多的
[00:04:59.600 --> 00:05:04.600]  具有爭議性的議題我們需要面對
