
[00:00:00.000 --> 00:00:04.120]  夏威夷、慕伊島、貓夷
[00:00:04.120 --> 00:00:06.640]  最近發生山火
[00:00:06.640 --> 00:00:08.920]  近一百人是罹難的
[00:00:08.920 --> 00:00:10.680]  經此一役
[00:00:10.680 --> 00:00:13.080]  島上的居民如果見到
[00:00:13.080 --> 00:00:15.880]  荊棘著火的時候
[00:00:15.880 --> 00:00:18.400]  他們一定會逃命的
[00:00:18.400 --> 00:00:21.800]  火是代表著恐懼
[00:00:21.800 --> 00:00:23.880]  要逃命
[00:00:23.880 --> 00:00:28.440]  在希臘神話裏面有一個叫普羅米修斯
[00:00:28.440 --> 00:00:30.480]  他是盜取天火
[00:00:30.480 --> 00:00:34.800]  代表人類文明和幸福
[00:00:34.800 --> 00:00:40.040]  但是對成為埃及王子的摩西
[00:00:40.040 --> 00:00:42.040]  火對他來說
[00:00:42.040 --> 00:00:43.960]  是一種利器
[00:00:43.960 --> 00:00:47.120]  他熟讀戰爭歷史
[00:00:47.120 --> 00:00:52.000]  他知道可以利用火供詞掠地
[00:00:52.000 --> 00:00:53.880]  又可以利用火
[00:00:53.880 --> 00:00:56.320]  火燒連環船
[00:00:56.320 --> 00:01:00.840]  堅壁青野
[00:01:00.840 --> 00:01:03.040]  但這個時候
[00:01:03.040 --> 00:01:05.200]  摩西對火
[00:01:05.200 --> 00:01:08.960]  又不一樣的懷想、想念
[00:01:08.960 --> 00:01:11.360]  摩西中年一百二十歲
[00:01:11.360 --> 00:01:15.480]  前四十年是埃及王子
[00:01:15.480 --> 00:01:20.040]  第二個四十年是抗野牧人
[00:01:20.040 --> 00:01:24.400]  最後四十年他帶領之列人出埃及
[00:01:24.400 --> 00:01:26.320]  在大概四十歲的時候
[00:01:26.320 --> 00:01:29.720]  他看見埃及人欺負希伯來人
[00:01:29.720 --> 00:01:31.760]  就看著四周沒有人的時候
[00:01:31.760 --> 00:01:32.560]  把他打死
[00:01:32.560 --> 00:01:33.640]  埋葬了他
[00:01:33.640 --> 00:01:37.040]  然後逃去米甸的抗野
[00:01:37.040 --> 00:01:40.800]  娶了米甸女子西波拉為妻
[00:01:40.800 --> 00:01:42.640]  而在她的爸爸
[00:01:42.640 --> 00:01:45.040]  就是她的岳父之下
