
[00:00:00.000 --> 00:00:02.880]  回到同福就好似回到自己家
[00:00:02.880 --> 00:00:04.560]  好親切
[00:00:04.560 --> 00:00:06.920]  既然這麼親切,我又問問你
[00:00:06.920 --> 00:00:09.560]  我講開道通常有幾點?
[00:00:09.560 --> 00:00:12.520]  幾點?
[00:00:12.520 --> 00:00:16.400]  三,就是三,讓你看看
[00:00:16.400 --> 00:00:19.640]  轉化
[00:00:19.640 --> 00:00:21.160]  更新
[00:00:21.160 --> 00:00:22.640]  傳承
[00:00:22.640 --> 00:00:26.760]  我想過用一節經文兩節經文去講
[00:00:26.760 --> 00:00:29.760]  但我發覺這麼闊的題目
[00:00:29.760 --> 00:00:31.000]  很難這樣講
[00:00:31.000 --> 00:00:32.960]  於是就分開三個
[00:00:32.960 --> 00:00:36.240]  我覺得在信仰裏面很重要的主題
[00:00:36.240 --> 00:00:38.240]  跟大家分享
[00:00:38.240 --> 00:00:39.440]  第一
[00:00:39.440 --> 00:00:41.240]  我們先講轉化
[00:00:41.240 --> 00:00:43.560]  就是怎樣信耶穌
[00:00:43.560 --> 00:00:45.040]  羅馬書十章九節
[00:00:45.040 --> 00:00:46.160]  我們一起讀一讀
[00:00:46.160 --> 00:00:47.760]  一二三
[00:00:47.760 --> 00:00:50.960]  你由口裡認耶穌為主
[00:00:50.960 --> 00:00:52.440]  心裡信神
[00:00:52.440 --> 00:00:54.960]  叫他從死裡復活
[00:00:57.760 --> 00:01:01.160]  先不要讀,讀第一節
[00:01:01.160 --> 00:01:05.600]  這一節很多信耶穌的人跟你讀
[00:01:05.600 --> 00:01:07.560]  你由口裡認耶穌為主
[00:01:07.560 --> 00:01:08.760]  心裡有信
[00:01:08.760 --> 00:01:10.960]  就叫信了耶穌
[00:01:10.960 --> 00:01:12.760]  是不是?
[00:01:12.760 --> 00:01:14.160]  原來還有下一節
[00:01:14.160 --> 00:01:15.360]  就是跟著那個
[00:01:15.360 --> 00:01:16.760]  我們一起讀
[00:01:16.760 --> 00:01:18.760]  天國近了
[00:01:18.760 --> 00:01:21.560]  你們應當悔改
[00:01:21.560 --> 00:01:22.760]  信了耶穌
[00:01:22.760 --> 00:01:26.960]  最重要的是生命的扭轉和改變
[00:01:26.960 --> 00:01:30.360]  接著下一節是我抄下來的
[00:01:30.360 --> 00:01:32.960]  這個普及譯本譯得很好
[00:01:32.960 --> 00:01:34.960]  你們要用行動去證明
[00:01:34.960 --> 00:01:36.160]  你真的信耶穌
[00:01:36.160 --> 00:01:37.560]  最終悔改
[00:01:37.560 --> 00:01:39.360]  而且不要因為
[00:01:39.360 --> 00:01:40.760]  覺得很安全
[00:01:40.760 --> 00:01:43.560]  因為我們是阿伯拉罕的子孫
[00:01:43.560 --> 00:01:45.560]  如果用現在的說話
[00:01:45.560 --> 00:01:47.360]  我們是某某牧師的女兒
[00:01:47.360 --> 00:01:48.960]  我們是某某執事的女兒
[00:01:48.960 --> 00:01:50.160]  我們等等等等
[00:01:50.160 --> 00:01:53.360]  原來信仰沒有世襲
[00:01:53.360 --> 00:01:55.760]  信仰不能自動
[00:01:55.760 --> 00:01:58.360]  我們不如再看什麼叫做悔改
[00:01:58.360 --> 00:02:00.560]  好嗎?
[00:02:00.560 --> 00:02:02.160]  悔改
[00:02:02.160 --> 00:02:03.760]  其中一個意思就是
[00:02:03.760 --> 00:02:05.360]  如果我們真的有一棵好的樹
[00:02:05.360 --> 00:02:07.160]  就會結好果子
[00:02:07.160 --> 00:02:08.160]  壞樹
[00:02:08.160 --> 00:02:10.560]  就會結壞果子
[00:02:10.560 --> 00:02:11.960]  悔改有兩個意思
[00:02:11.960 --> 00:02:14.360]  拉丁文是repent
[00:02:14.360 --> 00:02:17.360]  意思就是對自己的罪
[00:02:17.360 --> 00:02:18.960]  感覺悲傷
[00:02:18.960 --> 00:02:21.160]  感覺懊悔
[00:02:21.160 --> 00:02:22.560]  有沒有呢?
[00:02:22.560 --> 00:02:24.160]  我記得我信耶穌的時候
[00:02:24.160 --> 00:02:28.560]  我和爸爸發生很大的衝突
[00:02:28.560 --> 00:02:32.360]  我接受不了我有情緒病嚴重的爸爸
[00:02:32.360 --> 00:02:35.160]  於是我憎他
[00:02:35.160 --> 00:02:37.360]  我恨他
[00:02:37.360 --> 00:02:38.560]  愛不到爸爸
