
[00:00:00.000 --> 00:00:05.000]  每年到了年底,我想很多的牧區小組都會有類似的活動
[00:00:05.000 --> 00:00:08.000]  就是一個年終的感恩會
[00:00:08.000 --> 00:00:11.000]  或者是一個慶祝會
[00:00:11.000 --> 00:00:16.000]  就讓弟兄姊妹一起去數算一下
[00:00:16.000 --> 00:00:21.000]  過去的一年,上帝在他們生命裡面所做的一切的事情
[00:00:21.000 --> 00:00:26.000]  一些值得感恩,值得去紀念的一些事情
[00:00:26.000 --> 00:00:30.000]  不知道今年大家開始想這件事了沒有呢?
[00:00:30.000 --> 00:00:33.000]  這一刻要大家去想一想
[00:00:33.000 --> 00:00:37.000]  2012年裡面大家有什麼值得感恩呢?
[00:00:37.000 --> 00:00:41.000]  不知道你會說些什麼呢?不知道你會分享些什麼呢?
[00:00:41.000 --> 00:00:44.000]  我相信大家一定不會告訴我
[00:00:44.000 --> 00:00:48.000]  你最感恩的事情就是你手上的那部手機
[00:00:48.000 --> 00:00:52.000]  由這個"生果牌"轉為"星字牌"
[00:00:52.000 --> 00:00:55.000]  我也相信大家不會告訴我
[00:00:55.000 --> 00:01:02.000]  你最感恩的事情就是你現在一面騎馬,一面跳舞
[00:01:02.000 --> 00:01:04.000]  不會的,相信這個
[00:01:04.000 --> 00:01:10.000]  大家一定是在你的生命裡面有很多不同層次的值得感恩的地方
[00:01:10.000 --> 00:01:15.000]  可能有新的工作,在你的生命裡面有新的學習,或者新的進步等等
[00:01:15.000 --> 00:01:19.000]  不過不知道大家有沒有發覺在我們今天的日子里
[00:01:19.000 --> 00:01:22.000]  我們要數算一年裡面值得感恩的事
[00:01:22.000 --> 00:01:25.000]  我們不是覺得太少太難想
[00:01:25.000 --> 00:01:27.000]  反而是太多
[00:01:27.000 --> 00:01:29.000]  很多東西發生
[00:01:29.000 --> 00:01:36.000]  一年裡面很多事情都會密密集集地在我們的生命裡面出現
[00:01:36.000 --> 00:01:40.000]  我們還沒及時消化
[00:01:40.000 --> 00:01:45.000]  那種喜樂,那種開心,可能還沒嘗夠
[00:01:45.000 --> 00:01:47.000]  第二樣東西又出現了
[00:01:47.000 --> 00:01:52.000]  很多東西一路一路會取代發生
[00:01:52.000 --> 00:01:55.000]  正正是這樣一個密集
[00:01:55.000 --> 00:01:58.000]  你叫我們這麼壓縮的生命,一個這樣的社會里生活的時候
[00:01:58.000 --> 00:02:02.000]  我們不知道今天還會不會在我們的生命裡面找到一種
[00:02:02.000 --> 00:02:06.000]  是很歷久常新的,很長存的
[00:02:06.000 --> 00:02:12.000]  也是叫我們很難忘的,真正難忘的一種快樂呢
[00:02:12.000 --> 00:02:18.000]  如果我舉例子的話,不知道大家剛剛的星期三有沒有參加這個祈禱會
[00:02:18.000 --> 00:02:25.000]  星期三我們祈禱會的主題就是脫去舊人,穿上新人的禱告
[00:02:25.000 --> 00:02:31.000]  我舉的例子就是當Pastor John在台上分享他的生命裡面的歷程
[00:02:31.000 --> 00:02:36.000]  大家記不記得他分享的那份喜樂
[00:02:36.000 --> 00:02:41.000]  那份自在,那份興奮
[00:02:41.000 --> 00:02:44.000]  當他經歷到生命裡面很多的改變
[00:02:44.000 --> 00:02:48.000]  由舊,慢慢一樣一樣的脫去
[00:02:48.000 --> 00:02:52.000]  慢慢一樣一樣神給他新的改變的時候
[00:02:52.000 --> 00:02:58.000]  那份自在興奮,可能就是一份真正難忘的快樂
[00:02:58.000 --> 00:03:02.000]  我相信真正難忘的快樂
[00:03:02.000 --> 00:03:06.000]  一定有包括我們生命裡面的一些改變
[00:03:06.000 --> 00:03:09.000]  一些很持續的改變在中間
[00:03:09.000 --> 00:03:12.000]  為什麼這麼說呢?今天的詩篇可能都同樣的
[00:03:12.000 --> 00:03:17.000]  可以回應我們今天剛剛所說的這個信息
[00:03:17.000 --> 00:03:21.000]  今天我們會看一篇126篇的詩篇
