
[00:00:00.000 --> 00:00:02.680]  感激主 今天可以有機會和大家一起
[00:00:02.680 --> 00:00:05.800]  敬拜 一起聽聖後話語
[00:00:05.800 --> 00:00:09.760]  在此祝賀窩福堂慶祝五十週年
[00:00:09.760 --> 00:00:13.200]  代表洛恩堂將我們的祝福獻上
[00:00:13.200 --> 00:00:18.520]  多謝窩福堂多年來對不同的子堂
[00:00:18.520 --> 00:00:20.440]  都有不同的關心
[00:00:20.440 --> 00:00:22.520]  我上一次在此講道的時候
[00:00:22.520 --> 00:00:24.400]  是四年前
[00:00:24.400 --> 00:00:27.280]  洛恩堂慶祝二十週年
[00:00:27.280 --> 00:00:30.840]  我們尋根返回母堂聚會
[00:00:30.840 --> 00:00:35.440]  當時窩福堂借出一個地方
[00:00:35.440 --> 00:00:36.960]  讓我們可以在此聚會
[00:00:36.960 --> 00:00:38.280]  所以很感恩
[00:00:38.280 --> 00:00:41.640]  今天在此知道過去五十年
[00:00:41.640 --> 00:00:44.880]  大家都經歷了很多不同神的帶領
[00:00:44.880 --> 00:00:46.400]  在此展望未來的日子
[00:00:46.400 --> 00:00:48.680]  相信神會繼續去拓展
[00:00:48.680 --> 00:00:51.440]  求主繼續使用當中的每一位
[00:00:51.440 --> 00:00:53.360]  在此講道之前
[00:00:53.360 --> 00:00:55.360]  也想邀請大家做一個動作
[00:00:55.360 --> 00:00:56.440]  如果你有聖經的話
[00:00:56.440 --> 00:00:59.120]  我們可以一起擁抱神的話語去禱告
[00:00:59.120 --> 00:01:02.800]  據聞現在大家比較多用電子版
[00:01:02.800 --> 00:01:05.560]  所以你可以抱著你的電話
[00:01:05.560 --> 00:01:07.800]  雖然手感有少許不同
[00:01:07.800 --> 00:01:11.160]  或者程序表內也印了部分的聖經
[00:01:11.160 --> 00:01:12.640]  雖然都是較薄
[00:01:12.640 --> 00:01:14.400]  但都是神話話語
[00:01:14.400 --> 00:01:18.640]  讓我們一起擁抱神話語去禱告
[00:01:18.640 --> 00:01:20.040]  天上大人我們感謝祢
[00:01:20.040 --> 00:01:22.320]  將祢的話語賜給我們
[00:01:22.320 --> 00:01:24.840]  讓我們可以在祢的話語裡面
[00:01:24.840 --> 00:01:27.200]  更多地去認識祢
[00:01:27.200 --> 00:01:31.640]  我也感謝祢將我們帶進教會裡面
[00:01:31.640 --> 00:01:35.160]  讓我們成為基督的身體的一部分
