
[00:00:00.000 --> 00:00:04.800]  天文教你自己親自用你的話語成為我們生命的幫助和激勵
[00:00:04.800 --> 00:00:07.120]  讓我們有一個渴慕追求你的心
[00:00:07.120 --> 00:00:10.680]  讓我們能夠透過你的話語讓我們有更多的反省
[00:00:10.680 --> 00:00:13.100]  讓我們知道怎樣去愛我們的國家
[00:00:13.100 --> 00:00:14.480]  愛我們的子民
[00:00:14.480 --> 00:00:19.080]  但亦都幫助我們不只是一個很狹隘偏差的愛國
[00:00:19.080 --> 00:00:22.200]  而是讓我們知道普世都是神力所掌管
[00:00:22.200 --> 00:00:25.080]  這個世界都是屬於你和我們的
[00:00:25.080 --> 00:00:27.080]  讓我們懂得怎樣去愛這個世界
[00:00:27.080 --> 00:00:28.680]  亦都去愛周遭的人
[00:00:28.680 --> 00:00:31.000]  帶領著孩子 叫孩子所分享的
[00:00:31.000 --> 00:00:32.840]  都成為眾弟兄姊妹的幫助
[00:00:32.840 --> 00:00:34.520]  祈禱拉動主德聖的名
[00:00:34.520 --> 00:00:35.520]  Amen
[00:00:35.520 --> 00:00:37.920]  今次我會和大家查兩卷書
[00:00:37.920 --> 00:00:39.720]  一卷是若拿書
[00:00:39.720 --> 00:00:41.400]  一卷是拿紅書
[00:00:41.400 --> 00:00:43.680]  我給了名字都很令人害怕
[00:00:43.680 --> 00:00:45.200]  好像都很反動
[00:00:45.200 --> 00:00:48.680]  《大國的崛起與敗亡》
[00:00:48.680 --> 00:00:53.880]  這個若拿書和拿紅書你留意到的時候
[00:00:53.880 --> 00:01:01.240]  它都是表面是針對了亞述國裏面一個很大的城市
[00:01:01.240 --> 00:01:02.760]  就是尼尼尾城
[00:01:02.760 --> 00:01:07.760]  尼尼尾城是後期成為亞述國的首都
[00:01:07.760 --> 00:01:11.800]  而亞述就是滅了北面的以色列國
[00:01:11.800 --> 00:01:15.480]  所以這個國家其實是很厲害
[00:01:15.480 --> 00:01:17.920]  而亞述是很殘忍的
[00:01:17.920 --> 00:01:21.400]  如果你留意到CP137篇裏面記載是怎樣
[00:01:21.400 --> 00:01:25.400]  那時我未正式很熟悉聖經的時候
[00:01:25.400 --> 00:01:26.960]  我不喜歡讀詩篇的
[00:01:26.960 --> 00:01:28.960]  因為我發覺詩篇很殘忍
[00:01:28.960 --> 00:01:30.600]  我是在灣仔長大的
[00:01:30.600 --> 00:01:33.320]  我在灣仔讀書、遊蕩
[00:01:33.320 --> 00:01:38.000]  我發覺到詩篇裏面有些詩是更恐怖過
[00:01:38.000 --> 00:01:40.920]  「鵝頸橋打小人」的那些女人
[00:01:40.920 --> 00:01:42.480]  很令人害怕的
[00:01:42.480 --> 00:01:44.880]  你看看CP137篇怎樣說
[00:01:44.880 --> 00:01:47.200]  「開神了,你賜福給那些人」
[00:01:47.200 --> 00:01:48.200]  如果那些人是做甚麼
[00:01:48.200 --> 00:01:56.400]  「將孕婦的肚子剖開,拿個嬰孩出來,摔在石頭上,摔死他」
[00:01:56.400 --> 00:02:00.680]  「借人就有福了,神了,你要賜福給這些人」
[00:02:00.680 --> 00:02:04.720]  當我一個十三、四歲的細蚊仔開始看聖經的時候
[00:02:04.720 --> 00:02:06.840]  我都頗有公義感的,至少覺得
[00:02:06.840 --> 00:02:08.880]  但是看到這麼殘忍的
[00:02:08.880 --> 00:02:11.120]  竟然聖經裏面有這些說話
[00:02:11.120 --> 00:02:12.160]  我怎樣讀得下去
[00:02:12.160 --> 00:02:15.040]  所以我一向都很少看詩篇的
[00:02:15.040 --> 00:02:18.120]  但是後來我長大一點的時候去研究聖經
[00:02:18.120 --> 00:02:23.720]  我才知道原來聖經裏面至少有七篇叫「咒助詩」
[00:02:23.720 --> 00:02:26.680]  我曾經講過一篇道教叫「以咒報怨」
[00:02:26.680 --> 00:02:29.880]  我很憎恨那個人,我可不可以來咒助他呢?
[00:02:29.880 --> 00:02:31.920]  可不可以叫「林鄭月娥」
[00:02:31.920 --> 00:02:35.400]  嘩!怎樣來咒罵他呢?可不可以呢?
[00:02:35.400 --> 00:02:37.040]  其實是可以的
[00:02:37.040 --> 00:02:41.600]  但是神聽不聽,按你的心意去成就呢?
[00:02:41.600 --> 00:02:43.600]  只有神決定,明不明白這個意思?
[00:02:43.600 --> 00:02:45.920]  原來詩篇137篇就記載到
[00:02:45.920 --> 00:02:49.880]  原來當時他們以色列民被亞述滅亡
[00:02:49.880 --> 00:02:52.200]  亞述原來就是這麼殘忍的
[00:02:52.200 --> 00:02:55.520]  是將孕婦的肚子剖開
[00:02:55.520 --> 00:02:59.320]  然後將嬰兒拿出來,然後扔死他
[00:02:59.320 --> 00:03:03.400]  那嬰兒又死,那個孕婦也會死
[00:03:03.400 --> 00:03:08.640]  他就是這樣很兇殘地去對待那些秘魯的人
[00:03:08.640 --> 00:03:11.720]  而這些秘魯的人,他們是很痛苦
[00:03:11.720 --> 00:03:14.240]  他們沒有辦法去反抗
[00:03:14.240 --> 00:03:17.400]  於是他們就將他們那種激情
[00:03:17.400 --> 00:03:20.640]  將他們那種不滿,向神傾訴
[00:03:20.640 --> 00:03:24.760]  將那種咒罵,一直向神傾訴
