
[00:00:00.000 --> 00:00:04.560]  在七月初和大家正道的題目
[00:00:04.560 --> 00:00:07.640]  就說成為新造的人
[00:00:07.640 --> 00:00:11.840]  能夠去順著聖靈的大靈行事
[00:00:11.840 --> 00:00:13.920]  去尊重神
[00:00:13.920 --> 00:00:17.560]  向眾人行善事
[00:00:17.560 --> 00:00:21.320]  只誇耀基督的十字架
[00:00:21.320 --> 00:00:23.960]  傳講福音
[00:00:23.960 --> 00:00:29.160]  今天和大家去講新人的生活
[00:00:29.160 --> 00:00:31.760]  其實我們的生活
[00:00:31.760 --> 00:00:36.440]  都是圍繞著真理的教導上
[00:00:36.440 --> 00:00:39.320]  作為我們的根基
[00:00:39.320 --> 00:00:44.200]  信徒因為在生命裏面得到改變
[00:00:44.200 --> 00:00:48.080]  同基督 同死 同活
[00:00:48.080 --> 00:00:51.880]  在生活上亦都有改變
[00:00:51.880 --> 00:00:57.120]  正如剛才提到八月十日的行動
[00:00:57.120 --> 00:01:02.480]  正正就代表著信徒生命的改變
[00:01:02.480 --> 00:01:06.040]  我們雖然不認識這些街坊朋友
[00:01:06.040 --> 00:01:10.240]  我們都樂意來服侍
[00:01:10.240 --> 00:01:13.040]  以往未認識主的時候
[00:01:13.040 --> 00:01:15.040]  我們沒有想過星期日
[00:01:15.040 --> 00:01:18.760]  要回來這個地方去敬拜祂
[00:01:18.760 --> 00:01:22.320]  在星期日可能我們會睡得很晚
[00:01:22.320 --> 00:01:24.120]  遲起床
[00:01:24.120 --> 00:01:29.880]  因為星期日是休息
[00:01:29.880 --> 00:01:32.800]  無論是學生或是要上班的人
[00:01:32.800 --> 00:01:34.520]  都可以休息
[00:01:34.520 --> 00:01:38.200]  沒有想過要來教會
[00:01:38.200 --> 00:01:42.160]  可能都會用時間和家人相處
[00:01:42.160 --> 00:01:47.200]  出外喝茶或是去旅行
[00:01:47.200 --> 00:01:51.840]  但當我們認識了信靠這位主之後
[00:01:51.840 --> 00:01:56.480]  我們的生命是由神來掌管
[00:01:56.480 --> 00:02:00.080]  我們慢慢樂意回來敬拜祂
[00:02:00.080 --> 00:02:05.920]  回來查經班 團契 甚至祈禱會
[00:02:05.920 --> 00:02:08.400]  新人的生活就是
[00:02:08.400 --> 00:02:14.080]  提到要思念天上的事
[00:02:14.080 --> 00:02:16.320]  當我們信主之後
[00:02:16.320 --> 00:02:20.120]  向罪和這個世界說不
[00:02:20.120 --> 00:02:22.640]  這裡說到要死
[00:02:22.640 --> 00:02:27.760]  不再去做以往得罪神的事情
