
[00:00:00.000 --> 00:00:02.000]  剛剛讀的經文其中一節
[00:00:02.000 --> 00:00:06.500]  我相信對很多已經返教會一段時間的弟兄姊妹來說
[00:00:06.500 --> 00:00:08.000]  較為熟悉的
[00:00:08.000 --> 00:00:11.500]  「你要保守你心勝過保守一切」
[00:00:11.500 --> 00:00:13.500]  如果我們讀的時候
[00:00:13.500 --> 00:00:18.500]  你就會發現關於切切保守我們的心
[00:00:18.500 --> 00:00:19.500]  是怎樣的呢?
[00:00:19.500 --> 00:00:21.000]  特別強調
[00:00:21.000 --> 00:00:24.000]  因為一生的果效是由心發出
[00:00:24.000 --> 00:00:26.000]  原本直譯的時候是說
[00:00:26.000 --> 00:00:29.000]  你要切切保守你的心
[00:00:29.000 --> 00:00:32.000]  要切切保守你的心
[00:00:32.000 --> 00:00:35.000]  直譯是說
[00:00:35.000 --> 00:00:38.000]  「因為生命之泉從他而出」
[00:00:38.000 --> 00:00:41.000]  保守我們的心很重要
[00:00:41.000 --> 00:00:45.000]  因為生命之泉從他而出
[00:00:45.000 --> 00:00:47.000]  保守我們的心
[00:00:47.000 --> 00:00:49.000]  這裡的心在說甚麼呢?
[00:00:49.000 --> 00:00:51.000]  當然有些人會想保守我們的心臟
[00:00:51.000 --> 00:00:56.000]  香港心臟病是三大殺手之一
[00:00:56.000 --> 00:01:01.000]  2013年所有登記死亡的人數是四萬三千多
[00:01:01.000 --> 00:01:04.000]  死於癌症的是頭號的一萬三千多
[00:01:04.000 --> 00:01:06.000]  肺炎的是六千多
[00:01:06.000 --> 00:01:09.000]  心臟病的是五千多
[00:01:09.000 --> 00:01:13.000]  原來2001年至2011年
[00:01:13.000 --> 00:01:15.000]  本來心臟病是排第二的
[00:01:15.000 --> 00:01:20.000]  不過現在肺炎是很嚴重很可怕追上了
[00:01:20.000 --> 00:01:25.000]  所以就著保護心有很多人有建議
[00:01:25.000 --> 00:01:29.000]  其中世界心臟病聯合會的專家就建議十樣東西
[00:01:29.000 --> 00:01:32.000]  我相信有部分的電影姊妹都會參照的
[00:01:32.000 --> 00:01:35.000]  因為我們的心臟好像一般般
[00:01:35.000 --> 00:01:38.000]  有些人血管血脂高
[00:01:38.000 --> 00:01:39.000]  有健康的飲食
[00:01:39.000 --> 00:01:44.000]  要吃五種以上的水果和蔬菜
[00:01:44.000 --> 00:01:50.000]  要有生活態度積極和精神振奮
[00:01:50.000 --> 00:01:52.000]  怎樣保持精神振奮呢?
[00:01:52.000 --> 00:01:53.000]  不是吃甚麼藥
[00:01:53.000 --> 00:01:56.000]  做三十分鐘的身體活動
[00:01:56.000 --> 00:01:59.000]  就可以令自己提起勁
[00:01:59.000 --> 00:02:02.000]  第三是保持健康的體重
[00:02:02.000 --> 00:02:03.000]  過重的記得減重
[00:02:03.000 --> 00:02:05.000]  還有吃一些低鹽的東西
[00:02:05.000 --> 00:02:07.000]  第四是了解自己身體的狀況
[00:02:07.000 --> 00:02:09.000]  即是要檢查的
[00:02:09.000 --> 00:02:11.000]  第五是限制飲酒
[00:02:11.000 --> 00:02:14.000]  第六是拒絕煙草
[00:02:14.000 --> 00:02:17.000]  第七就是不單單自己拒絕煙草
[00:02:17.000 --> 00:02:23.000]  還要是無煙的環境,即是身邊的人
[00:02:23.000 --> 00:02:25.000]  我現在強調多了,我們不要吃二手煙
[00:02:25.000 --> 00:02:28.000]  要將運動帶到工作的場所
[00:02:28.000 --> 00:02:30.000]  不是說你一邊工作一邊做運動
[00:02:30.000 --> 00:02:32.000]  而是說有些人真的這樣
[00:02:32.000 --> 00:02:35.000]  騎單車上班,走樓梯,五間的時候
[00:02:35.000 --> 00:02:38.000]  做一點運動或者散步
[00:02:38.000 --> 00:02:41.000]  選擇健康的食物
[00:02:41.000 --> 00:02:43.000]  去哪裡吃飯都很重要
[00:02:43.000 --> 00:02:46.000]  吃甚麼菜都很重要
[00:02:46.000 --> 00:02:49.000]  第十是鼓勵沒有壓力的時刻
[00:02:49.000 --> 00:02:54.000]  雖然他說壓力不一定是導致心臟病的原因
[00:02:54.000 --> 00:02:57.000]  不過往往都是相關的
[00:02:57.000 --> 00:02:59.000]  所以保持我們不要太大的壓力
[00:02:59.000 --> 00:03:02.000]  幫助自己減壓
[00:03:02.000 --> 00:03:04.000]  我們很多人都會留意
[00:03:04.000 --> 00:03:06.000]  怎樣去保護這個心臟
[00:03:06.000 --> 00:03:08.000]  讓它有良好的功能
[00:03:08.000 --> 00:03:10.000]  因為我們知道心臟是我們全人
[00:03:10.000 --> 00:03:13.000]  全身一個很重要的器官
[00:03:13.000 --> 00:03:16.000]  我們都是靠著它泵血
[00:03:16.000 --> 00:03:18.000]  帶一些養分
[00:03:18.000 --> 00:03:21.000]  如果心臟功能差
[00:03:21.000 --> 00:03:23.000]  甚至失效的時候
[00:03:23.000 --> 00:03:26.000]  可能我們就會面對死亡
[00:03:26.000 --> 00:03:28.000]  今天我很想讓大家知道
[00:03:28.000 --> 00:03:30.000]  當然不是怎樣保護心臟
[00:03:30.000 --> 00:03:32.000]  因為我不是醫生
[00:03:32.000 --> 00:03:34.000]  心在聖經所說的
[00:03:34.000 --> 00:03:37.000]  其實往往不是在說我們心理上
[00:03:37.000 --> 00:03:40.000]  身體上的心臟
