
[00:00:00.000 --> 00:00:02.000]  我們一齊同心同德
[00:00:02.000 --> 00:00:05.220]  主耶穌 主耶穌 我們知道祢有恩典
[00:00:05.220 --> 00:00:07.560]  所以今天我們來到祢面前的時候
[00:00:07.560 --> 00:00:11.060]  我們可以坦然無懼地去承認
[00:00:11.060 --> 00:00:15.060]  我們有軟弱 我們有不足的地方
[00:00:15.060 --> 00:00:18.560]  就好像上個主日
[00:00:18.560 --> 00:00:22.060]  當銀泉道提到一個金牛族信仰的時候
[00:00:22.060 --> 00:00:25.560]  主啊 讓我們真的在祢面前
[00:00:25.560 --> 00:00:27.560]  我們曉得去自卑
[00:00:27.560 --> 00:00:29.560]  讓我們曉得在祢面前
[00:00:29.560 --> 00:00:32.560]  我們曉得去自省
[00:00:32.560 --> 00:00:35.060]  特別是如果我們信得很久的時候
[00:00:35.060 --> 00:00:39.560]  可能我們已經建立了我們自己一套的信仰
[00:00:39.560 --> 00:00:42.560]  其他的東西我們已經聽不入耳
[00:00:42.560 --> 00:00:44.560]  主啊 求祢幫助我們
[00:00:44.560 --> 00:00:48.560]  讓我們真的謙卑自己 放低自己
[00:00:48.560 --> 00:00:51.560]  讓我們心裡面 不要因為我們信主連日祥
[00:00:51.560 --> 00:00:53.560]  我們就去驕傲
[00:00:53.560 --> 00:00:55.560]  更加讓我們懂得在祢面前
[00:00:55.560 --> 00:00:58.560]  我們找回那個初心
[00:00:58.560 --> 00:01:01.560]  就是一個得救的初心
[00:01:01.560 --> 00:01:03.560]  一個渴慕真道的初心
[00:01:03.560 --> 00:01:07.560]  一個願意聆聽主你話語的心
[00:01:07.560 --> 00:01:09.560]  主啊 求祢今天就將祢的話
[00:01:09.560 --> 00:01:11.560]  放在我們眾人的心裡面
[00:01:11.560 --> 00:01:14.560]  聖靈我們又在祢面前來呼求祢
[00:01:14.560 --> 00:01:16.560]  祢是真理的聖靈
[00:01:16.560 --> 00:01:18.560]  就求祢將神的話
[00:01:18.560 --> 00:01:23.560]  今天放在我們每一個弟妹的身上
