
[00:00:00.000 --> 00:00:03.820]  今年很清晰我們的主題是講成長
[00:00:03.820 --> 00:00:07.280]  由年初開始我們說我們不可以再做Kiddo了
[00:00:07.280 --> 00:00:08.880]  我們要成長了
[00:00:08.880 --> 00:00:12.160]  接著到找找什麼是使命
[00:00:12.160 --> 00:00:17.020]  或者找找我們怎樣可以在信仰裡面走深一點
[00:00:17.020 --> 00:00:19.280]  怎樣向水深知處
[00:00:19.280 --> 00:00:21.380]  去到早幾個星期
[00:00:21.380 --> 00:00:23.480]  我連續講了三篇
[00:00:23.480 --> 00:00:24.860]  On Fire for Christ
[00:00:24.860 --> 00:00:28.160]  其實是誤會所以有這麼一個安排
[00:00:28.160 --> 00:00:30.960]  但anyway來到今天
[00:00:30.960 --> 00:00:36.120]  這四個星期很想和你們思想的是什麼叫做使命
[00:00:36.120 --> 00:00:39.800]  第一個星期幫我們打頭陣的是謙謙
[00:00:39.800 --> 00:00:41.540]  我不知道你有沒有印象
[00:00:41.540 --> 00:00:43.180]  給點掌聲他吧
[00:00:43.180 --> 00:00:45.180]  他今天在這裡
[00:00:45.180 --> 00:00:47.960]  我可以講個預告給你聽
[00:00:47.960 --> 00:00:51.340]  他下個星期就實習正式完畢了
[00:00:51.340 --> 00:00:54.960]  他之後能不能找到工作生活
[00:00:54.960 --> 00:00:59.180]  我也很關注的我圖告裡面紀念你
[00:00:59.180 --> 00:01:01.860]  他那天講道就講不安的使命
[00:01:01.860 --> 00:01:03.800]  講黑西瑪利源有沒有印象
[00:01:03.800 --> 00:01:05.460]  我們知道一些使命
[00:01:05.460 --> 00:01:08.880]  但那個使命令我們不安
[00:01:08.880 --> 00:01:12.560]  上個星期阿南講了一篇我覺得很精彩的道
[00:01:12.560 --> 00:01:15.240]  就是講約瑟
[00:01:15.240 --> 00:01:17.240]  講他的生平
[00:01:17.240 --> 00:01:21.500]  那個可以是一個不知的使命
[00:01:21.500 --> 00:01:24.560]  由不安的使命到不知的使命
[00:01:24.560 --> 00:01:26.040]  因為經文這樣講
[00:01:26.040 --> 00:01:30.840]  去到整卷的創世紀第五十章才說
[00:01:30.840 --> 00:01:32.840]  他回想他人生
[00:01:32.840 --> 00:01:37.300]  他才知道原來那群兄弟的意思是要害我
[00:01:37.300 --> 00:01:41.560]  但神的意思原是好的
[00:01:41.560 --> 00:01:45.320]  說要保存許多人的性命成就今天的光景
[00:01:45.320 --> 00:01:46.840]  原來我們很多事情都不明白
[00:01:46.840 --> 00:01:50.200]  我們活在當下我們不明白發生什麼
[00:01:50.200 --> 00:01:51.960]  可能今天香港發生的事情
[00:01:51.960 --> 00:01:53.960]  教會發生的事情你都不明白
[00:01:53.960 --> 00:01:55.760]  但我邀請你
[00:01:55.760 --> 00:01:58.520]  根據阿南上星期講的那篇道
