
[00:00:00.000 --> 00:00:07.000]  話說這位牧師去內地做培訓
[00:00:07.000 --> 00:00:11.000]  他的培訓和教導很精彩
[00:00:11.000 --> 00:00:15.000]  弟兄姊妹都很受用
[00:00:15.000 --> 00:00:18.000]  他們覺得這位牧師很厲害
[00:00:18.000 --> 00:00:20.000]  為何他懂得這麼多東西
[00:00:20.000 --> 00:00:24.000]  好像聖經裡的東西他都懂得
[00:00:24.000 --> 00:00:27.000]  但唯獨講到大衛的時候
[00:00:27.000 --> 00:00:31.000]  他們百思不得其解
[00:00:31.000 --> 00:00:35.000]  牧師說:大衛有奸癮
[00:00:35.000 --> 00:00:38.000]  所以想懲罰他
[00:00:38.000 --> 00:00:41.000]  弟兄姊妹就覺得很奇怪
[00:00:41.000 --> 00:00:45.000]  為何牧師會知道大衛有肝炎呢?
[00:00:45.000 --> 00:00:49.000]  聖經哪裏有講呢?
[00:00:49.000 --> 00:00:52.000]  大衛有肝炎都慘了
[00:00:52.000 --> 00:00:55.000]  為何神還要懲罰他呢?
[00:00:55.000 --> 00:01:00.000]  原來這位牧師的普通話不太靈光
[00:01:00.000 --> 00:01:02.000]  不太淡
[00:01:02.000 --> 00:01:07.000]  他把「奸癮」說成「奸眼」
[00:01:07.000 --> 00:01:11.000]  把「奸人」說成「肝炎」
[00:01:11.000 --> 00:01:14.000]  這件事令我想到
[00:01:14.000 --> 00:01:17.000]  人言可畏
[00:01:17.000 --> 00:01:19.000]  我們講話真的要很小心
[00:01:19.000 --> 00:01:21.000]  不單是內容要小心
[00:01:21.000 --> 00:01:24.000]  讀音也要正
[00:01:24.000 --> 00:01:27.000]  否則差之毫厘
[00:01:27.000 --> 00:01:29.000]  謀之千里
[00:01:29.000 --> 00:01:32.000]  在繼續講這篇詩篇之前
[00:01:32.000 --> 00:01:35.000]  我想先交代一些背景
[00:01:35.000 --> 00:01:39.000]  詩篇第120至134篇
[00:01:39.000 --> 00:01:45.000]  這15首詩篇其實有名字
[00:01:45.000 --> 00:01:50.000]  「上行之詩」或「朝聖之歌」
[00:01:50.000 --> 00:01:54.000]  因為一般認為這些詩歌
[00:01:54.000 --> 00:01:57.000]  是以色列人上耶路撒冷朝聖時
[00:01:57.000 --> 00:02:00.000]  一邊行一邊唱
[00:02:00.000 --> 00:02:02.000]  按照以色列人的規矩
[00:02:02.000 --> 00:02:05.000]  所有成年男士
[00:02:05.000 --> 00:02:09.000]  一年都要在三大節期
[00:02:09.000 --> 00:02:13.000]  上到耶路撒冷去聖殿敬拜神
[00:02:13.000 --> 00:02:15.000]  去守節
[00:02:15.000 --> 00:02:20.000]  三大節期是除巧節、午巡節和鑄盤節
