
[00:00:00.000 --> 00:00:03.040]  我們由這段聖經開始說
[00:00:03.040 --> 00:00:04.880]  這段聖經告訴我們
[00:00:04.880 --> 00:00:09.920]  該人好像十六節、十七節
[00:00:09.920 --> 00:00:11.680]  到了十七節的時候
[00:00:11.680 --> 00:00:16.520]  你發現他人生好像一個新的開始
[00:00:16.520 --> 00:00:17.400]  為什麼呢?
[00:00:17.400 --> 00:00:19.160]  他說他與妻子同房
[00:00:19.160 --> 00:00:21.000]  他生了一個兒子
[00:00:21.000 --> 00:00:23.200]  兒子的名字叫什麼?
[00:00:23.200 --> 00:00:25.520]  你記不記得我講過給你聽
[00:00:25.520 --> 00:00:28.120]  以諾的名字是什麼意思?
[00:00:28.120 --> 00:00:30.640]  我猜你都不記得了
[00:00:30.640 --> 00:00:32.640]  所以我猜你會記得我的故事
[00:00:32.640 --> 00:00:34.280]  多過記得經文的
[00:00:34.280 --> 00:00:35.240]  是不是?
[00:00:35.240 --> 00:00:36.120]  好了
[00:00:36.120 --> 00:00:38.040]  這個名字的意思
[00:00:38.040 --> 00:00:41.920]  是叫做重新開始
[00:00:41.920 --> 00:00:44.040]  或者有另外一個意思
[00:00:44.040 --> 00:00:47.720]  叫做奉獻給你
[00:00:47.720 --> 00:00:51.080]  重新開始
[00:00:51.080 --> 00:00:53.560]  所以以諾與神同行
[00:00:53.560 --> 00:00:55.080]  不是這個以諾
[00:00:55.080 --> 00:00:58.040]  是很多代之後的
[00:00:58.040 --> 00:01:00.560]  那個與神同行的以諾
[00:01:00.560 --> 00:01:03.040]  其實他每一天都是重新開始
[00:01:03.040 --> 00:01:06.120]  所以他才可以與神同行
[00:01:06.120 --> 00:01:07.200]  如果不是的話
[00:01:07.200 --> 00:01:08.200]  他昨天就離開了
[00:01:08.200 --> 00:01:09.640]  今天就不用離開了
[00:01:09.640 --> 00:01:10.400]  是不是?
[00:01:10.400 --> 00:01:11.920]  我們很多時候都會這樣
[00:01:11.920 --> 00:01:13.360]  我們結了婚
[00:01:13.360 --> 00:01:14.600]  其實嚴格來說
[00:01:14.600 --> 00:01:16.160]  你說結了婚是不對的
[00:01:16.160 --> 00:01:17.880]  你應該是在結婚的
[00:01:17.880 --> 00:01:18.920]  對不對?
[00:01:18.920 --> 00:01:21.520]  直到你死就結完婚
[00:01:21.520 --> 00:01:22.680]  是不是?
[00:01:22.680 --> 00:01:24.880]  如果你能夠這樣掌握
[00:01:24.880 --> 00:01:29.280]  你可能會對夫妻的情感
[00:01:29.280 --> 00:01:30.920]  有一個什麼?
[00:01:30.920 --> 00:01:33.320]  有一個嶄新的體見
[00:01:33.320 --> 00:01:35.600]  所以我們回到這個以諾
[00:01:35.600 --> 00:01:38.240]  以諾可能是
[00:01:38.240 --> 00:01:40.640]  該人心裡面一個什麼?
[00:01:40.640 --> 00:01:42.200]  一個這樣的想法
[00:01:42.200 --> 00:01:44.160]  就是我人生來到這裡
[00:01:44.160 --> 00:01:46.400]  都應該是什麼?
[00:01:46.400 --> 00:01:48.720]  重新開始吧
[00:01:48.720 --> 00:01:50.600]  是不是?
[00:01:50.600 --> 00:01:52.640]  因為我已經離開了神的面
[00:01:52.640 --> 00:01:55.680]  我已經離開了伊甸的東邊
[00:01:55.680 --> 00:01:57.880]  來到羅德之地了
[00:01:57.880 --> 00:02:00.360]  我應該重新開始了
[00:02:00.360 --> 00:02:01.440]  頂姐妹
[00:02:01.440 --> 00:02:04.440]  你覺得人生有沒有可能
[00:02:04.440 --> 00:02:06.520]  好像該人那樣
[00:02:06.520 --> 00:02:08.280]  不面對他的問題
[00:02:08.280 --> 00:02:11.080]  就可以重新開始呢?
[00:02:11.080 --> 00:02:14.080]  就是一走了之
[00:02:14.080 --> 00:02:15.960]  這樣就可以重新開始嗎?
[00:02:15.960 --> 00:02:17.320]  可以嗎?
[00:02:17.320 --> 00:02:20.440]  好,請你把答案告訴隔壁的同伴
[00:02:20.440 --> 00:02:21.960]  讓他機靈一點
[00:02:21.960 --> 00:02:23.320]  可以嗎?
[00:02:23.320 --> 00:02:24.320]  可以嗎?
[00:02:24.320 --> 00:02:27.760]  你是不是給了他醒目的教導和指引
[00:02:27.760 --> 00:02:30.520]  不可以就這樣走了就算了
[00:02:30.520 --> 00:02:32.720]  就叫做重新開始
[00:02:32.720 --> 00:02:34.720]  所以他又叫這座城做什麼?
[00:02:34.720 --> 00:02:35.800]  以諾城
[00:02:35.800 --> 00:02:37.720]  哇,該人真的有作為
[00:02:37.720 --> 00:02:39.640]  因為他不單有兒子
[00:02:39.640 --> 00:02:40.840]  並且有什麼?
[00:02:40.840 --> 00:02:42.480]  有城,是不是?
[00:02:42.480 --> 00:02:43.800]  他結婚
[00:02:43.800 --> 00:02:45.400]  他有妻子
[00:02:45.400 --> 00:02:46.560]  他有兒子
[00:02:46.560 --> 00:02:48.040]  他不是有車子
