
[00:00:00.000 --> 00:00:05.000]  今天我要講的就是從耶穌亞記,
[00:00:05.000 --> 00:00:09.000]  如果你記得我第一次開始的時候,
[00:00:09.000 --> 00:00:13.000]  到現在差不多要兩年,對不對?
[00:00:13.000 --> 00:00:17.000]  還沒有完,真是慘。
[00:00:17.000 --> 00:00:23.000]  希望在這最後兩次可以完全講完。
[00:00:23.000 --> 00:00:25.000]  今天講的題目就是
[00:00:25.000 --> 00:00:31.000]  擔當的福祉聖或全心全意的侍奉我們的主,我們的神。
[00:00:31.000 --> 00:00:38.000]  有一位銷售員,
[00:00:38.000 --> 00:00:41.000]  他是跟IBM工作的。
[00:00:41.000 --> 00:00:52.000]  但是他想,我也可以跟Apple做他的銷售員。
[00:00:52.000 --> 00:00:59.000]  OK,對不起,自己寫的都講錯。
[00:00:59.000 --> 00:01:07.000]  因爲我不必每天去上班,
[00:01:07.000 --> 00:01:12.000]  只要每個月有擔當開就好了。
[00:01:12.000 --> 00:01:18.000]  所以我可以打兩份工,還有兩份薪水。
[00:01:18.000 --> 00:01:25.000]  還有可以給我的顧客有兩樣的電腦的選擇。
[00:01:25.000 --> 00:01:29.000]  所以他就這樣的去做。
[00:01:29.000 --> 00:01:33.000]  到有一天,星期一早上,
[00:01:33.000 --> 00:01:37.000]  收到他的監工的負責人的電話說,
[00:01:37.000 --> 00:01:42.000]  你星期三必須要去德州見一個顧客。
[00:01:42.000 --> 00:01:45.000]  然後不久以後又收到一個電話,
[00:01:45.000 --> 00:01:56.000]  就是他的蘋果App的經理的電話,
[00:01:56.000 --> 00:02:02.000]  說你星期三要去紐約去見一個顧客。
[00:02:02.000 --> 00:02:07.000]  哇,他就面對了一個困境了。
[00:02:07.000 --> 00:02:09.000]  他要做一個選擇,
[00:02:09.000 --> 00:02:15.000]  選擇他要跟誰打工。
[00:02:15.000 --> 00:02:17.000]  換個話來說,
[00:02:17.000 --> 00:02:23.000]  他要選擇他要服侍哪一個公司。
[00:02:23.000 --> 00:02:29.000]  好像我們跟神的關係一樣,
[00:02:29.000 --> 00:02:33.000]  我們必須要做一個選擇。
[00:02:33.000 --> 00:02:36.000]  我們要選擇服侍我們的神,
[00:02:36.000 --> 00:02:45.000]  敬拜我們的神還是其他的東西或其他的事情。
[00:02:45.000 --> 00:02:56.000]  這就是耶穌亞最後他要吩咐或挑戰以色列人做一個選擇。
[00:02:56.000 --> 00:03:02.000]  這兩章經文23章24支都是講到這個重點。
[00:03:02.000 --> 00:03:06.000]  你們要做一個選擇,
[00:03:06.000 --> 00:03:13.000]  你們要選擇服侍我們的神還是服侍你自己,
[00:03:13.000 --> 00:03:19.000]  或服侍對你心裏面最重要的東西。
[00:03:19.000 --> 00:03:26.000]  在這章裏面他給了他們兩個原因,
[00:03:26.000 --> 00:03:32.000]  爲什麼你們應當應該要服侍神。
[00:03:32.000 --> 00:03:36.000]  因爲神是一個信實的神。
[00:03:36.000 --> 00:03:40.000]  這個信實的神你可以看到就是,
[00:03:40.000 --> 00:03:44.000]  祂爲你做什麼。
[00:03:44.000 --> 00:03:49.000]  祂所允許你們的,
[00:03:49.000 --> 00:03:52.000]  祂怎樣去做,
[00:03:52.000 --> 00:03:54.000]  你們都看到。
[00:03:54.000 --> 00:03:57.000]  所以應做這兩個原因,
[00:03:57.000 --> 00:04:02.000]  你們應當要服侍我們的神。
[00:04:02.000 --> 00:04:05.000]  在七節八節裏面,
[00:04:05.000 --> 00:04:09.000]  耶穌亞就挑戰以色列人說,
[00:04:09.000 --> 00:04:15.000]  你們不能跟其他的國家有這種的關係,
[00:04:15.000 --> 00:04:24.000]  不能挑用他們的神的名,
[00:04:24.000 --> 00:04:28.000]  或用他們的名來應許,
[00:04:28.000 --> 00:04:33.000]  你們不能服侍這些外邦人的神,
[00:04:33.000 --> 00:04:36.000]  或去拜他們,
[00:04:36.000 --> 00:04:40.000]  反正你們要抓緊這位神,
[00:04:40.000 --> 00:04:45.000]  好像你從開始到現在,
[00:04:45.000 --> 00:04:49.000]  這樣的抓住祂,服侍祂,敬拜祂。
[00:04:49.000 --> 00:04:53.000]  原因就是在第三節他講的,
[00:04:53.000 --> 00:04:56.000]  就是因爲你看到,
[00:04:56.000 --> 00:04:59.000]  你自己親眼看到,
[00:04:59.000 --> 00:05:02.000]  你的神怎樣幫助你們,
[00:05:02.000 --> 00:05:06.000]  把這些外邦的國家,
[00:05:06.000 --> 00:05:10.000]  神祂應許你進入了應許之地以後,
[00:05:10.000 --> 00:05:14.000]  神說我會把這些外邦的人把他們趕出去,
[00:05:14.000 --> 00:05:22.000]  然後你們可以得到你們這些的地跟產業。
[00:05:22.000 --> 00:05:27.000]  所以在第五節他就是這樣講說,
[00:05:27.000 --> 00:05:32.000]  你們看到神怎樣把他們趕出去,
[00:05:32.000 --> 00:05:39.000]  你們拿到這些的地來住,來用。
[00:05:39.000 --> 00:05:45.000]  這是神爲你們做的。
[00:05:45.000 --> 00:05:52.000]  因做這樣,你們要忠心的侍奉祂。
[00:05:52.000 --> 00:05:55.000]  我們呢?
[00:05:55.000 --> 00:05:58.000]  神爲我們做什麼?
[00:05:58.000 --> 00:06:03.000]  我們可以問這個問題也是。
[00:06:03.000 --> 00:06:06.000]  我們在聖經裏面看到就是神,
[00:06:06.000 --> 00:06:09.000]  當我們還是在做罪人的時候,
[00:06:09.000 --> 00:06:13.000]  祂就把自己的孩子耶穌基督,
[00:06:13.000 --> 00:06:21.000]  獻上來拯救我們,來赦免我們的罪。
[00:06:21.000 --> 00:06:31.000]  這是不是一個原因給我們願意去這樣的服侍祂呢?
[00:06:31.000 --> 00:06:37.000]  夠嗎?這個原因夠嗎?還是需要其他的原因嗎?
[00:06:37.000 --> 00:06:41.000]  當我們還沒有做基督徒的時候,
[00:06:41.000 --> 00:06:44.000]  當我們還是罪人的時候,
