
[00:00:00.000 --> 00:00:04.880]  兄姊妹平安 歡迎來到《生命樹宣教網絡》
[00:00:04.880 --> 00:00:08.560]  我是靈修士朋 我是黃克勤牧師
[00:00:08.560 --> 00:00:11.800]  很開心能夠和大家一起看聖經
[00:00:11.800 --> 00:00:14.960]  敬拜禱告 默想
[00:00:14.960 --> 00:00:18.720]  請你記得時時都要敬拜、讀經、禱告、默想
[00:00:18.720 --> 00:00:24.080]  是我們基督徒在生活裏每一天經常不斷地做的
[00:00:24.080 --> 00:00:26.840]  也不要忘記主耶穌為我們死
[00:00:26.840 --> 00:00:30.360]  我們這個生命是屬於祂的 我要為主而活
[00:00:30.360 --> 00:00:34.480]  記得祂臨升天的吩咐
[00:00:34.480 --> 00:00:37.680]  記得傳到宣教拓展天國
[00:00:37.680 --> 00:00:41.400]  還有等候主耶穌再回來
[00:00:41.400 --> 00:00:44.440]  雖然主耶穌回來好像很接近
[00:00:44.440 --> 00:00:47.400]  但有時又覺得有點遙遠 不過不要緊
[00:00:47.400 --> 00:00:52.360]  總之我就是有預備 等候主再來
[00:00:52.360 --> 00:00:56.880]  耶穌 我的主 我的神 是2025年
[00:00:56.880 --> 00:01:00.160]  由40個角度去看主耶穌基督
[00:01:00.160 --> 00:01:02.680]  今天來到第36集
[00:01:02.680 --> 00:01:05.480]  主耶穌在最後Holy Week
[00:01:05.480 --> 00:01:10.400]  在地上最後一個星期 很多事情發生了
[00:01:10.400 --> 00:01:14.280]  這次來到第20講關於聖咒
[00:01:14.280 --> 00:01:16.600]  彼拉多想釋放耶穌
[00:01:16.600 --> 00:01:19.680]  很多時候我們都很少由這個角度去看
[00:01:19.680 --> 00:01:22.200]  彼拉多想釋放耶穌
[00:01:22.200 --> 00:01:25.440]  其實你見過很多次 我們看下去吧
[00:01:25.440 --> 00:01:29.880]  彼拉多想釋放耶穌 讓我們一起祈禱
[00:01:29.880 --> 00:01:36.400]  讚美我們的天父上帝
[00:01:36.400 --> 00:01:38.960]  祢無所不能 無所不知
[00:01:38.960 --> 00:01:43.040]  萬世以先祢已經知道我們的軟弱
[00:01:43.040 --> 00:01:46.960]  因此祢一早就為人類預備了救恩
[00:01:46.960 --> 00:01:49.760]  到最後為最大惡極的人類
[00:01:49.760 --> 00:01:56.120]  非常兇殘、嗜血、自私、自利、仇恨不息的人類
[00:01:56.120 --> 00:01:58.280]  祢預備了救恩
[00:01:58.280 --> 00:02:02.000]  祢是要用愛來將人類改變
[00:02:02.000 --> 00:02:03.960]  讚美上主
[00:02:03.960 --> 00:02:09.800]  祢預備的救恩最終由祢的兒子耶穌基督完成
[00:02:09.800 --> 00:02:13.800]  然後三一上主聖靈來到我們當中
[00:02:13.800 --> 00:02:19.320]  來施行 將祂打入人的心中
[00:02:19.320 --> 00:02:21.320]  叫我們的心門被打開
[00:02:21.320 --> 00:02:24.360]  可以相信祢 完全是聖靈的工作
[00:02:24.360 --> 00:02:27.160]  我們不敢自誇自己有任何的功勞
[00:02:27.160 --> 00:02:31.680]  所有功勞都是三一上主在救贖上為我們做的
[00:02:31.680 --> 00:02:35.320]  是憐憫給我們的
[00:02:35.320 --> 00:02:37.960]  我們一無是處
[00:02:37.960 --> 00:02:39.560]  沒有什麼可以和祢交換
[00:02:39.560 --> 00:02:45.240]  完全是領受、接受祢這個救贖的恩典禮物
[00:02:45.240 --> 00:02:47.400]  多謝上主
[00:02:47.400 --> 00:02:50.000]  祝我們今天看彼拉多
[00:02:50.000 --> 00:02:53.480]  祝他這個人有很多困難
