
[00:00:00.000 --> 00:00:05.760]  讀一節聖經,在彼得前書第二章二十四到二十五節,
[00:00:05.760 --> 00:00:08.080]  兩節的聖經我們一同來念。
[00:00:08.080 --> 00:00:09.040]  來!
[00:00:09.040 --> 00:00:12.760]  祂被掛在木頭上,親自擔當了我們的罪,
[00:00:12.760 --> 00:00:16.800]  使我們既然在罪上死,就得以在義上活。
[00:00:16.800 --> 00:00:20.320]  因祂死,我們得得了醫治。
[00:00:20.320 --> 00:00:22.600]  你們從前好像迷路的羊,
[00:00:22.600 --> 00:00:26.000]  如今卻歸到你們靈魂的牧人監督了。
[00:00:26.000 --> 00:00:27.720]  我們就讀到這裡。
[00:00:27.720 --> 00:00:30.240]  每個月的第一個主日,
[00:00:30.240 --> 00:00:34.440]  我們不但是在主的面前一同領受聖餐,
[00:00:34.440 --> 00:00:39.400]  而且我們也特別為病人來做醫治的禱告。
[00:00:39.400 --> 00:00:42.880]  我們這樣做不是因為我們有什麼特別的能力,
[00:00:42.880 --> 00:00:45.840]  乃是因為我們相信神的應許。
[00:00:45.840 --> 00:00:46.840]  Amen!
[00:00:46.840 --> 00:00:50.200]  剛才我們所讀的經文,彼得前書第二章二十四到二十五節,
[00:00:50.200 --> 00:00:52.520]  很清楚地告訴我們說,
[00:00:52.520 --> 00:00:55.200]  我們在基督裡面的救恩,
[00:00:55.200 --> 00:00:59.320]  不但是叫我們罪得赦免,靈魂得救,
[00:00:59.320 --> 00:01:04.040]  而且帶給我們肉體跟心靈的醫治。
[00:01:04.040 --> 00:01:06.600]  所以作為一個神的兒女,你需要明白,
[00:01:06.600 --> 00:01:09.400]  我們從神那裡所領受的救恩,
[00:01:09.400 --> 00:01:13.800]  是包括醫治的恩典在其中的,Amen!
[00:01:13.800 --> 00:01:16.920]  你知道這些年,當我在第三世界做宣教工作的時候,
[00:01:16.920 --> 00:01:22.640]  我就看見很多時候在一些醫藥不發達的地方,
[00:01:22.640 --> 00:01:29.040]  當信徒們迫切禱告的時候,神蹟就不斷地在發生。
[00:01:29.040 --> 00:01:34.120]  反而我們身在美國醫藥科技都非常先進的地方,
[00:01:34.120 --> 00:01:40.520]  我們的心很容易習慣性地會依靠醫藥而不來依靠神,
[00:01:40.520 --> 00:01:45.600]  以至於今天教會常常失去了服事的能力。
[00:01:45.600 --> 00:01:47.680]  在中古世紀,有一位教皇,
[00:01:47.680 --> 00:01:52.280]  有一次他很驕傲地對一位聖徒聖Thomas這樣說,
[00:01:52.280 --> 00:01:56.320]  他說,你看神賜給我們多麼豐盛的恩典啊!
