
[00:00:00.000 --> 00:00:06.000]  弟兄姊妹們,主內平安。
[00:00:06.000 --> 00:00:10.000]  非常高興今天早晨能夠來到大家的當中,
[00:00:10.000 --> 00:00:18.000]  跟大家一起敬拜我們的主,我們的上帝。
[00:00:18.000 --> 00:00:24.000]  我想也特別謝謝承輩華人基督教會給我這樣的一個機會,
[00:00:24.000 --> 00:00:29.000]  特別在今天早晨當中也能夠分享信息。
[00:00:29.000 --> 00:00:34.000]  我也要感謝承輩華人基督教會給我這樣的一個機會,今天能夠分享神的信息。
[00:00:34.000 --> 00:00:49.000]  其實每一次我在香港或者在海外的粵語教會或者粵語聚會分享信息的時候,
[00:00:49.000 --> 00:00:54.000]  心裡面充滿了挫折,
[00:00:54.000 --> 00:01:02.000]  因為不瞞大家說我在香港住了有將近十五年的時間,
[00:01:02.000 --> 00:01:08.000]  在這十五年的當中只學會講一句廣東話,
[00:01:08.000 --> 00:01:12.000]  不會講廣東話。
[00:01:12.000 --> 00:01:20.000]  其實我們三個孩子都是接受香港的教育,
[00:01:20.000 --> 00:01:27.000]  所以他們從小就在培政小學念書,
[00:01:27.000 --> 00:01:33.000]  所以他們三個人都是三生代,
[00:01:33.000 --> 00:01:38.000]  在家裡面我們講國語,我們講普通話,
[00:01:38.000 --> 00:01:44.000]  在學校當然就是講廣東話,講粵語,
[00:01:44.000 --> 00:01:53.000]  他們在香港的時候每個星期都會去祖父祖母的家,
[00:01:53.000 --> 00:02:00.000]  所以他們就在我父母親的家裡面講英文,
[00:02:00.000 --> 00:02:06.000]  發現小孩子好厲害,他們分得很清楚,
[00:02:06.000 --> 00:02:16.000]  這是學校的話,這是家裡面的話,這是祖父跟祖母的話,
[00:02:16.000 --> 00:02:23.000]  我很羨慕我的兒子,他的廣東話講得很厲害,
[00:02:23.000 --> 00:02:30.000]  我想稍微剛剛補充剛剛介紹的,
[00:02:30.000 --> 00:02:36.000]  其實這一次師母沒有辦法跟我在一起,
[00:02:36.000 --> 00:02:42.000]  我們這一次出來有差不多三個禮拜的時間,
[00:02:42.000 --> 00:02:47.000]  前面有一個週末是在渥太華,
[00:02:47.000 --> 00:02:53.000]  師母跟我有機會一起在那邊服侍,
[00:02:53.000 --> 00:03:00.000]  然後她就趕回Boston去看我們的女兒,
[00:03:00.000 --> 00:03:03.000]  其實我明天就要去了,
[00:03:03.000 --> 00:03:09.000]  因為她下個禮拜六就要從大學畢業,
[00:03:09.000 --> 00:03:15.000]  所以很遺憾師母今天早上不在我們當中,
[00:03:15.000 --> 00:03:23.000]  其實她的廣東話也是講得很厲害,
[00:03:23.000 --> 00:03:33.000]  我想在這邊特別祝在我們當中的母親們母親節快樂,
[00:03:33.000 --> 00:03:40.000]  早上一起來我也就當然特別想到了我的母親,
[00:03:40.000 --> 00:03:46.000]  也想到了她在我一生當中非常非常重要的一個影響,
[00:03:46.000 --> 00:03:53.000]  我想我特別聯想到我在青少年的時候,
[00:03:53.000 --> 00:03:58.000]  我是一個非常非常叛逆的一個孩子,
