
[00:00:00.000 --> 00:00:02.620]  不孫的弟兄姊妹平安
[00:00:02.620 --> 00:00:03.960]  多謝不孫的邀請
[00:00:03.960 --> 00:00:07.940]  讓我今天可以在神學主日分享
[00:00:07.940 --> 00:00:12.440]  剛才聽到姊妹說她沉迷她的躁病
[00:00:12.440 --> 00:00:14.440]  以致進入神學院受裝備
[00:00:14.440 --> 00:00:16.980]  也勾起了我很多的回憶
[00:00:16.980 --> 00:00:21.000]  我自己是2010年讀中神
[00:00:21.000 --> 00:00:25.520]  周牧師你們的堂主任當時是三年級
[00:00:25.520 --> 00:00:26.720]  我是一年級
[00:00:26.720 --> 00:00:29.000]  算是他的小師妹
[00:00:29.000 --> 00:00:31.960]  我想起十年前讀神學
[00:00:31.960 --> 00:00:34.640]  其實跟今天不太一樣
[00:00:34.640 --> 00:00:36.820]  我簡單舉個情景
[00:00:36.820 --> 00:00:38.320]  我們進入神學院的時候
[00:00:38.320 --> 00:00:40.680]  在中神有刑生營
[00:00:40.680 --> 00:00:43.520]  我現在看我們現在的同學
[00:00:43.520 --> 00:00:45.800]  這些年輕的同學搞刑生營
[00:00:45.800 --> 00:00:46.960]  我們叫做O-CAM
[00:00:46.960 --> 00:00:49.120]  跟十年前很不一樣
[00:00:49.120 --> 00:00:53.080]  十年前的時候我們去到刑會
[00:00:53.080 --> 00:00:56.900]  很集中講講生命蒙照
[00:00:56.900 --> 00:00:58.600]  個人蒙照的經歷
[00:00:58.600 --> 00:01:00.320]  神學院裡面的生活
[00:01:00.320 --> 00:01:03.700]  講一些聖經神學課程的介紹
[00:01:03.700 --> 00:01:07.120]  進入刑會我已經開始覺得自己
[00:01:07.120 --> 00:01:09.360]  開始遠離人煙
[00:01:09.360 --> 00:01:12.880]  真的進入一個與世隔絕的境界
[00:01:12.880 --> 00:01:15.680]  不過我看現在的同學是怎樣呢
[00:01:15.680 --> 00:01:20.320]  搞刑會已經加入很多社會時代的元素
[00:01:20.320 --> 00:01:22.480]  很多處境的元素
[00:01:22.480 --> 00:01:24.680]  我還記得去年我們的刑生營
[00:01:24.680 --> 00:01:26.560]  我收到他們的時間表
[00:01:26.560 --> 00:01:30.360]  每個環節的名字是什麼呢
[00:01:30.360 --> 00:01:33.120]  是MIRROR和ERROR的歌
[00:01:33.120 --> 00:01:35.680]  如果你們不知道MIRROR是ERROR和什麼
[00:01:35.680 --> 00:01:38.880]  你們問問你旁邊的那個吧
[00:01:38.880 --> 00:01:40.720]  我就很感受到
[00:01:40.720 --> 00:01:42.600]  這些Gimmick
[00:01:42.600 --> 00:01:46.440]  很感受到他們很貼近時代的脈搏
[00:01:46.440 --> 00:01:47.680]  我想說
[00:01:47.680 --> 00:01:50.920]  其實神學教育可能在這個大時代之下
[00:01:50.920 --> 00:01:53.800]  都產生了不少的轉變
[00:01:53.800 --> 00:01:58.400]  剛才也聽到神學院
[00:01:58.400 --> 00:02:00.400]  或者聽到讀神學
[00:02:00.400 --> 00:02:02.760]  我想我們也會想起很多關於
[00:02:02.760 --> 00:02:05.480]  「照命」、「呼召」的事情
[00:02:05.480 --> 00:02:07.000]  可能我們也會說
[00:02:07.000 --> 00:02:10.800]  是不是只有「傳道目者」才有「呼召」呢
[00:02:10.800 --> 00:02:13.240]  我人生中沒有想過要做「傳道」
[00:02:13.240 --> 00:02:14.280]  沒有想過要做「呼召」
[00:02:14.280 --> 00:02:17.640]  是不是「呼召」就不關我的事呢
[00:02:17.640 --> 00:02:20.160]  到底上帝在我的生命
[00:02:20.160 --> 00:02:21.960]  會不會也有「呼召」
[00:02:21.960 --> 00:02:23.960]  會是什麼「呼召」呢
[00:02:23.960 --> 00:02:26.440]  我怎樣知道神的心意呢
[00:02:26.440 --> 00:02:27.880]  好像剛才姊妹也分享過
[00:02:27.880 --> 00:02:30.520]  其實「尋覓」也有一個過程
