
[00:00:00.000 --> 00:00:08.680]  我們今天會一起看的經文就是《馬太福音》第七章
[00:00:08.680 --> 00:00:12.800]  我們會從第七節至十一節的經文一起去看
[00:00:12.800 --> 00:00:14.240]  看的主題就是
[00:00:14.240 --> 00:00:19.400]  「信耶穌,不是可以使我們心想事成的嗎?」
[00:00:19.400 --> 00:00:22.160]  這個題目我相信有很多導演姊妹
[00:00:22.160 --> 00:00:24.440]  對於這段經文當你去看的時候
[00:00:24.440 --> 00:00:27.800]  你自己也可能未必有這樣的理解
[00:00:27.800 --> 00:00:31.320]  因為這段經文很多時候我們在
[00:00:31.320 --> 00:00:39.120]  譬如一些福音聚會、報道會、主日崇拜等等的時間
[00:00:39.120 --> 00:00:44.680]  很多牧者都很喜歡引用這段聖經來去引導人
[00:00:44.680 --> 00:00:46.920]  說得好聽叫做引導人
[00:00:46.920 --> 00:00:51.600]  或者說得不好聽的就是去推銷給人
[00:00:51.600 --> 00:00:57.280]  我們怎樣才能夠吸引人來參加教會
[00:00:57.280 --> 00:01:00.640]  並且成為教會的一份子
[00:01:00.640 --> 00:01:05.000]  但是究竟這段經文是想說些什麼呢?
[00:01:05.000 --> 00:01:09.600]  這段經文如果我們在一路看登山寶墳的時候
[00:01:09.600 --> 00:01:12.400]  都曾經提過一個很重要的原則
[00:01:12.400 --> 00:01:16.600]  就是如果我們解釋這段經文只是騰空這段經文
[00:01:16.600 --> 00:01:19.600]  自己獨立去解釋的話
[00:01:19.600 --> 00:01:24.560]  就會很容易去誤解這段經文的內容
[00:01:24.560 --> 00:01:29.160]  特別這段聖經頭的第七和第八節裡面
[00:01:29.160 --> 00:01:33.640]  很多時候都會被一些傳道人、牧者說
[00:01:33.640 --> 00:01:36.880]  信耶穌、信上帝
[00:01:36.880 --> 00:01:39.120]  上帝是很豐富的
[00:01:39.120 --> 00:01:41.120]  只要你相信祂的時候
[00:01:41.120 --> 00:01:43.240]  你求什麼都能夠求到
[00:01:43.240 --> 00:01:46.960]  你找什麼都能夠找到
[00:01:46.960 --> 00:01:50.240]  究竟是不是這段聖經本身原本的事情
[00:01:50.240 --> 00:01:52.680]  就是要陳述的內容呢?
[00:01:52.680 --> 00:01:56.320]  這個就是今天我想和大家一起去思緒這段經文
[00:01:56.320 --> 00:01:59.720]  並且就整段登山寶墳裡面
[00:01:59.720 --> 00:02:01.920]  耶穌一直都強調的一點
[00:02:01.920 --> 00:02:06.560]  就是神的子民或者神國的子民
[00:02:06.560 --> 00:02:09.160]  他們應該有一個什麼樣式
[00:02:09.160 --> 00:02:12.240]  怎樣和上帝一起的生活
[00:02:12.240 --> 00:02:15.480]  而如果我們不在這個基礎裡面去解釋
[00:02:15.480 --> 00:02:18.360]  就很容易我們解釋這段聖經
[00:02:18.360 --> 00:02:20.760]  就變成一些很好聽
