
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹,晚安!
[00:00:02.000 --> 00:00:08.000]  我們先看看聖經,新約的約翰一書第四章
[00:00:08.000 --> 00:00:11.000]  我們今天會由第七節看到第二十一節
[00:00:11.000 --> 00:00:14.000]  新約聖經約翰一書四章
[00:00:14.000 --> 00:00:17.000]  七到二十一節
[00:00:17.000 --> 00:00:21.000]  親愛的,我們要彼此相愛
[00:00:21.000 --> 00:00:24.000]  因為愛是從上帝來的
[00:00:24.000 --> 00:00:28.000]  凡有愛的,都是由上帝而生
[00:00:28.000 --> 00:00:30.000]  並且認識上帝
[00:00:30.000 --> 00:00:33.000]  沒有愛的,就不認識上帝
[00:00:33.000 --> 00:00:36.000]  因為上帝就是愛
[00:00:36.000 --> 00:00:39.000]  上帝差他獨一的兒子到世上來
[00:00:39.000 --> 00:00:42.000]  使我們藉著他的生命
[00:00:42.000 --> 00:00:46.000]  因此上帝對我們的愛就顯明了
[00:00:46.000 --> 00:00:51.000]  不是我們愛上帝,而是上帝愛我們
[00:00:51.000 --> 00:00:55.000]  差他的兒子為我們的罪作了贖罪劑
[00:00:55.000 --> 00:00:58.000]  這就是愛
[00:00:58.000 --> 00:01:01.000]  親愛的,既然上帝這樣愛我們
[00:01:01.000 --> 00:01:04.000]  我們也要彼此相愛
[00:01:04.000 --> 00:01:06.000]  從來沒有人見過上帝
[00:01:06.000 --> 00:01:11.000]  你們若彼此相愛,上帝就住在我們裡面
[00:01:11.000 --> 00:01:15.000]  他的愛在我們裡面得以圓滿了
[00:01:15.000 --> 00:01:18.000]  因為上帝將他的靈賜給我們
[00:01:18.000 --> 00:01:22.000]  因此我們知道我們是住在他裡面
[00:01:22.000 --> 00:01:25.000]  而他也住在我們裡面
[00:01:25.000 --> 00:01:27.000]  父差子作世人的救主
[00:01:27.000 --> 00:01:31.000]  這是我們所看見並且作見證的
[00:01:31.000 --> 00:01:34.000]  凡宣認耶穌為上帝的兒子
[00:01:34.000 --> 00:01:37.000]  上帝就住在他裡面
[00:01:37.000 --> 00:01:39.000]  而他也住在上帝裡面
[00:01:39.000 --> 00:01:43.000]  我們知道並且深信上帝是愛我們的
[00:01:43.000 --> 00:01:45.000]  上帝就是愛
[00:01:45.000 --> 00:01:49.000]  住在我裡面的,就是住在上帝裡面
[00:01:49.000 --> 00:01:51.000]  上帝也住在他裡面
[00:01:51.000 --> 00:01:54.000]  因此,愛在我們裡面得以圓滿
[00:01:54.000 --> 00:01:58.000]  我們可以在審判的日子坦然無懼
[00:01:58.000 --> 00:02:02.000]  因為基督如何,我們在這世上也如何
[00:02:02.000 --> 00:02:04.000]  在愛裡沒有懼怕
[00:02:04.000 --> 00:02:08.000]  圓滿的愛把懼怕驅逐出去
[00:02:08.000 --> 00:02:10.000]  因為懼怕裡含著刑罰
[00:02:10.000 --> 00:02:14.000]  懼怕的人在愛裡尚未得到圓滿
[00:02:14.000 --> 00:02:17.000]  我們愛,因為上帝先愛我們
[00:02:17.000 --> 00:02:22.000]  若說我愛上帝,卻恨他的弟兄,就是說謊了
[00:02:22.000 --> 00:02:26.000]  不愛他看見的弟兄,就不能愛看不見的上帝
[00:02:26.000 --> 00:02:29.000]  愛上帝的,也要愛弟兄
[00:02:29.000 --> 00:02:33.000]  這是我們從上帝所授的命令
[00:02:33.000 --> 00:02:36.000]  問問大家這段聖經的主題是什麼?
[00:02:36.000 --> 00:02:38.000]  愛,是不是?
[00:02:38.000 --> 00:02:41.000]  有沒有數過這段聖經有多少個「愛」字?
[00:02:41.000 --> 00:02:44.000]  我數過,如果中文聖經這個版本的話
[00:02:44.000 --> 00:02:47.000]  出現過起碼有29個不同的「愛」字
[00:02:47.000 --> 00:02:52.000]  在原文聖經裡面,也有十多二十個關於愛的動詞和名詞
[00:02:52.000 --> 00:02:55.000]  有人說基督教是一個講愛的宗教
[00:02:55.000 --> 00:02:58.000]  從你從小開始成長,無論你在什麼教會
[00:02:58.000 --> 00:03:01.000]  可能你成了家就經歷了什麼叫愛
[00:03:01.000 --> 00:03:04.000]  來到教會更多聽到的就是愛,是不是?
[00:03:04.000 --> 00:03:06.000]  你回教會,為什麼要回教會?
[00:03:06.000 --> 00:03:08.000]  因為有人告訴你,耶穌愛你
[00:03:08.000 --> 00:03:11.000]  就算我們出去傳福音也好,報吉音也好
[00:03:11.000 --> 00:03:13.000]  我們經常說,耶穌愛你
[00:03:13.000 --> 00:03:16.000]  我們經常把愛放在嘴邊
[00:03:16.000 --> 00:03:19.000]  不如我們做一個簡單的練習
[00:03:19.000 --> 00:03:21.000]  看看你旁邊那個,如果你旁邊沒有人
[00:03:21.000 --> 00:03:24.000]  看看前面那個,或者後面那個,看一看他
[00:03:24.000 --> 00:03:26.000]  然後用你最情深的話跟他說一聲
[00:03:26.000 --> 00:03:28.000]  我愛你
[00:03:28.000 --> 00:03:30.000]  好
[00:03:30.000 --> 00:03:34.000]  有多少人聽到旁邊的人跟你說我愛你?請舉手
[00:03:34.000 --> 00:03:37.000]  感謝主有三分之一
[00:03:37.000 --> 00:03:39.000]  可能你第一時間看一看那個人
[00:03:39.000 --> 00:03:43.000]  咦,馬上推開他,不要搞,是不是?
[00:03:43.000 --> 00:03:45.000]  可能旁邊那個是你很愛的,也不奇怪
[00:03:45.000 --> 00:03:47.000]  不過,要你說我愛你,說不出口
[00:03:47.000 --> 00:03:49.000]  你說中國人很少說的,是不是?
